cluster	gene
A1	Noa1
A1	Polr2b
A1	Rufy3
A1	Mob1b
A1	Slc4a4
A1	G3bp2
A1	Uso1
A1	Shroom3
A1	Nudt9
A1	Sparcl1
A1	Gm10416
A1	Mmab
A1	Mvk
A1	Hspb8
A1	Ddx54
A1	Aldh2
A1	Kntc1
A1	Ncor2
A1	Fzd10
A1	Psph
A1	Phkg1
A1	Gtf2i
A1	Eln
A1	Wbscr25
A1	Cux1
A1	Trip6
A1	Fbxo24
A1	Ap4m1
A1	Gpr146
A1	Grifin
A1	Lfng
A1	Ttyh3
A1	Rnf6
A1	Pan3
A1	5930430L01Rik
A1	Hmgb1
A1	Pdk4
A1	C1galt1
A1	Tmem106b
A1	Capza2
A1	Ptprz1
A1	Smo
A1	Cep41
A1	Zfp467
A1	Gm5111
A1	Repin1
A1	Mir6371
A1	4921507P07Rik
A1	Hoxa11os
A1	Hibadh
A1	Tril
A1	Nod1
A1	Atoh8
A1	0610030E20Rik
A1	Vamp8
A1	Dok1
A1	Paip2b
A1	Mir705
A1	Nat8f4
A1	Tprkb
A1	Pcyox1
A1	Tia1
A1	9530026P05Rik
A1	Magi1
A1	Lmcd1
A1	Gt(ROSA)26Sor
A1	Vhl
A1	Slc6a1
A1	Adipor2
A1	Lpcat3
A1	Atn1
A1	Gapdh
A1	Scarna10
A1	Pde3a
A1	Slco1c1
A1	Sspn
A1	Cnot3
A1	9430041J12Rik
A1	D030047H15Rik
A1	Cox6b2
A1	Zfp787
A1	Usp29
A1	Six5
A1	Opa3
A1	Ercc2
A1	Apoc1
A1	Cic
A1	Lipe
A1	Exosc5
A1	Egln2
A1	Sertad1
A1	Akt2
A1	Mrps12
A1	Psmd8
A1	Zfp30
A1	Proser3
A1	Lgi4
A1	Kctd15
A1	Zfp976
A1	Etfb
A1	Akt1s1
A1	Gm15545
A1	Scaf1
A1	Mir7054
A1	Ruvbl2
A1	Dbp
A1	Sphk2
A1	Fam83e
A1	Luzp2
A1	Lrrk1
A1	Lins1
A1	1810026B05Rik
A1	Akap13
A1	Det1
A1	Mfge8
A1	Rlbp1
A1	Ticrr
A1	Cib1
A1	Gdpgp1
A1	Prc1
A1	Zfp592
A1	Mesdc2
A1	Gm2115
A1	2310010J17Rik
A1	Tsku
A1	C2cd3
A1	Mrpl48
A1	P2ry2
A1	Stim1
A1	Ampd3
A1	1700012D14Rik
A1	Parva
A1	Tead1
A1	Rassf10
A1	B230311B06Rik
A1	Gprc5b
A1	Acsm5
A1	Chp2
A1	Ypel3
A1	Srcap
A1	Ccdc189
A1	Setd1a
A1	Zfp668
A1	Bag3
A1	Fgfr2
A1	Ate1
A1	Hmx2
A1	BC024386
A1	Lmntd2
A1	Eps8l2
A1	Snora52
A1	Tssc4
A1	1810010D01Rik
A1	Xab2
A1	Sox1
A1	Ckap2
A1	Gpat4
A1	Golga7
A1	Fgfr1
A1	Zfp703
A1	Cdkn2aip
A1	Gpm6a
A1	Galnt7
A1	Nek1
A1	Sh3rf1
A1	Cpe
A1	Nr2c2ap
A1	Lsm4
A1	Bst2
A1	Zfp617
A1	Gm10649
A1	Nr3c2
A1	Ednra
A1	Smad1
A1	Prkaca
A1	Il27ra
A1	Mt4
A1	Rspry1
A1	Cmtm1
A1	Slc12a4
A1	Mir7074
A1	Hp
A1	Cmtr2
A1	Mtss1l
A1	Rfwd3
A1	Emc8
A1	Cox4i1
A1	Foxc2
A1	Zcchc14
A1	Spg7
A1	Rhou
A1	Taf5l
A1	Ttc13
A1	Irf2bp2
A1	Fam76b
A1	Cdkn2d
A1	Smarca4
A1	Ldlr
A1	Ecsit
A1	Pigyl
A1	Bmper
A1	Glb1l2
A1	Ets1
A1	Ccdc15
A1	Tbcel
A1	Oaf
A1	Usp2
A1	Rnf214
A1	Pafah1b2
A1	2900052N01Rik
A1	Gm5617
A1	Ttc12
A1	2310003N18Rik
A1	Il18
A1	Rcn2
A1	Loxl1
A1	Parp16
A1	Plekho2
A1	Rbpms2
A1	4933433G15Rik
A1	Ibtk
A1	Plscr1
A1	Chst2
A1	Rasa2
A1	Ppp2r3a
A1	Ephb1
A1	Amotl2
A1	Rassf1
A1	Hyal1
A1	Gnat1
A1	Ip6k1
A1	Tcta
A1	Cdc25a
A1	Mir6236
A1	Myl3
A1	Tmie
A1	Als2cl
A1	Stt3b
A1	Fam198a
A1	Zfp105
A1	Lztfl1
A1	4930526I15Rik
A1	Clcn5
A1	Dusp21
A1	Ndufb11
A1	Lonrf3
A1	Zic3
A1	Fmr1os
A1	Haus7
A1	Hcfc1
A1	Snx12
A1	Zmym3
A1	Hdac8
A1	Sh3bgrl
A1	Cenpi
A1	Tceanc
A1	Hccs
E1	Mybl1
E1	Tceb1
E1	Tram2
E1	Ogfrl1
E1	Zfp451
E1	Coa5
E1	Rpl31
E1	Gulp1
E1	Stk17b
E1	Coq10b
E1	Aox1
E1	Aox3
E1	Nbeal1
E1	Cyp20a1
E1	Ccnyl1
E1	Atic
E1	Apol7d
E1	Vil1
E1	Fam134a
E1	Zfand2b
E1	Ankzf1
E1	Mrpl44
E1	Col4a3
E1	Ptma
E1	Dis3l2
E1	Ugt1a9
E1	6430706D22Rik
E1	Mlph
E1	Ube2f
E1	Olfr12
E1	Fam174a
E1	Zcchc2
E1	Phlpp1
E1	Rab7b
E1	Nuak2
E1	Dstyk
E1	Etnk2
E1	Tmem9
E1	Ddx59
E1	Trmt1l
E1	Mir8114
E1	Mr1
E1	Zbtb37
E1	Cenpl
E1	Mir214
E1	Ccdc181
E1	Mpc2
E1	Mpzl1
E1	Rcsd1
E1	Alyref2
E1	Opn3
E1	Chml
E1	Cox20
E1	Ahctf1
E1	Ephx1
E1	Capn2
E1	Aida
E1	Mir1981
E1	C130074G19Rik
E1	Gpatch2
E1	Ptpn14
E1	Atf3
E1	Ints7
E1	Rcor3
E1	G0s2
E1	Ust
E1	Fbxo30
E1	Utrn
E1	Nhsl1
E1	Bclaf1
E1	Stx7
E1	Epb41l2
E1	Lama2
E1	Ptprk
E1	Nt5dc1
E1	Amd1
E1	Foxo3
E1	Sobp
E1	Pdss2
E1	Gm16998
E1	Gja1
E1	Gcc2
E1	Micu1
E1	Sgpl1
E1	Eif4ebp2
E1	Gm31763
E1	Cdk1
E1	Gm5779
E1	Col6a2
E1	Pofut2
E1	Mir6908
E1	Bsg
E1	Cnn2
E1	Polr2e
E1	Gpx4
E1	Cirbp
E1	Mum1
E1	Mbd3
E1	Dot1l
E1	Eef2
E1	Tbxa2r
E1	Ric8b
E1	Nr1h4
E1	Lta4h
E1	Gm29684
E1	Nudt4
E1	Ppp1r12a
E1	Pawr
E1	Csrp2
E1	Zfc3h1
E1	Tmem5
E1	F420014N23Rik
E1	1700012D01Rik
E1	Zbtb39
E1	Pisd-ps1
E1	Limk2
E1	Gatsl3
E1	Gm11961
E1	Ewsr1
E1	Ccdc117
E1	Pold2
E1	Tbrg4
E1	C1d
E1	Slc1a4
E1	Vps54
E1	Ugp2
E1	Cct4
E1	Pus10
E1	Cfap36
E1	Rtn4
E1	Canx
E1	Zfp354a
E1	Col23a1
E1	Jade2
E1	Tcf7
E1	2010001A14Rik
E1	Cnot8
E1	Mprip
E1	Srebf1
E1	Tom1l2
E1	Top3a
E1	Tmem11
E1	Pmp22
E1	Hes7
E1	Tmem256
E1	Mir6924
E1	Slc16a11
E1	Rnasek
E1	Zmynd15
E1	Psmb6
E1	Ctns
E1	Mettl16
E1	Mir22
E1	Tlcd2
E1	Dbil5
E1	Snord42b
E1	Rab34
E1	Tnfaip1
E1	Wsb1
E1	Nf1
E1	Suz12
E1	Adap2
E1	Rnf135
E1	Ap2b1
E1	Appbp2
E1	Bcas3
E1	2610027K06Rik
E1	Tbx2
E1	Med13
E1	Rnft1
E1	Ska2
E1	Tmem100
E1	Acsf2
E1	Col1a1
E1	Ppp1r9b
E1	Snf8
E1	Scrn2
E1	1700001P01Rik
E1	Plekhh3
E1	Ezh1
E1	Ifi35
E1	Acbd4
E1	Ddx5
E1	Nol11
E1	Wipi1
E1	1700012H19Rik
E1	Cdc42ep4
E1	Gprc5c
E1	Nup85
E1	Mrps7
E1	Trim47
E1	Sphk1
E1	Socs3
E1	C1qtnf1
E1	Eif4a3
E1	Actg1
E1	Arl16
E1	P4hb
E1	Mir6936
E1	Narf
E1	Wdr45b
E1	Cenpo
E1	Pfn4
E1	Sdc1
E1	Osr1
E1	9530020I12Rik
E1	Trib2
E1	Asap2
E1	Ywhaq
E1	Rrm2
E1	Arl4a
E1	Ifrd1
E1	Gm7008
E1	Strn3
E1	Hectd1
E1	Eapp
E1	Srp54a
E1	Nfkbia
E1	Mipol1
E1	Rps29
E1	Mgat2
E1	9330151L19Rik
E1	5830428M24Rik
E1	L2hgdh
E1	Mir681
E1	Psma3
E1	Dact1
E1	Pcnx4
E1	Dhrs7
E1	Rhoj
E1	Churc1
E1	Isca2
E1	Ltbp2
E1	D030025P21Rik
E1	Pgf
E1	Zc2hc1c
E1	Ston2
E1	Ttc7b
E1	Smek1
E1	Golga5
E1	AK010878
E1	Ubr7
E1	Scarna13
E1	Glrx5
E1	Bdkrb2
E1	Degs2
E1	Mok
E1	Aspg
E1	Esyt2
E1	Dip2c
E1	Lyst
E1	9330199G10Rik
E1	Olfr1366
E1	Foxf2
E1	Foxc1
E1	Riok1
E1	Slc35b3
E1	Tfap2a
E1	Gm26688
E1	Kif13a
E1	Nol8
E1	Simc1
E1	B230219D22Rik
E1	A530065N20Rik
E1	Slc35d2
E1	Zfp85
E1	Nsun2
E1	Slc12a7
E1	Trip13
E1	Erap1
E1	Ell2
E1	A830082K12Rik
E1	Lysmd3
E1	Papd4
E1	Gm9776
E1	F2rl1
E1	F2r
E1	Hexb
E1	Utp15
E1	Foxd1
E1	Mrps27
E1	Rad17
E1	Itga1
E1	Hmgcs1
E1	Atxn7
E1	Ngly1
E1	Saysd1
E1	Dnajc9
E1	Zswim8
E1	Nek4
E1	Eaf1
E1	Hacl1
E1	Lrrc18
E1	Ptgdr
E1	Bmp4
E1	Cgrrf1
E1	Dad1
E1	Abhd4
E1	Mrpl52
E1	Mmp14
E1	Lrp10
E1	Acin1
E1	Emc9
E1	Ltb4r1
E1	Adcy4
E1	Gjb2
E1	Lats2
E1	Setdb2-phf11c
E1	Ints6
E1	Zfp395
E1	Ebf2
E1	Chmp7
E1	Sorbs3
E1	Rb1
E1	Slc25a30
E1	Lmo7
E1	Rnf219
E1	Stk24
E1	2610035F20Rik
E1	Itgbl1
E1	Snord72
E1	Slc1a3
E1	Sub1
E1	Drosha
E1	Cmbl
E1	Gm12191
E1	Fzd6
E1	Eif3e
E1	Gm9920
E1	Sntb1
E1	Tmem65
E1	Tatdn1
E1	Oplah
E1	Rbfox2
E1	Myh9
E1	Card10
E1	Tab1
E1	Tnrc6b
E1	Mkl1
E1	Xpnpep3
E1	L3mbtl2
E1	Naga
E1	Arfgap3
E1	Samm50
E1	Mirlet7b
E1	Cdpf1
E1	Creld2
E1	Cpt1b
E1	Lrrk2
E1	Gm6961
E1	Tuba1c
E1	Tns2
E1	Zfp740
E1	Mir688
E1	Itga5
E1	Zfp174
E1	Carhsp1
E1	Gm4262
E1	Bfar
E1	Nde1
E1	Spidr
E1	Ap2m1
E1	Clcn2
E1	Ehhadh
E1	Hes1
E1	Fam43a
E1	Cep19
E1	Rpl35a
E1	E130310I04Rik
E1	BC031361
E1	Adprh
E1	Cd80
E1	Naa50
E1	Phldb2
E1	Bbx
E1	Cldnd1
E1	Usp25
E1	Mir155
E1	4930556C24Rik
E1	N6amt1
E1	Prdm15
E1	Synj2
E1	Dynlt1b
E1	Thbs2
E1	Psmb1
E1	Pdcd2
E1	Riok2
E1	Spaca6
E1	Gm10509
E1	Zfp13
E1	Zscan10
E1	Rps2
E1	Tmem204
E1	Itpr3
E1	Angptl4
E1	Cd320
E1	BC051226
E1	Zbtb22
E1	Ager
E1	Vars
E1	Ddah2
E1	Ly6g6c
E1	Csnk2b
E1	Apom
E1	Ddx39b
E1	Ier3
E1	Flot1
E1	Nrm
E1	Ppp1r18
E1	Trim26
E1	Cenpq
E1	B230354K17Rik
E1	Zfp318
E1	Srf
E1	Mea1
E1	Ppp2r5d
E1	Pp2d1
E1	Hdgfrp2
E1	Plin3
E1	Mllt1
E1	Vapa
E1	Lama1
E1	Tgif1
E1	Ndc80
E1	Fez2
E1	Eif2ak2
E1	Cyp1b1
E1	Ttc39d
E1	Plekhh2
E1	Six2
E1	Prkce
E1	Mettl4
E1	4833419F23Rik
E1	Arhgap12
E1	Colec12
E1	Gata6
E1	Riok3
E1	Dsc3
E1	Mapre2
E1	Stard4
E1	Etf1
E1	Ctnna1
E1	Taf7
E1	Pcdhga9
E1	Rnf14
E1	Gnpda1
E1	Dtwd2
E1	Ppic
E1	Cep120
E1	Gramd3
E1	Spink13
E1	2700046A07Rik
E1	Apcdd1
E1	Wdr7
E1	Ier3ip1
E1	Pard6g
E1	Tshz1
E1	Tmx3
E1	Acy3
E1	Ndufv1
E1	Gstp2
E1	Cabp4
E1	Mus81
E1	Kat5
E1	Mir6987
E1	Fam89b
E1	Rasgrp2
E1	Gpr137
E1	Otub1
E1	1700105P06Rik
E1	Snhg1
E1	Rom1
E1	Ostf1
E1	4930554I06Rik
E1	Abhd17b
E1	Pum3
E1	D930032P07Rik
E1	Gm9895
E1	Insl6
E1	Rln1
E1	Prkg1
E1	Ch25h
E1	Slc16a12
E1	Ppp1r3c
E1	Cpeb3
E1	Pyroxd2
E1	Fbxw4
E1	Mgea5
E1	Slk
E1	Fam160b1
E1	Phyh
E1	Usp6nl
E1	Itih5
E1	Hacd1
E1	Skida1
E1	Tubb4b
E1	Clic3
E1	Gpsm1
E1	Notch1
E1	Egfl7
E1	Agpat2
E1	Gtf3c4
E1	Setx
E1	1700001O22Rik
E1	Usp20
E1	D330023K18Rik
E1	Lamc3
E1	Aif1l
E1	Ptges2
E1	Cdk9
E1	Mir3960
E1	Lmx1b
E1	Hspa5
E1	Gm13483
E1	Nmi
E1	Nr4a2
E1	Ly75
E1	Ccdc173
E1	Sp5
E1	Erich2
E1	Gorasp2
E1	Dfnb59
E1	Dnajc10
E1	Clp1
E1	Nup160
E1	Creb3l1
E1	Alx4
E1	Hipk3
E1	Wt1
E1	Mpped2
E1	BC052040
E1	Gm13986
E1	Inafm2
E1	Gm14137
E1	Zfyve19
E1	Chp1
E1	Mga
E1	Jmjd7
E1	Zfp106
E1	Mageb3
E1	Spg11
E1	Zc3h8
E1	Ttl
E1	4932416H05Rik
E1	Stk35
E1	Tmem239
E1	1110034G24Rik
E1	Jag1
E1	Dstn
E1	Slc24a3
E1	Gm14139
E1	Vsx1
E1	6820408C15Rik
E1	Id1
E1	Cox4i2
E1	Itch
E1	6430550D23Rik
E1	Phf20
E1	Cnbd2
E1	Myl9
E1	Dsn1
E1	Oser1
E1	0610039K10Rik
E1	Tomm34
E1	Sdc4
E1	Snx21
E1	Ctsa
E1	Pltp
E1	Pcif1
E1	Zfp335
E1	Slc13a3
E1	Zfas1
E1	Snai1
E1	E130018N17Rik
E1	Zfp217
E1	Fam210b
E1	Npepl1
E1	Taf4
E1	Lama5
E1	Helz2
E1	Gmeb2
E1	Zbtb10
E1	Mtfr1
E1	Pld1
E1	Mecom
E1	Mynn
E1	Mfn1
E1	Anxa5
E1	Ankrd50
E1	Mfsd8
E1	Sclt1
E1	Wwtr1
E1	Serp1
E1	Erich6
E1	Shox2
E1	Rnu73b
E1	Crabp2
E1	Nes
E1	Mef2d
E1	Shc1
E1	Pygo2
E1	Pbxip1
E1	Ubap2l
E1	Jtb
E1	Ints3
E1	S100a1
E1	Prune
E1	Mcl1
E1	Itga10
E1	Notch2
E1	Fam46c
E1	Vangl1
E1	Csde1
E1	Ap4b1
E1	Phtf1os
E1	Capza1
E1	Wnt2b
E1	Alx3
E1	Csf1
E1	Gstm1
E1	Alg14
E1	Arhgap29
