Exp100-Sample1.all_Tn5-CACCAC_BC01203_N02	CD8-like
Exp100-Sample1.all_Tn5-CACCAC_BC01301_N02	NK-like
Exp100-Sample1.all_Tn5-CACCAC_BC01460_N04	mDC-like
Exp100-Sample1.all_Tn5-CACCAC_BC01542_N01	CD4-like
Exp100-Sample1.all_Tn5-CACCAC_BC01574_N04	mDC-like
Exp100-Sample1.all_Tn5-CACCAC_BC01592_N02	CD4-like
Exp100-Sample1.all_Tn5-CACCAC_BC01658_N03	CD4-like
Exp100-Sample1.all_Tn5-CACCAC_BC01681_N02	CD8-like
Exp100-Sample1.all_Tn5-CACCAC_BC01814_N03	NK-like
Exp100-Sample1.all_Tn5-CACCAC_BC01825_N03	CD4-like
Exp100-Sample1.all_Tn5-CACCAC_BC01874_N02	CD4-like
Exp100-Sample1.all_Tn5-CACCAC_BC01940_N04	CD4-like
Exp100-Sample1.all_Tn5-CACCAC_BC02030_N02	CMP-like
Exp100-Sample1.all_Tn5-CACCAC_BC02093_N03	CD4-like
Exp100-Sample1.all_Tn5-CACCAC_BC02106_N02	B-like-2
Exp100-Sample1.all_Tn5-CACCAC_BC02210_N03	CD4-like
Exp100-Sample1.all_Tn5-CACCAC_BC02283_N02	B-like-2
Exp100-Sample1.all_Tn5-CACCAC_BC02317_N02	CD4-like
Exp100-Sample1.all_Tn5-CACCAC_BC02364_N03	CD4-like
Exp100-Sample1.all_Tn5-CACCAC_BC02372_N04	CD4-like
Exp100-Sample1.all_Tn5-CACCAC_BC02374_N02	mDC-like
Exp100-Sample1.all_Tn5-CACCAC_BC02429_N04	CD4-like
Exp100-Sample1.all_Tn5-CACCAC_BC02440_N02	NK-like
Exp100-Sample1.all_Tn5-CACCAC_BC02458_N03	CD4-like
Exp100-Sample1.all_Tn5-CACCAC_BC02475_N05	mDC-like
Exp100-Sample1.all_Tn5-CACCAC_BC02775_N03	mDC-like
Exp100-Sample1.all_Tn5-CACCAC_BC02824_N02	Collision
Exp100-Sample1.all_Tn5-CACCAC_BC02872_N01	CD34-like
Exp100-Sample1.all_Tn5-CACCAC_BC02969_N05	Early-Ery
Exp100-Sample1.all_Tn5-CACCAC_BC02978_N02	Collision
Exp100-Sample1.all_Tn5-CACCAC_BC03004_N02	CD4-like
Exp100-Sample1.all_Tn5-CACCAC_BC03403_N02	NK-like
Exp100-Sample1.all_Tn5-CACCAC_BC03420_N04	CD8-like
Exp100-Sample1.all_Tn5-CACCAC_BC03453_N04	CLP-like-1
Exp100-Sample1.all_Tn5-CACCAC_BC03490_N06	CD8-like
