cell_ID	tSNE1	tSNE2	cellType
CD34_Donor1_S1_BC2756_N01	20.43	25.76	CD34
CD34_Donor1_S1_BC2757_N01	21.16	-8.73	CD34
CD34_Donor1_S1_BC2759_N01	28.24	-2.11	CD34
CD34_Donor1_S1_BC2760_N01	4.06	-28.23	CD34
CD34_Donor1_S1_BC2761_N01	24.70	-20.54	CD34
CD34_Donor1_S1_BC2763_N02	2.99	-30.77	CD34
CD34_Donor1_S1_BC2764_N01	24.10	-0.35	CD34
CD34_Donor1_S1_BC2765_N01	16.83	-9.54	CD34
CD34_Donor1_S1_BC2766_N02	8.34	-11.07	CD34
CD34_Donor1_S1_BC2767_N01	25.24	-21.86	CD34
CD34_Donor1_S1_BC2769_N01	24.69	-11.26	CD34
CD34_Donor1_S1_BC2770_N01	31.48	-0.06	CD34
CD34_Donor1_S1_BC2771_N01	5.94	-1.93	CD34
CD34_Donor1_S1_BC2772_N01	20.46	-15.73	CD34
CD34_Donor1_S1_BC2773_N01	3.17	-29.49	CD34
CD34_Donor1_S1_BC2775_N01	21.16	-9.69	CD34
CD34_Donor1_S1_BC2776_N01	12.98	-9.83	CD34
CD34_Donor1_S1_BC2777_N01	28.91	-2.60	CD34
CD34_Donor1_S1_BC2778_N01	3.71	-30.45	CD34
CD34_Donor1_S1_BC2779_N01	20.94	25.88	CD34
CD34_Donor1_S1_BC2780_N01	17.61	-12.20	CD34
CD34_Donor1_S1_BC2781_N01	4.01	-3.56	CD34
CD34_Donor1_S1_BC2783_N01	1.71	-30.53	CD34
CD34_Donor1_S1_BC2784_N01	19.50	24.34	CD34
CD34_Donor1_S1_BC2785_N01	15.61	-11.03	CD34
CD34_Donor1_S1_BC2786_N02	18.94	24.59	CD34
CD34_Donor1_S1_BC2787_N02	23.54	-11.79	CD34
CD34_Donor1_S1_BC2788_N01	14.75	-7.12	CD34
CD34_Donor1_S1_BC2789_N01	21.96	23.50	CD34
CD34_Donor1_S1_BC2790_N01	20.77	-6.58	CD34
CD34_Donor1_S1_BC2792_N01	32.21	-1.32	CD34
CD34_Donor1_S1_BC2793_N01	19.89	-8.89	CD34
CD34_Donor1_S1_BC2794_N01	17.25	-6.50	CD34
CD34_Donor1_S1_BC2795_N01	1.44	-32.19	CD34
CD34_Donor1_S1_BC2796_N01	4.56	-7.62	CD34
CD34_Donor1_S1_BC2797_N01	24.82	-3.51	CD34
CD34_Donor1_S1_BC2798_N01	24.11	-6.49	CD34
CD34_Donor1_S1_BC2799_N01	30.42	-1.99	CD34
CD34_Donor1_S1_BC2800_N01	6.40	-2.16	CD34
CD34_Donor1_S1_BC2801_N01	15.20	-8.49	CD34
CD34_Donor1_S1_BC2802_N01	25.62	-16.98	CD34
CD34_Donor1_S1_BC2803_N01	2.28	-29.05	CD34
CD34_Donor1_S1_BC2804_N01	8.68	-11.13	CD34
CD34_Donor1_S1_BC2805_N01	27.61	-3.43	CD34
CD34_Donor1_S1_BC2806_N01	25.07	-18.36	CD34
CD34_Donor1_S1_BC2807_N01	21.82	15.45	CD34
CD34_Donor1_S1_BC2808_N01	25.74	3.10	CD34
CD34_Donor1_S1_BC2809_N01	27.94	-3.13	CD34
CD34_Donor1_S1_BC2810_N01	6.28	-6.57	CD34
CD34_Donor1_S1_BC2811_N01	-0.33	1.81	CD34
CD34_Donor1_S1_BC2812_N02	16.66	-17.89	CD34
CD34_Donor1_S1_BC2813_N01	5.08	-7.41	CD34
CD34_Donor1_S1_BC2814_N01	18.10	-8.83	CD34
CD34_Donor1_S1_BC2815_N01	28.44	-3.36	CD34
CD34_Donor1_S1_BC2818_N01	23.27	-12.92	CD34
CD34_Donor1_S1_BC2820_N01	16.46	-14.56	CD34
CD34_Donor1_S1_BC2821_N01	25.14	-8.58	CD34
CD34_Donor1_S1_BC2822_N01	11.30	-27.41	CD34
CD34_Donor1_S1_BC2823_N01	12.67	-8.63	CD34
CD34_Donor1_S1_BC2824_N01	7.74	-16.56	CD34
CD34_Donor1_S1_BC2825_N01	1.44	-32.42	CD34
CD34_Donor1_S1_BC2826_N01	-0.31	-31.68	CD34
CD34_Donor1_S1_BC2827_N01	13.10	-3.88	CD34
CD34_Donor1_S1_BC2828_N01	0.09	-30.59	CD34
CD34_Donor1_S1_BC2829_N01	30.45	-2.99	CD34
CD34_Donor1_S1_BC2830_N01	0.46	-31.95	CD34
CD34_Donor1_S1_BC2831_N01	24.82	-8.55	CD34
CD34_Donor1_S1_BC2832_N01	31.78	-3.25	CD34
CD34_Donor1_S1_BC2833_N01	3.36	-30.51	CD34
CD34_Donor1_S1_BC2834_N01	10.91	-26.87	CD34
CD34_Donor1_S1_BC2835_N01	29.55	4.87	CD34
CD34_Donor1_S1_BC2836_N01	8.48	-10.90	CD34
CD34_Donor1_S1_BC2837_N01	15.15	-12.71	CD34
CD34_Donor1_S1_BC2838_N01	20.28	-12.15	CD34
CD34_Donor1_S1_BC2839_N01	27.68	2.91	CD34
CD34_Donor1_S1_BC2840_N01	8.73	0.61	CD34
CD34_Donor1_S1_BC2841_N01	27.02	-2.60	CD34
CD34_Donor1_S1_BC2842_N01	24.53	-10.65	CD34
CD34_Donor1_S1_BC2843_N01	18.34	22.64	CD34
CD34_Donor1_S1_BC2844_N01	4.92	-1.82	CD34
CD34_Donor1_S1_BC2845_N01	2.20	-28.25	CD34
CD34_Donor1_S1_BC2846_N01	7.09	2.60	CD34
CD34_Donor1_S1_BC2847_N01	29.23	5.92	CD34
CD34_Donor1_S1_BC2848_N01	15.26	-13.47	CD34
CD34_Donor1_S1_BC2851_N01	6.77	-17.37	CD34
CD34_Donor1_S1_BC2852_N01	16.03	-3.50	CD34
CD34_Donor1_S1_BC2854_N01	25.35	-4.62	CD34
CD34_Donor1_S1_BC2855_N01	7.43	-13.14	CD34
CD34_Donor1_S1_BC2856_N01	29.32	-8.26	CD34
CD34_Donor1_S1_BC2857_N02	13.86	-4.02	CD34
CD34_Donor1_S1_BC2858_N01	15.75	-6.78	CD34
CD34_Donor1_S1_BC2859_N01	26.61	-23.14	CD34
CD34_Donor1_S1_BC2860_N02	17.31	-5.45	CD34
CD34_Donor1_S1_BC2861_N01	1.62	-4.04	CD34
CD34_Donor1_S1_BC2862_N01	0.97	-30.46	CD34
CD34_Donor1_S1_BC2863_N01	21.04	26.16	CD34
CD34_Donor1_S1_BC2864_N02	6.59	-13.42	CD34
CD34_Donor1_S1_BC2865_N01	19.99	-4.20	CD34
CD34_Donor1_S1_BC2866_N01	20.24	-10.27	CD34
CD34_Donor1_S1_BC2867_N01	24.62	-7.07	CD34
CD34_Donor1_S1_BC2868_N01	20.57	-9.74	CD34
CD34_Donor1_S1_BC2869_N01	5.55	-27.67	CD34
CD34_Donor1_S1_BC2870_N01	5.87	-15.70	CD34
CD34_Donor1_S1_BC2871_N01	7.26	-15.53	CD34
CD34_Donor1_S1_BC2872_N02	23.16	0.59	CD34
CD34_Donor1_S1_BC2873_N02	12.67	25.59	CD34
CD34_Donor1_S1_BC2874_N01	8.46	-12.07	CD34
CD34_Donor1_S1_BC2875_N01	11.12	-26.52	CD34
CD34_Donor1_S1_BC2876_N01	5.54	2.22	CD34
CD34_Donor1_S1_BC2877_N02	13.77	-4.24	CD34
CD34_Donor1_S1_BC2878_N01	24.79	-5.27	CD34
CD34_Donor1_S1_BC2879_N01	18.92	25.51	CD34
CD34_Donor1_S1_BC2880_N01	10.99	-5.83	CD34
CD34_Donor1_S1_BC2881_N01	30.94	1.80	CD34
CD34_Donor1_S1_BC2885_N01	0.99	-33.06	CD34
CD34_Donor1_S1_BC2887_N01	20.47	-13.50	CD34
CD34_Donor1_S1_BC2888_N01	6.97	-3.22	CD34
CD34_Donor1_S1_BC2889_N02	13.99	-5.64	CD34
CD34_Donor1_S1_BC2890_N01	23.24	-11.18	CD34
CD34_Donor1_S1_BC2891_N01	32.70	-1.37	CD34
CD34_Donor1_S1_BC2893_N01	12.54	-3.59	CD34
CD34_Donor1_S1_BC2894_N01	21.97	-21.81	CD34
CD34_Donor1_S1_BC2895_N02	7.36	-11.77	CD34
CD34_Donor1_S1_BC2896_N01	19.04	23.19	CD34
CD34_Donor1_S1_BC2897_N01	31.86	0.83	CD34
CD34_Donor1_S1_BC2898_N01	7.32	-5.24	CD34
CD34_Donor1_S1_BC2899_N01	22.93	-5.82	CD34
CD34_Donor1_S1_BC2900_N01	28.26	-4.38	CD34
CD34_Donor1_S1_BC2901_N01	25.54	-2.32	CD34
CD34_Donor1_S1_BC2902_N03	10.87	8.40	CD34
CD34_Donor1_S1_BC2903_N01	18.75	-10.13	CD34
CD34_Donor1_S1_BC2905_N01	26.21	-3.18	CD34
CD34_Donor1_S1_BC2906_N01	12.53	-8.42	CD34
CD34_Donor1_S1_BC2907_N01	25.42	-11.20	CD34
CD34_Donor1_S1_BC2908_N01	22.57	-20.68	CD34
CD34_Donor1_S1_BC2909_N01	27.22	-5.35	CD34
CD34_Donor1_S1_BC2911_N01	4.80	-27.26	CD34
CD34_Donor1_S1_BC2912_N01	7.95	-16.95	CD34
CD34_Donor1_S1_BC2913_N01	19.73	-1.82	CD34
CD34_Donor1_S1_BC2914_N01	24.03	-4.11	CD34
CD34_Donor1_S1_BC2915_N01	2.43	-4.71	CD34
CD34_Donor1_S1_BC2916_N01	9.26	-18.97	CD34
CD34_Donor1_S1_BC2918_N01	8.55	-10.74	CD34
CD34_Donor1_S1_BC2919_N01	5.16	1.07	CD34
CD34_Donor1_S1_BC2920_N01	8.62	18.31	CD34
CD34_Donor1_S1_BC2921_N01	11.04	-6.65	CD34
CD34_Donor1_S1_BC2922_N01	9.27	-13.22	CD34
CD34_Donor1_S1_BC2923_N01	15.88	-7.07	CD34
CD34_Donor1_S1_BC2924_N01	3.44	-30.76	CD34
CD34_Donor1_S1_BC2925_N01	8.09	-9.18	CD34
CD34_Donor1_S1_BC2926_N01	7.57	-29.98	CD34
CD34_Donor1_S1_BC2927_N01	4.74	-9.05	CD34
CD34_Donor1_S1_BC2928_N01	14.79	-12.65	CD34
CD34_Donor1_S1_BC2930_N01	12.15	-8.14	CD34
CD34_Donor1_S1_BC2931_N01	24.78	-3.41	CD34
CD34_Donor1_S1_BC2932_N01	8.58	-15.49	CD34
CD34_Donor1_S1_BC2933_N01	28.18	-10.22	CD34
CD34_Donor1_S1_BC2934_N01	22.22	17.60	CD34
CD34_Donor1_S1_BC2935_N01	32.63	-4.73	CD34
CD34_Donor1_S1_BC2937_N01	26.76	-22.65	CD34
CD34_Donor1_S1_BC2938_N01	21.60	21.05	CD34
CD34_Donor1_S1_BC2939_N01	7.34	-7.68	CD34
CD34_Donor1_S1_BC2941_N02	23.51	-20.27	CD34
CD34_Donor1_S1_BC2942_N01	8.20	13.78	CD34
CD34_Donor1_S1_BC2943_N01	3.34	-7.89	CD34
CD34_Donor1_S1_BC2944_N01	0.49	-29.78	CD34
CD34_Donor1_S1_BC2947_N01	21.10	22.79	CD34
CD34_Donor1_S1_BC2948_N01	11.26	-26.64	CD34
CD34_Donor1_S1_BC2949_N01	14.90	-12.69	CD34
CD34_Donor1_S1_BC2950_N02	28.49	4.97	CD34
CD34_Donor1_S1_BC2951_N01	5.27	-11.58	CD34
CD34_Donor1_S1_BC2952_N01	29.00	-8.52	CD34
CD34_Donor1_S1_BC2953_N01	15.44	-18.99	CD34
CD34_Donor1_S1_BC2954_N01	3.09	-18.35	CD34
CD34_Donor1_S1_BC2955_N01	22.46	-1.56	CD34
CD34_Donor1_S1_BC2956_N01	24.14	11.98	CD34
CD34_Donor1_S1_BC2957_N01	19.14	22.10	CD34
CD34_Donor1_S1_BC2958_N01	22.44	17.44	CD34
CD34_Donor1_S1_BC2960_N01	28.58	3.08	CD34
CD34_Donor1_S1_BC2961_N01	23.60	-3.77	CD34
CD34_Donor1_S1_BC2962_N01	23.61	-12.31	CD34
CD34_Donor1_S1_BC2963_N01	17.99	-19.06	CD34
CD34_Donor1_S1_BC2964_N01	28.05	3.55	CD34
CD34_Donor1_S1_BC2965_N01	24.97	-11.49	CD34
CD34_Donor1_S1_BC2966_N01	0.17	-31.14	CD34
CD34_Donor1_S1_BC2967_N01	21.35	-8.40	CD34
CD34_Donor1_S1_BC2968_N01	7.67	-26.23	CD34
CD34_Donor1_S1_BC2969_N01	20.35	-15.75	CD34
CD34_Donor1_S1_BC2970_N01	19.79	-5.65	CD34
CD34_Donor1_S1_BC2972_N01	29.65	1.71	CD34
CD34_Donor1_S1_BC2973_N01	11.52	2.87	CD34
CD34_Donor1_S1_BC2974_N01	20.31	-8.20	CD34
CD34_Donor1_S1_BC2976_N01	24.49	-12.37	CD34
CD34_Donor1_S1_BC2977_N01	16.63	-18.24	CD34
CD34_Donor1_S1_BC2978_N01	3.86	-9.72	CD34
CD34_Donor1_S1_BC2981_N02	3.09	-18.45	CD34
CD34_Donor1_S1_BC2982_N02	2.47	-9.76	CD34
CD34_Donor1_S1_BC2983_N01	24.87	20.12	CD34
CD34_Donor1_S1_BC2984_N01	10.41	-17.60	CD34
CD34_Donor1_S1_BC2985_N01	21.06	3.35	CD34
CD34_Donor1_S1_BC2987_N05	25.05	-6.72	CD34
CD34_Donor1_S1_BC2988_N01	3.74	-6.55	CD34
CD34_Donor1_S1_BC2989_N01	2.74	-2.80	CD34
CD34_Donor1_S1_BC2990_N01	15.65	-14.48	CD34
CD34_Donor1_S1_BC2991_N01	29.25	2.78	CD34
CD34_Donor1_S1_BC2993_N01	20.74	-13.29	CD34
CD34_Donor1_S1_BC2994_N01	18.99	14.76	CD34
CD34_Donor1_S1_BC2995_N01	26.55	2.74	CD34
CD34_Donor1_S1_BC2996_N01	25.54	-17.20	CD34
CD34_Donor1_S1_BC2997_N01	20.18	-9.67	CD34
CD34_Donor1_S1_BC2998_N01	16.28	-18.67	CD34
CD34_Donor1_S1_BC2999_N01	23.58	12.76	CD34
CD34_Donor1_S1_BC3000_N01	5.06	-7.73	CD34
CD34_Donor1_S1_BC3001_N01	10.95	-6.09	CD34
CD34_Donor1_S1_BC3002_N01	25.03	2.68	CD34
CD34_Donor1_S1_BC3003_N01	30.20	-1.54	CD34
CD34_Donor1_S1_BC3004_N01	7.88	-9.87	CD34
CD34_Donor1_S1_BC3005_N01	16.76	-5.02	CD34
CD34_Donor1_S1_BC3007_N01	25.27	3.57	CD34
CD34_Donor1_S1_BC3008_N01	7.00	-30.65	CD34
CD34_Donor1_S1_BC3009_N01	4.71	-27.75	CD34
CD34_Donor1_S1_BC3011_N01	8.46	-4.44	CD34
CD34_Donor1_S1_BC3012_N01	11.71	4.67	CD34
CD34_Donor1_S1_BC3013_N01	30.85	-1.28	CD34
CD34_Donor1_S1_BC3014_N01	-0.41	-30.79	CD34
CD34_Donor1_S1_BC3015_N02	3.93	6.79	CD34
CD34_Donor1_S1_BC3016_N01	26.60	-2.13	CD34
CD34_Donor1_S1_BC3017_N01	13.14	-0.15	CD34
CD34_Donor1_S1_BC3019_N01	30.54	3.37	CD34
CD34_Donor1_S1_BC3020_N01	21.02	-13.68	CD34
CD34_Donor1_S1_BC3021_N02	5.85	-3.85	CD34
CD34_Donor1_S1_BC3022_N02	7.06	-3.10	CD34
CD34_Donor1_S1_BC3023_N01	9.02	-12.04	CD34
CD34_Donor1_S1_BC3024_N01	1.34	-27.71	CD34
CD34_Donor1_S1_BC3026_N01	11.92	3.06	CD34
CD34_Donor1_S1_BC3027_N01	29.12	1.24	CD34
CD34_Donor1_S1_BC3028_N01	20.48	-11.84	CD34
CD34_Donor1_S1_BC3029_N01	19.18	-11.93	CD34
CD34_Donor1_S1_BC3030_N01	24.00	-6.12	CD34
CD34_Donor1_S1_BC3031_N01	18.94	-2.16	CD34
CD34_Donor1_S1_BC3032_N01	4.60	-18.26	CD34
CD34_Donor1_S1_BC3033_N02	21.02	20.39	CD34
CD34_Donor1_S1_BC3035_N01	10.70	-27.81	CD34
CD34_Donor1_S1_BC3036_N01	14.98	-4.74	CD34
CD34_Donor1_S1_BC3037_N01	31.41	-1.78	CD34
CD34_Donor1_S1_BC3038_N02	11.69	-10.62	CD34
CD34_Donor1_S1_BC3039_N01	26.21	-4.62	CD34
CD34_Donor1_S1_BC3040_N01	1.23	-2.93	CD34
CD34_Donor1_S1_BC3041_N01	7.80	-17.28	CD34
CD34_Donor1_S1_BC3042_N02	-16.61	18.75	CD34
CD34_Donor1_S1_BC3043_N01	15.18	-2.20	CD34
CD34_Donor1_S1_BC3045_N01	20.26	-15.10	CD34
CD34_Donor1_S1_BC3046_N01	7.49	-29.56	CD34
CD34_Donor1_S1_BC3047_N01	24.28	-5.01	CD34
CD34_Donor1_S1_BC3048_N02	26.68	-4.09	CD34
CD34_Donor1_S1_BC3049_N02	24.62	-7.58	CD34
CD34_Donor1_S1_BC3050_N02	12.64	-3.38	CD34
CD34_Donor1_S1_BC3051_N01	5.72	-6.60	CD34
CD34_Donor1_S1_BC3052_N01	29.83	-2.57	CD34
CD34_Donor1_S1_BC3053_N01	8.46	18.02	CD34
CD34_Donor1_S1_BC3054_N01	3.06	-5.83	CD34
CD34_Donor1_S1_BC3055_N01	25.30	-17.22	CD34
CD34_Donor1_S1_BC3056_N01	7.19	-29.40	CD34
CD34_Donor1_S1_BC3058_N01	3.57	-29.58	CD34
CD34_Donor1_S1_BC3059_N01	12.35	-6.21	CD34
CD34_Donor1_S1_BC3060_N01	8.15	-17.69	CD34
CD34_Donor1_S1_BC3061_N01	12.27	-20.50	CD34
CD34_Donor1_S1_BC3062_N01	22.90	-6.88	CD34
CD34_Donor1_S1_BC3065_N01	7.32	5.41	CD34
CD34_Donor1_S1_BC3066_N01	29.40	1.98	CD34
CD34_Donor1_S1_BC3067_N01	0.26	-31.42	CD34
CD34_Donor1_S1_BC3068_N02	10.95	-27.37	CD34
CD34_Donor1_S1_BC3069_N01	0.41	-29.37	CD34
CD34_Donor1_S1_BC3070_N01	20.04	-6.23	CD34
CD34_Donor1_S1_BC3071_N01	21.06	-8.28	CD34
CD34_Donor1_S1_BC3072_N01	14.76	-7.92	CD34
CD34_Donor1_S1_BC3073_N01	5.34	-27.46	CD34
CD34_Donor1_S1_BC3074_N01	12.65	25.86	CD34
CD34_Donor1_S1_BC3076_N01	23.43	16.40	CD34
CD34_Donor1_S1_BC3078_N01	11.34	-26.45	CD34
CD34_Donor1_S1_BC3079_N02	11.99	-6.54	CD34
CD34_Donor1_S1_BC3080_N01	5.03	-7.05	CD34
CD34_Donor1_S1_BC3081_N01	24.36	3.55	CD34
CD34_Donor1_S1_BC3082_N01	14.40	-6.70	CD34
CD34_Donor1_S1_BC3083_N01	3.86	-13.30	CD34
CD34_Donor1_S1_BC3084_N01	26.23	-20.84	CD34
CD34_Donor1_S1_BC3085_N01	27.35	-1.25	CD34
CD34_Donor1_S1_BC3086_N01	12.88	-10.17	CD34
CD34_Donor1_S1_BC3087_N01	10.74	-8.79	CD34
CD34_Donor1_S1_BC3089_N01	5.99	-12.85	CD34
CD34_Donor1_S1_BC3090_N02	0.65	-29.44	CD34
CD34_Donor1_S1_BC3092_N01	18.25	23.37	CD34
CD34_Donor1_S1_BC3093_N01	4.23	-27.84	CD34
CD34_Donor1_S1_BC3095_N01	11.21	-5.99	CD34
CD34_Donor1_S1_BC3096_N01	12.47	-10.08	CD34
CD34_Donor1_S1_BC3097_N01	12.62	-16.51	CD34
CD34_Donor1_S1_BC3098_N01	10.32	-17.30	CD34
CD34_Donor1_S1_BC3100_N02	3.25	-7.84	CD34
CD34_Donor1_S1_BC3101_N01	17.49	24.45	CD34
CD34_Donor1_S1_BC3102_N01	24.61	-17.64	CD34
CD34_Donor1_S1_BC3103_N02	19.76	-19.42	CD34
CD34_Donor1_S1_BC3105_N01	5.20	-2.32	CD34
CD34_Donor1_S1_BC3106_N01	18.75	-8.69	CD34
CD34_Donor1_S1_BC3107_N01	24.10	6.59	CD34
CD34_Donor1_S1_BC3108_N01	27.15	-2.12	CD34
CD34_Donor1_S1_BC3112_N01	4.89	4.70	CD34
CD34_Donor1_S1_BC3114_N01	21.12	-8.75	CD34
CD34_Donor1_S1_BC3115_N01	3.11	-9.15	CD34
CD34_Donor1_S1_BC3116_N02	1.69	-32.51	CD34
CD34_Donor1_S1_BC3117_N01	17.88	-9.92	CD34
CD34_Donor1_S1_BC3118_N01	28.20	0.99	CD34
CD34_Donor1_S1_BC3119_N01	2.20	-8.39	CD34
CD34_Donor1_S1_BC3120_N02	2.07	-31.81	CD34
CD34_Donor1_S1_BC3121_N01	7.49	19.11	CD34
CD34_Donor1_S1_BC3122_N01	20.31	-9.63	CD34
CD34_Donor1_S1_BC3123_N01	20.21	-11.63	CD34
CD34_Donor1_S1_BC3124_N01	28.57	-10.45	CD34
CD34_Donor1_S1_BC3126_N01	26.79	3.25	CD34
CD34_Donor1_S1_BC3127_N01	22.55	13.42	CD34
CD34_Donor1_S1_BC3128_N01	28.73	4.84	CD34
CD34_Donor1_S1_BC3130_N01	15.15	-6.16	CD34
CD34_Donor1_S1_BC3131_N01	1.32	-29.54	CD34
CD34_Donor1_S1_BC3132_N01	29.93	4.92	CD34
CD34_Donor1_S1_BC3133_N01	23.16	13.05	CD34
CD34_Donor1_S1_BC3134_N01	10.33	13.29	CD34
CD34_Donor1_S1_BC3135_N01	31.10	-0.57	CD34
CD34_Donor1_S1_BC3136_N01	3.20	-29.33	CD34
CD34_Donor1_S1_BC3137_N03	0.98	0.00	CD34
CD34_Donor1_S1_BC3138_N01	20.21	-5.91	CD34
CD34_Donor1_S1_BC3139_N01	30.86	-2.10	CD34
CD34_Donor1_S1_BC3140_N01	26.61	-22.83	CD34
CD34_Donor1_S1_BC3141_N01	-0.16	-31.86	CD34
CD34_Donor1_S1_BC3142_N01	19.94	-5.82	CD34
CD34_Donor1_S1_BC3143_N01	3.89	-23.51	CD34
CD34_Donor1_S1_BC3144_N01	8.90	-6.64	CD34
CD34_Donor1_S1_BC3145_N01	17.31	-10.94	CD34
CD34_Donor1_S1_BC3146_N01	3.17	-17.58	CD34
CD34_Donor1_S1_BC3147_N01	21.63	19.50	CD34
CD34_Donor1_S1_BC3148_N01	13.04	-2.64	CD34
CD34_Donor1_S1_BC3149_N01	19.08	-0.10	CD34
CD34_Donor1_S1_BC3150_N01	14.68	-5.32	CD34
CD34_Donor1_S1_BC3151_N02	4.47	-1.92	CD34
CD34_Donor1_S1_BC3153_N01	23.55	7.71	CD34
CD34_Donor1_S1_BC3154_N01	24.35	-17.43	CD34
CD34_Donor1_S1_BC3155_N01	22.30	-12.73	CD34
CD34_Donor1_S1_BC3156_N01	26.30	-2.89	CD34
CD34_Donor1_S1_BC3157_N01	27.53	4.20	CD34
CD34_Donor1_S1_BC3158_N01	1.34	-32.41	CD34
CD34_Donor1_S1_BC3159_N01	9.94	-20.67	CD34
CD34_Donor1_S1_BC3160_N02	6.86	-17.61	CD34
CD34_Donor1_S1_BC3161_N01	31.16	-1.38	CD34
CD34_Donor1_S1_BC3162_N01	2.07	-14.56	CD34
CD34_Donor1_S1_BC3163_N01	22.65	-5.81	CD34
CD34_Donor1_S1_BC3164_N01	7.78	-13.31	CD34
CD34_Donor1_S1_BC3165_N01	22.76	18.49	CD34
CD34_Donor1_S1_BC3166_N01	28.46	4.02	CD34
CD34_Donor1_S1_BC3167_N01	14.26	-6.65	CD34
CD34_Donor1_S1_BC3168_N01	21.65	-0.13	CD34
CD34_Donor1_S1_BC3169_N01	3.53	-11.59	CD34
CD34_Donor1_S1_BC3170_N01	31.41	-0.92	CD34
CD34_Donor1_S1_BC3172_N02	18.45	-12.83	CD34
CD34_Donor1_S1_BC3173_N01	4.30	-29.47	CD34
CD34_Donor1_S1_BC3174_N01	31.85	-3.12	CD34
CD34_Donor1_S1_BC3175_N01	1.57	-32.68	CD34
CD34_Donor1_S1_BC3178_N01	26.57	7.03	CD34
CD34_Donor1_S1_BC3179_N02	3.55	-29.90	CD34
CD34_Donor1_S1_BC3180_N01	4.58	-8.23	CD34
CD34_Donor1_S1_BC3181_N01	7.00	-11.18	CD34
CD34_Donor1_S1_BC3183_N01	7.20	-14.94	CD34
CD34_Donor1_S1_BC3184_N01	4.32	-29.91	CD34
CD34_Donor1_S1_BC3185_N01	1.89	5.60	CD34
CD34_Donor1_S1_BC3186_N01	20.62	-10.28	CD34
CD34_Donor1_S1_BC3187_N01	1.17	-29.25	CD34
CD34_Donor1_S1_BC3188_N01	-0.52	-29.88	CD34
CD34_Donor1_S1_BC3189_N01	8.74	-15.46	CD34
CD34_Donor1_S1_BC3190_N01	19.86	-5.10	CD34
CD34_Donor1_S1_BC3191_N01	6.87	-7.94	CD34
CD34_Donor1_S1_BC3192_N01	27.67	-10.48	CD34
CD34_Donor1_S1_BC3193_N01	0.76	-29.22	CD34
CD34_Donor1_S1_BC3194_N01	22.26	-19.75	CD34
CD34_Donor1_S1_BC3195_N01	7.49	-6.72	CD34
CD34_Donor1_S1_BC3196_N01	18.11	-3.53	CD34
CD34_Donor1_S1_BC3198_N01	23.22	16.98	CD34
CD34_Donor1_S1_BC3199_N01	28.01	-9.17	CD34
CD34_Donor1_S1_BC3200_N02	14.37	-7.02	CD34
CD34_Donor1_S1_BC3201_N01	19.66	-9.63	CD34
CD34_Donor1_S1_BC3202_N01	20.27	-0.44	CD34
CD34_Donor1_S1_BC3203_N01	15.51	-7.95	CD34
CD34_Donor1_S1_BC3204_N01	19.09	-2.12	CD34
CD34_Donor1_S1_BC3205_N01	7.52	-6.98	CD34
CD34_Donor1_S1_BC3208_N02	20.07	-11.96	CD34
CD34_Donor1_S1_BC3209_N01	0.47	-30.22	CD34
CD34_Donor1_S1_BC3210_N01	29.22	4.14	CD34
CD34_Donor1_S1_BC3211_N01	5.19	-28.31	CD34
CD34_Donor1_S1_BC3212_N01	27.31	-2.36	CD34
CD34_Donor1_S1_BC3213_N02	4.67	-7.00	CD34
CD34_Donor1_S1_BC3214_N01	14.68	-13.94	CD34
CD34_Donor1_S1_BC3215_N01	21.87	-6.91	CD34
CD34_Donor1_S1_BC3217_N01	8.11	-16.09	CD34
CD34_Donor1_S1_BC3218_N01	11.65	-19.62	CD34
CD34_Donor1_S1_BC3219_N01	27.26	-3.29	CD34
CD34_Donor1_S1_BC3220_N01	5.02	-28.16	CD34
CD34_Donor1_S1_BC3222_N01	8.97	-25.77	CD34
CD34_Donor1_S1_BC3223_N02	18.53	21.58	CD34
CD34_Donor1_S1_BC3224_N01	-0.17	-31.02	CD34
CD34_Donor1_S1_BC3225_N01	21.44	-18.88	CD34
CD34_Donor1_S1_BC3226_N01	4.73	-31.89	CD34
CD34_Donor1_S1_BC3227_N01	12.35	-8.38	CD34
CD34_Donor1_S1_BC3228_N01	21.24	18.46	CD34
CD34_Donor1_S1_BC3229_N01	18.70	26.41	CD34
CD34_Donor1_S1_BC3230_N02	15.21	-18.76	CD34
CD34_Donor1_S1_BC3231_N01	13.71	-1.18	CD34
CD34_Donor1_S1_BC3232_N02	16.07	-4.34	CD34
CD34_Donor1_S1_BC3234_N01	27.80	-4.18	CD34
CD34_Donor1_S1_BC3235_N01	1.13	0.23	CD34
CD34_Donor1_S1_BC3237_N01	16.40	-0.90	CD34
CD34_Donor1_S1_BC3238_N01	29.86	-0.91	CD34
CD34_Donor1_S1_BC3239_N01	-0.04	-30.50	CD34
CD34_Donor1_S1_BC3241_N01	21.04	-16.46	CD34
CD34_Donor1_S1_BC3242_N01	18.46	-0.15	CD34
CD34_Donor1_S1_BC3243_N01	0.48	-4.49	CD34
CD34_Donor1_S1_BC3244_N01	-0.25	-31.71	CD34
CD34_Donor1_S1_BC3247_N01	4.43	-2.28	CD34
CD34_Donor1_S1_BC3248_N02	8.70	-27.85	CD34
CD34_Donor1_S1_BC3249_N02	5.11	-25.73	CD34
