cell_ID	tSNE1	tSNE2	cellType
CD34_Donor1_S1_BC0253_N01	13.13	-9.60	CD34
CD34_Donor1_S1_BC0254_N01	11.98	-9.01	CD34
CD34_Donor1_S1_BC0255_N01	10.99	-9.27	CD34
CD34_Donor1_S1_BC0256_N01	15.06	-10.00	CD34
CD34_Donor1_S1_BC0258_N01	5.55	-6.96	CD34
CD34_Donor1_S1_BC0265_N01	8.26	-28.79	CD34
CD34_Donor1_S1_BC0266_N01	10.84	-27.60	CD34
CD34_Donor1_S1_BC0267_N01	10.25	-17.16	CD34
CD34_Donor1_S1_BC0268_N01	12.26	-8.70	CD34
CD34_Donor1_S1_BC0269_N01	21.01	-16.95	CD34
CD34_Donor1_S1_BC0270_N01	7.64	-13.81	CD34
CD34_Donor1_S1_BC0272_N01	14.33	-8.40	CD34
CD34_Donor1_S1_BC0274_N01	13.44	-8.17	CD34
CD34_Donor1_S1_BC0275_N01	8.82	-28.92	CD34
CD34_Donor1_S1_BC0277_N01	23.01	-3.41	CD34
CD34_Donor1_S1_BC0278_N01	24.60	-5.88	CD34
CD34_Donor1_S1_BC0280_N01	8.29	-29.58	CD34
CD34_Donor1_S1_BC0282_N01	13.38	-8.21	CD34
CD34_Donor1_S1_BC0283_N01	10.48	-20.15	CD34
CD34_Donor1_S1_BC0285_N01	25.07	21.11	CD34
CD34_Donor1_S1_BC0291_N01	2.03	-31.18	CD34
CD34_Donor1_S1_BC0295_N01	5.01	-18.29	CD34
CD34_Donor1_S1_BC0298_N01	11.91	-13.06	CD34
CD34_Donor1_S1_BC0299_N01	24.65	19.98	CD34
CD34_Donor1_S1_BC0300_N01	19.91	-9.31	CD34
CD34_Donor1_S1_BC0301_N01	9.40	-28.62	CD34
CD34_Donor1_S1_BC0305_N01	8.96	-0.40	CD34
CD34_Donor1_S1_BC0306_N01	21.74	-0.13	CD34
CD34_Donor1_S1_BC0318_N01	28.05	-2.34	CD34
CD34_Donor1_S1_BC0319_N01	8.65	19.98	CD34
CD34_Donor1_S1_BC0323_N01	5.61	-18.09	CD34
CD34_Donor1_S1_BC0324_N01	7.83	-13.83	CD34
CD34_Donor1_S1_BC0325_N01	13.74	-12.91	CD34
CD34_Donor1_S1_BC0326_N01	22.26	-13.34	CD34
CD34_Donor1_S1_BC0327_N01	21.68	-18.49	CD34
CD34_Donor1_S1_BC0329_N01	16.83	-8.02	CD34
CD34_Donor1_S1_BC0331_N01	13.10	-7.78	CD34
CD34_Donor1_S1_BC0332_N01	26.37	-8.32	CD34
CD34_Donor1_S1_BC0338_N01	21.24	-13.49	CD34
CD34_Donor1_S1_BC0339_N01	16.99	-17.30	CD34
CD34_Donor1_S1_BC0341_N01	23.04	-7.58	CD34
CD34_Donor1_S1_BC0343_N01	7.51	-26.40	CD34
CD34_Donor1_S1_BC0344_N01	12.72	-8.95	CD34
CD34_Donor1_S1_BC0346_N01	21.24	-13.67	CD34
CD34_Donor1_S1_BC0347_N01	9.58	-28.71	CD34
CD34_Donor1_S1_BC0349_N01	16.56	-17.24	CD34
CD34_Donor1_S1_BC0350_N01	2.74	-30.42	CD34
CD34_Donor1_S1_BC0354_N01	9.91	-9.13	CD34
CD34_Donor1_S1_BC0355_N01	10.64	-7.36	CD34
CD34_Donor1_S1_BC0356_N01	29.05	-4.48	CD34
CD34_Donor1_S1_BC0357_N01	9.14	-12.80	CD34
CD34_Donor1_S1_BC0358_N01	7.24	5.33	CD34
CD34_Donor1_S1_BC0359_N01	21.53	-18.08	CD34
CD34_Donor1_S1_BC0360_N01	8.65	-4.44	CD34
CD34_Donor1_S1_BC0361_N01	2.68	-31.66	CD34
CD34_Donor1_S1_BC0362_N01	17.70	14.21	CD34
CD34_Donor1_S1_BC0364_N01	21.52	23.45	CD34
CD34_Donor1_S1_BC0365_N01	20.85	-7.37	CD34
CD34_Donor1_S1_BC0367_N01	4.93	-30.27	CD34
CD34_Donor1_S1_BC0369_N01	14.68	-0.35	CD34
CD34_Donor1_S1_BC0370_N01	5.24	-27.71	CD34
CD34_Donor1_S1_BC0371_N01	28.97	-8.37	CD34
CD34_Donor1_S1_BC0372_N01	16.76	-18.11	CD34
CD34_Donor1_S1_BC0373_N01	6.84	-13.10	CD34
CD34_Donor1_S1_BC0375_N01	9.31	-28.65	CD34
CD34_Donor1_S1_BC0376_N01	12.24	-7.68	CD34
CD34_Donor1_S1_BC0377_N01	22.09	-21.72	CD34
CD34_Donor1_S1_BC0381_N01	3.77	-13.38	CD34
CD34_Donor1_S1_BC0382_N01	12.87	-10.49	CD34
CD34_Donor1_S1_BC0384_N01	3.70	-16.81	CD34
CD34_Donor1_S1_BC0385_N01	14.17	-6.06	CD34
CD34_Donor1_S1_BC0387_N01	4.85	-25.33	CD34
CD34_Donor1_S1_BC0394_N01	3.28	-33.03	CD34
CD34_Donor1_S1_BC0396_N01	5.28	-13.63	CD34
CD34_Donor1_S1_BC0397_N01	5.16	-29.09	CD34
CD34_Donor1_S1_BC0398_N01	8.52	-9.49	CD34
CD34_Donor1_S1_BC0401_N01	4.33	-28.96	CD34
CD34_Donor1_S1_BC0404_N01	6.84	-7.35	CD34
CD34_Donor1_S1_BC0406_N01	22.33	-18.50	CD34
CD34_Donor1_S1_BC0407_N01	21.18	-11.48	CD34
CD34_Donor1_S1_BC0409_N01	17.45	-18.54	CD34
CD34_Donor1_S1_BC0410_N01	25.02	-18.98	CD34
CD34_Donor1_S1_BC0411_N01	7.85	-4.87	CD34
CD34_Donor1_S1_BC0412_N01	23.05	-13.61	CD34
CD34_Donor1_S1_BC0414_N02	7.96	-9.06	CD34
CD34_Donor1_S1_BC0415_N01	2.59	-4.05	CD34
CD34_Donor1_S1_BC0416_N01	12.19	-15.59	CD34
CD34_Donor1_S1_BC0417_N01	5.56	-29.13	CD34
CD34_Donor1_S1_BC0418_N01	4.61	-24.48	CD34
CD34_Donor1_S1_BC0420_N01	25.68	-2.75	CD34
CD34_Donor1_S1_BC0422_N01	12.62	-2.29	CD34
CD34_Donor1_S1_BC0424_N01	11.78	-27.41	CD34
CD34_Donor1_S1_BC0425_N01	8.32	-12.65	CD34
CD34_Donor1_S1_BC0426_N01	14.43	-9.86	CD34
CD34_Donor1_S1_BC0428_N01	21.28	-16.63	CD34
CD34_Donor1_S1_BC0429_N01	14.69	-13.49	CD34
CD34_Donor1_S1_BC0430_N01	7.89	-7.63	CD34
CD34_Donor1_S1_BC0431_N01	14.49	-9.62	CD34
CD34_Donor1_S1_BC0433_N01	21.16	-19.14	CD34
CD34_Donor1_S1_BC0435_N01	22.93	16.13	CD34
CD34_Donor1_S1_BC0436_N01	15.40	-11.49	CD34
CD34_Donor1_S1_BC0439_N01	-0.06	-2.90	CD34
CD34_Donor1_S1_BC0440_N01	23.12	3.63	CD34
CD34_Donor1_S1_BC0441_N01	23.62	-10.66	CD34
CD34_Donor1_S1_BC0442_N02	9.94	-12.82	CD34
CD34_Donor1_S1_BC0443_N01	3.75	-29.09	CD34
CD34_Donor1_S1_BC0444_N01	8.05	-13.65	CD34
CD34_Donor1_S1_BC0445_N01	5.96	-17.99	CD34
CD34_Donor1_S1_BC0446_N01	4.29	-30.26	CD34
CD34_Donor1_S1_BC0451_N01	5.57	-2.25	CD34
CD34_Donor1_S1_BC0454_N01	7.44	-3.90	CD34
CD34_Donor1_S1_BC0456_N01	12.41	-2.05	CD34
CD34_Donor1_S1_BC0458_N01	7.67	-12.85	CD34
CD34_Donor1_S1_BC0459_N01	25.88	-22.62	CD34
CD34_Donor1_S1_BC0460_N01	24.93	-21.82	CD34
CD34_Donor1_S1_BC0462_N01	17.05	-18.90	CD34
CD34_Donor1_S1_BC0463_N01	17.07	19.22	CD34
CD34_Donor1_S1_BC0464_N01	10.10	-20.24	CD34
CD34_Donor1_S1_BC0470_N01	23.68	-10.77	CD34
