tSNE1	tSNE2	cluster_id	cell_id
-20.01	1.05	V2	N701_Exp119_sample1_S1_BC0098_N02
3.95	-19.8	V23	N701_Exp119_sample1_S1_BC0099_N01
-34.01	-6.76	V10	N701_Exp119_sample1_S1_BC0100_N01
-3.56	8.21	V25	N701_Exp119_sample1_S1_BC0101_N02
-10.25	11	V25	N701_Exp119_sample1_S1_BC0102_N01
-6.63	24.21	V3	N701_Exp119_sample1_S1_BC0103_N02
23.48	-17.85	V9	N701_Exp119_sample1_S1_BC0104_N01
28.87	7.28	V8	N701_Exp119_sample1_S1_BC0105_N01
15.46	-29.75	V5	N701_Exp119_sample1_S1_BC0106_N02
-6.47	13.12	V25	N701_Exp119_sample1_S1_BC0107_N02
16.38	-8.37	V13	N701_Exp119_sample1_S1_BC0108_N01
-35.14	-4.11	V10	N701_Exp119_sample1_S1_BC0109_N02
24.89	2.69	V21	N701_Exp119_sample1_S1_BC0110_N01
6.38	4.5	V21	N701_Exp119_sample1_S1_BC0111_N01
-9.28	3.55	V25	N701_Exp119_sample1_S1_BC0112_N01
-9.39	4.07	V25	N701_Exp119_sample1_S1_BC0113_N01
-10.53	22.34	V3	N701_Exp119_sample1_S1_BC0114_N04
-8.97	-0.79	V17	N701_Exp119_sample1_S1_BC0115_N01
29.28	-0.67	V16	N701_Exp119_sample1_S1_BC0116_N01
23.04	-2.16	V21	N701_Exp119_sample1_S1_BC0117_N01
28.63	-18.67	V9	N701_Exp119_sample1_S1_BC0118_N01
28.86	7.33	V8	N701_Exp119_sample1_S1_BC0119_N01
-1.89	4.46	V25	N701_Exp119_sample1_S1_BC0120_N02
-7.26	-26.51	V22	N701_Exp119_sample1_S1_BC0121_N02
-33.55	-4.24	V10	N701_Exp119_sample1_S1_BC0122_N01
23.46	-18.79	V9	N701_Exp119_sample1_S1_BC0123_N01
8.06	-11.7	V13	N701_Exp119_sample1_S1_BC0124_N01
17.61	-8.16	V13	N701_Exp119_sample1_S1_BC0125_N02
-11.64	21.66	V3	N701_Exp119_sample1_S1_BC0126_N01
-12.7	30.84	V15	N701_Exp119_sample1_S1_BC0127_N02
23.89	-17.13	V9	N701_Exp119_sample1_S1_BC0128_N02
-12.21	9.55	V25	N701_Exp119_sample1_S1_BC0129_N01
-11.08	10.39	V25	N701_Exp119_sample1_S1_BC0130_N02
14.16	-25.98	V5	N701_Exp119_sample1_S1_BC0131_N02
-9.51	-0.36	V17	N701_Exp119_sample1_S1_BC0132_N02
26.29	-7.75	V16	N701_Exp119_sample1_S1_BC0133_N01
0.56	-0.4	V25	N701_Exp119_sample1_S1_BC0134_N02
5.59	7.08	V25	N701_Exp119_sample1_S1_BC0135_N01
8.12	9.2	V25	N701_Exp119_sample1_S1_BC0136_N01
-4.55	-5.6	V19	N701_Exp119_sample1_S1_BC0137_N01
-34.99	-5.88	V10	N701_Exp119_sample1_S1_BC0138_N02
17.8	-22.5	V5	N701_Exp119_sample1_S1_BC0139_N01
19.36	-6.74	V21	N701_Exp119_sample1_S1_BC0140_N01
-0.76	4.01	V25	N701_Exp119_sample1_S1_BC0141_N01
-0.21	13.98	V25	N701_Exp119_sample1_S1_BC0142_N01
-34.12	-6.66	V10	N701_Exp119_sample1_S1_BC0143_N01
28.4	-18.4	V9	N701_Exp119_sample1_S1_BC0144_N01
5.99	4.78	V21	N701_Exp119_sample1_S1_BC0145_N01
-0.79	0.25	V25	N701_Exp119_sample1_S1_BC0146_N02
29.27	-18.82	V9	N701_Exp119_sample1_S1_BC0147_N01
28.29	-0.25	V16	N701_Exp119_sample1_S1_BC0148_N01
-26.24	-1.02	V2	N701_Exp119_sample1_S1_BC0149_N01
9.83	3.94	V21	N701_Exp119_sample1_S1_BC0150_N02
11.88	-9.14	V13	N701_Exp119_sample1_S1_BC0151_N02
6.28	-28.48	V14	N701_Exp119_sample1_S1_BC0152_N01
16.22	-24.5	V5	N701_Exp119_sample1_S1_BC0153_N01
5.25	4.25	V21	N701_Exp119_sample1_S1_BC0154_N02
19.04	3.06	V21	N701_Exp119_sample1_S1_BC0155_N01
-4.22	1.72	V25	N701_Exp119_sample1_S1_BC0156_N01
-0.25	2.09	V25	N701_Exp119_sample1_S1_BC0157_N03
22.57	0.33	V21	N701_Exp119_sample1_S1_BC0158_N01
-10.51	-1.8	V17	N701_Exp119_sample1_S1_BC0159_N01
28.72	-3.64	V16	N701_Exp119_sample1_S1_BC0160_N01
1.21	4	V21	N701_Exp119_sample1_S1_BC0161_N01
21.51	-25.46	V9	N701_Exp119_sample1_S1_BC0162_N01
-4.28	22.14	V3	N701_Exp119_sample1_S1_BC0163_N03
-9.91	23.54	V3	N701_Exp119_sample1_S1_BC0164_N01
-7.8	11.49	V25	N701_Exp119_sample1_S1_BC0165_N01
16.29	-8.12	V13	N701_Exp119_sample1_S1_BC0166_N03
-36.57	-1.72	V10	N701_Exp119_sample1_S1_BC0167_N03
-1.32	-17.02	V23	N701_Exp119_sample1_S1_BC0168_N01
28.83	7.58	V8	N701_Exp119_sample1_S1_BC0170_N01
-3.55	-1.78	V25	N701_Exp119_sample1_S1_BC0171_N02
-8.14	31.71	V15	N701_Exp119_sample1_S1_BC0172_N01
21.24	1.46	V21	N701_Exp119_sample1_S1_BC0173_N01
10.77	8.03	V21	N701_Exp119_sample1_S1_BC0174_N03
-10.91	17.66	V3	N701_Exp119_sample1_S1_BC0175_N02
4.56	20.73	V20	N701_Exp119_sample1_S1_BC0176_N02
21.06	-0.71	V21	N701_Exp119_sample1_S1_BC0177_N01
-4.55	-5.76	V19	N701_Exp119_sample1_S1_BC0178_N01
-22.75	2.26	V2	N701_Exp119_sample1_S1_BC0179_N01
-1.31	4.37	V25	N701_Exp119_sample1_S1_BC0180_N01
27.89	6.13	V8	N701_Exp119_sample1_S1_BC0181_N02
28.02	-0.42	V16	N701_Exp119_sample1_S1_BC0182_N02
28.62	-20.24	V9	N701_Exp119_sample1_S1_BC0183_N01
22.57	-17.99	V9	N701_Exp119_sample1_S1_BC0184_N03
-14.63	-1.53	V18	N701_Exp119_sample1_S1_BC0185_N01
25.67	-3.42	V16	N701_Exp119_sample1_S1_BC0186_N01
1.29	4.74	V25	N701_Exp119_sample1_S1_BC0187_N02
24.72	2.33	V21	N701_Exp119_sample1_S1_BC0188_N01
1.33	3.54	V25	N701_Exp119_sample1_S1_BC0189_N02
-14.17	28.52	V15	N701_Exp119_sample1_S1_BC0190_N01
22.92	-3.93	V16	N701_Exp119_sample1_S1_BC0191_N02
-12.56	30.88	V15	N701_Exp119_sample1_S1_BC0192_N01
18.57	0.52	V21	N701_Exp119_sample1_S1_BC0193_N02
-34.42	-6.62	V10	N701_Exp119_sample1_S1_BC0194_N02
22.69	-10.02	V16	N701_Exp119_sample1_S1_BC0195_N01
23.61	-18.67	V9	N701_Exp119_sample1_S1_BC0196_N02
-18.33	31.9	V15	N701_Exp119_sample1_S1_BC0197_N02
-36.64	-1.81	V10	N701_Exp119_sample1_S1_BC0198_N02
-0.4	2.65	V25	N701_Exp119_sample1_S1_BC0199_N02
-6.67	23.88	V3	N701_Exp119_sample1_S1_BC0200_N01
15.67	3.06	V21	N701_Exp119_sample1_S1_BC0201_N01
16.66	1.98	V21	N701_Exp119_sample1_S1_BC0202_N01
-4.57	-5.29	V19	N701_Exp119_sample1_S1_BC0203_N01
8.8	-10.76	V13	N701_Exp119_sample1_S1_BC0204_N01
10.79	-15.76	V13	N701_Exp119_sample1_S1_BC0205_N01
4.49	9.18	V25	N701_Exp119_sample1_S1_BC0206_N01
12	-12.46	V13	N701_Exp119_sample1_S1_BC0207_N02
-7.2	22.56	V3	N701_Exp119_sample1_S1_BC0208_N02
-25.3	-2.54	V2	N701_Exp119_sample1_S1_BC0209_N01
-4.21	19.29	V3	N701_Exp119_sample1_S1_BC0210_N02
-12.47	22.31	V3	N701_Exp119_sample1_S1_BC0211_N02
28.41	-18.26	V9	N701_Exp119_sample1_S1_BC0212_N02
-4.14	-29.56	V22	N701_Exp119_sample1_S1_BC0213_N01
12.36	-18.46	V13	N701_Exp119_sample1_S1_BC0214_N02
-5.13	-12.74	V23	N701_Exp119_sample1_S1_BC0215_N01
16.06	-7.66	V13	N701_Exp119_sample1_S1_BC0216_N03
-9.27	24.5	V3	N701_Exp119_sample1_S1_BC0217_N02
-13.1	30.35	V15	N701_Exp119_sample1_S1_BC0218_N01
25.52	-7.68	V16	N701_Exp119_sample1_S1_BC0219_N02
-0.66	-20.35	V23	N701_Exp119_sample1_S1_BC0220_N01
33.47	2.13	V7	N701_Exp119_sample1_S1_BC0221_N01
23.27	-3.92	V16	N701_Exp119_sample1_S1_BC0222_N02
-3.77	8.7	V25	N701_Exp119_sample1_S1_BC0223_N01
29.52	-21.39	V9	N701_Exp119_sample1_S1_BC0224_N01
1.68	10.74	V25	N701_Exp119_sample1_S1_BC0225_N02
1.01	4.5	V25	N701_Exp119_sample1_S1_BC0226_N02
9.83	-14.19	V13	N701_Exp119_sample1_S1_BC0227_N02
16.05	-10.41	V13	N701_Exp119_sample1_S1_BC0228_N02
21.78	-6.76	V16	N701_Exp119_sample1_S1_BC0229_N02
1.17	25.88	V4	N701_Exp119_sample1_S1_BC0230_N01
-5.26	-9.39	V23	N701_Exp119_sample1_S1_BC0231_N02
-7.98	22.88	V3	N701_Exp119_sample1_S1_BC0232_N02
12.76	-8.27	V13	N701_Exp119_sample1_S1_BC0233_N02
11.1	-11.21	V13	N701_Exp119_sample1_S1_BC0234_N01
6.56	-15.7	V13	N701_Exp119_sample1_S1_BC0235_N01
28.75	-18.86	V9	N701_Exp119_sample1_S1_BC0236_N02
