tSNE1	tSNE2	cluster_id	cell_id
-19.22	-16.59	V1	N721_Exp110_sample1_combined_S1_BC02955_N01
-35.05	-3.63	V10	N721_Exp110_sample1_combined_S1_BC02957_N06
11.98	7.16	V21	N721_Exp110_sample1_combined_S1_BC02958_N06
-2.43	34.34	V11	N721_Exp110_sample1_combined_S1_BC02959_N04
-4.08	-16.13	V23	N721_Exp110_sample1_combined_S1_BC02960_N04
-21.26	-22.29	V1	N721_Exp110_sample1_combined_S1_BC02961_N02
-22.09	4.86	V2	N721_Exp110_sample1_combined_S1_BC02962_N03
-14.99	-21.12	V1	N721_Exp110_sample1_combined_S1_BC02963_N01
19.25	0.09	V21	N721_Exp110_sample1_combined_S1_BC02964_N05
-15.73	17.84	V12	N721_Exp110_sample1_combined_S1_BC02965_N03
-2.08	-12.05	V23	N721_Exp110_sample1_combined_S1_BC02966_N06
26.98	18.95	V26	N721_Exp110_sample1_combined_S1_BC02967_N02
-29.5	8.08	V24	N721_Exp110_sample1_combined_S1_BC02968_N01
2.19	-34.09	V14	N721_Exp110_sample1_combined_S1_BC02970_N04
-4.78	2.29	V25	N721_Exp110_sample1_combined_S1_BC02972_N05
-20.49	1.22	V2	N721_Exp110_sample1_combined_S1_BC02973_N03
19.44	22.8	V26	N721_Exp110_sample1_combined_S1_BC02974_N02
-29.14	8.42	V24	N721_Exp110_sample1_combined_S1_BC02975_N01
15.81	22.06	V26	N721_Exp110_sample1_combined_S1_BC02976_N02
-0.03	-19.57	V23	N721_Exp110_sample1_combined_S1_BC02977_N05
-26.75	-6.93	V1	N721_Exp110_sample1_combined_S1_BC02978_N03
-27.53	10.49	V24	N721_Exp110_sample1_combined_S1_BC02979_N01
-14.1	-0.77	V18	N721_Exp110_sample1_combined_S1_BC02980_N05
-1.2	34.03	V11	N721_Exp110_sample1_combined_S1_BC02981_N03
14.63	-26.96	V5	N721_Exp110_sample1_combined_S1_BC02983_N06
-14.34	-13.73	V1	N721_Exp110_sample1_combined_S1_BC02984_N02
9.64	34.59	V27	N721_Exp110_sample1_combined_S1_BC02985_N03
-30.38	10.18	V24	N721_Exp110_sample1_combined_S1_BC02986_N03
18.41	21.19	V26	N721_Exp110_sample1_combined_S1_BC02988_N02
-17.81	-13.73	V1	N721_Exp110_sample1_combined_S1_BC02989_N02
-13.85	-1.58	V18	N721_Exp110_sample1_combined_S1_BC02990_N05
-10.48	-1.38	V17	N721_Exp110_sample1_combined_S1_BC02991_N05
15.48	4.16	V21	N721_Exp110_sample1_combined_S1_BC02992_N04
0.79	-33.28	V14	N721_Exp110_sample1_combined_S1_BC02993_N05
-17.58	-21.14	V1	N721_Exp110_sample1_combined_S1_BC02995_N01
-24.99	1.37	V2	N721_Exp110_sample1_combined_S1_BC02999_N03
19.24	14.51	V26	N721_Exp110_sample1_combined_S1_BC03000_N02
14.68	6.49	V21	N721_Exp110_sample1_combined_S1_BC03001_N04
22.16	21.12	V26	N721_Exp110_sample1_combined_S1_BC03002_N02
18.46	20.29	V26	N721_Exp110_sample1_combined_S1_BC03003_N01
12.33	32.31	V27	N721_Exp110_sample1_combined_S1_BC03004_N02
18.45	-0.22	V21	N721_Exp110_sample1_combined_S1_BC03005_N05
-22.1	3.72	V2	N721_Exp110_sample1_combined_S1_BC03006_N02
26.97	6.45	V25	N721_Exp110_sample1_combined_S1_BC03007_N04
-13.38	-10.48	V1	N721_Exp110_sample1_combined_S1_BC03008_N01
5.43	-0.24	V25	N721_Exp110_sample1_combined_S1_BC03009_N03
0.7	-32.79	V14	N721_Exp110_sample1_combined_S1_BC03010_N04
16.49	-22.65	V5	N721_Exp110_sample1_combined_S1_BC03011_N01
19.84	17.74	V26	N721_Exp110_sample1_combined_S1_BC03012_N01
16.46	18.59	V26	N721_Exp110_sample1_combined_S1_BC03013_N02
-8.34	-1.86	V17	N721_Exp110_sample1_combined_S1_BC03014_N06
2.75	-2.67	V25	N721_Exp110_sample1_combined_S1_BC03015_N03
-23.2	3.82	V2	N721_Exp110_sample1_combined_S1_BC03016_N03
-15.03	-7.45	V1	N721_Exp110_sample1_combined_S1_BC03017_N01
-17.08	-16.04	V1	N721_Exp110_sample1_combined_S1_BC03018_N01
-18.74	-19	V1	N721_Exp110_sample1_combined_S1_BC03019_N01
-0.95	34.03	V11	N721_Exp110_sample1_combined_S1_BC03020_N04
21.12	-1.6	V21	N721_Exp110_sample1_combined_S1_BC03021_N04
-33.49	8.81	V24	N721_Exp110_sample1_combined_S1_BC03022_N03
-20.52	11.44	V12	N721_Exp110_sample1_combined_S1_BC03023_N02
-28	6.53	V24	N721_Exp110_sample1_combined_S1_BC03024_N02
-21.46	-17.08	V1	N721_Exp110_sample1_combined_S1_BC03025_N01
18.58	22.3	V26	N721_Exp110_sample1_combined_S1_BC03026_N02
27.24	21.6	V26	N721_Exp110_sample1_combined_S1_BC03027_N04
29.08	8.99	V8	N721_Exp110_sample1_combined_S1_BC03028_N05
4.98	20.02	V20	N721_Exp110_sample1_combined_S1_BC03029_N04
-15.04	-12.67	V1	N721_Exp110_sample1_combined_S1_BC03030_N01
22.12	21.87	V26	N721_Exp110_sample1_combined_S1_BC03031_N02
8.96	34.86	V27	N721_Exp110_sample1_combined_S1_BC03032_N02
-19.76	10.9	V12	N721_Exp110_sample1_combined_S1_BC03033_N03
-31.05	13.21	V24	N721_Exp110_sample1_combined_S1_BC03034_N02
19.34	-2.39	V21	N721_Exp110_sample1_combined_S1_BC03035_N05
-31.52	11.1	V24	N721_Exp110_sample1_combined_S1_BC03036_N03
17.3	18.44	V26	N721_Exp110_sample1_combined_S1_BC03037_N01
3.14	-13.46	V23	N721_Exp110_sample1_combined_S1_BC03038_N04
19.36	-3.12	V21	N721_Exp110_sample1_combined_S1_BC03039_N03
-32.61	-2.1	V10	N721_Exp110_sample1_combined_S1_BC03040_N03
-31.7	9.43	V24	N721_Exp110_sample1_combined_S1_BC03041_N04
-1.78	35.06	V11	N721_Exp110_sample1_combined_S1_BC03042_N04
-31.69	10.32	V24	N721_Exp110_sample1_combined_S1_BC03043_N03
-33.14	-5.16	V10	N721_Exp110_sample1_combined_S1_BC03045_N05
1.42	-22.5	V23	N721_Exp110_sample1_combined_S1_BC03046_N05
9.52	33.75	V27	N721_Exp110_sample1_combined_S1_BC03047_N01
23.6	15.56	V26	N721_Exp110_sample1_combined_S1_BC03048_N03
-29.82	12.83	V24	N721_Exp110_sample1_combined_S1_BC03049_N03
24.31	16.07	V26	N721_Exp110_sample1_combined_S1_BC03050_N02
19.11	-5.09	V21	N721_Exp110_sample1_combined_S1_BC03053_N06
-26.75	-6.92	V1	N721_Exp110_sample1_combined_S1_BC03054_N03
9.93	34.56	V27	N721_Exp110_sample1_combined_S1_BC03055_N02
33.77	2.94	V7	N721_Exp110_sample1_combined_S1_BC03056_N05
-22.31	3.74	V2	N721_Exp110_sample1_combined_S1_BC03059_N03
4.65	22.16	V20	N721_Exp110_sample1_combined_S1_BC03060_N03
-31.4	10.86	V24	N721_Exp110_sample1_combined_S1_BC03062_N02
-7.62	4.76	V25	N721_Exp110_sample1_combined_S1_BC03063_N04
24.31	13.88	V26	N721_Exp110_sample1_combined_S1_BC03064_N02
5.58	25.22	V20	N721_Exp110_sample1_combined_S1_BC03065_N03
-30.69	9.43	V24	N721_Exp110_sample1_combined_S1_BC03066_N03
-12.24	-20.68	V1	N721_Exp110_sample1_combined_S1_BC03067_N01
-32.85	10.68	V24	N721_Exp110_sample1_combined_S1_BC03069_N03
21.14	23.53	V26	N721_Exp110_sample1_combined_S1_BC03070_N02
3.34	-26.36	V14	N721_Exp110_sample1_combined_S1_BC03072_N01
-24.12	-12.95	V1	N721_Exp110_sample1_combined_S1_BC03074_N01
-28.89	12.7	V24	N721_Exp110_sample1_combined_S1_BC03075_N03
-21.62	11	V12	N721_Exp110_sample1_combined_S1_BC03076_N03
17.21	14.82	V26	N721_Exp110_sample1_combined_S1_BC03077_N01
-25.85	-0.57	V2	N721_Exp110_sample1_combined_S1_BC03078_N05
-15.46	-22.99	V1	N721_Exp110_sample1_combined_S1_BC03079_N03
-25.94	-19.44	V1	N721_Exp110_sample1_combined_S1_BC03080_N01
-20.33	-22.49	V1	N721_Exp110_sample1_combined_S1_BC03081_N02
4.14	22.09	V20	N721_Exp110_sample1_combined_S1_BC03083_N04
-17.67	-21.68	V1	N721_Exp110_sample1_combined_S1_BC03084_N01
24.75	19.65	V26	N721_Exp110_sample1_combined_S1_BC03085_N02
-21.62	4.43	V2	N721_Exp110_sample1_combined_S1_BC03086_N03
20.63	-6.42	V21	N721_Exp110_sample1_combined_S1_BC03087_N06
-16.51	-17.08	V1	N721_Exp110_sample1_combined_S1_BC03088_N01
1.41	-21.12	V23	N721_Exp110_sample1_combined_S1_BC03089_N06
27.27	21.74	V26	N721_Exp110_sample1_combined_S1_BC03090_N02
9.45	34.99	V27	N721_Exp110_sample1_combined_S1_BC03092_N02
-13.33	-20.99	V1	N721_Exp110_sample1_combined_S1_BC03093_N01
0.06	-5.34	V25	N721_Exp110_sample1_combined_S1_BC03094_N03
8.94	-1.48	V25	N721_Exp110_sample1_combined_S1_BC03095_N05
-19.41	-24.35	V1	N721_Exp110_sample1_combined_S1_BC03096_N01
1.16	-21.15	V23	N721_Exp110_sample1_combined_S1_BC03097_N05
-18.64	-23.62	V1	N721_Exp110_sample1_combined_S1_BC03098_N01
-27.36	8.99	V24	N721_Exp110_sample1_combined_S1_BC03099_N01
-15.27	-11.93	V1	N721_Exp110_sample1_combined_S1_BC03100_N01
-16.66	-16.56	V1	N721_Exp110_sample1_combined_S1_BC03101_N01
33.11	2.77	V7	N721_Exp110_sample1_combined_S1_BC03102_N06
5.72	22.13	V20	N721_Exp110_sample1_combined_S1_BC03104_N03
10.07	34.1	V27	N721_Exp110_sample1_combined_S1_BC03105_N02
24.32	24.34	V26	N721_Exp110_sample1_combined_S1_BC03106_N03
-7.17	21.92	V3	N721_Exp110_sample1_combined_S1_BC03107_N04
-31.54	10.71	V24	N721_Exp110_sample1_combined_S1_BC03108_N04
-20.12	-17.02	V1	N721_Exp110_sample1_combined_S1_BC03109_N02
-14.12	-12.84	V1	N721_Exp110_sample1_combined_S1_BC03110_N02
-31.57	8.03	V24	N721_Exp110_sample1_combined_S1_BC03111_N03
25.89	23.18	V26	N721_Exp110_sample1_combined_S1_BC03112_N02
-22.23	4.32	V2	N721_Exp110_sample1_combined_S1_BC03113_N03
-1.02	35.19	V11	N721_Exp110_sample1_combined_S1_BC03114_N03
-17.57	-18.6	V1	N721_Exp110_sample1_combined_S1_BC03115_N01
25.79	20.19	V26	N721_Exp110_sample1_combined_S1_BC03116_N02
5.83	-1.54	V25	N721_Exp110_sample1_combined_S1_BC03117_N02
-14.01	-20.11	V1	N721_Exp110_sample1_combined_S1_BC03118_N01
-10.62	-31.32	V6	N721_Exp110_sample1_combined_S1_BC03119_N01
-17.43	29.87	V15	N721_Exp110_sample1_combined_S1_BC03120_N06
-15.21	31.33	V15	N721_Exp110_sample1_combined_S1_BC03121_N05
6.94	19.01	V20	N721_Exp110_sample1_combined_S1_BC03122_N06
17.31	-27.32	V5	N721_Exp110_sample1_combined_S1_BC03124_N05
12.09	31.31	V27	N721_Exp110_sample1_combined_S1_BC03125_N02
-11.2	-33.46	V6	N721_Exp110_sample1_combined_S1_BC03126_N03
-19.65	10.84	V12	N721_Exp110_sample1_combined_S1_BC03127_N01
-24.01	-20.58	V1	N721_Exp110_sample1_combined_S1_BC03128_N01
-24.83	-14.08	V1	N721_Exp110_sample1_combined_S1_BC03129_N01
-21.33	-22.75	V1	N721_Exp110_sample1_combined_S1_BC03131_N02
-25.41	-13.47	V1	N721_Exp110_sample1_combined_S1_BC03132_N01
7.14	-16.5	V13	N721_Exp110_sample1_combined_S1_BC03133_N05
-0.66	3.34	V25	N721_Exp110_sample1_combined_S1_BC03134_N06
-7.09	6.06	V25	N721_Exp110_sample1_combined_S1_BC03135_N05
15.2	-2.16	V25	N721_Exp110_sample1_combined_S1_BC03136_N03
-18.83	-12.07	V1	N721_Exp110_sample1_combined_S1_BC03138_N01
-13.96	-21.58	V1	N721_Exp110_sample1_combined_S1_BC03139_N01
-1.27	34.03	V11	N721_Exp110_sample1_combined_S1_BC03140_N04
-1.32	-21.49	V23	N721_Exp110_sample1_combined_S1_BC03141_N03
15.94	20.67	V26	N721_Exp110_sample1_combined_S1_BC03142_N01
25.72	22.88	V26	N721_Exp110_sample1_combined_S1_BC03143_N03
7.23	18.96	V20	N721_Exp110_sample1_combined_S1_BC03144_N05
20.05	24.03	V26	N721_Exp110_sample1_combined_S1_BC03145_N04
-30.27	12.18	V24	N721_Exp110_sample1_combined_S1_BC03146_N02
0.94	24.85	V4	N721_Exp110_sample1_combined_S1_BC03147_N04
-16.98	-10.87	V1	N721_Exp110_sample1_combined_S1_BC03149_N01
-31.53	12.25	V24	N721_Exp110_sample1_combined_S1_BC03150_N02
21.75	20.63	V26	N721_Exp110_sample1_combined_S1_BC03151_N02
6.09	18.51	V20	N721_Exp110_sample1_combined_S1_BC03152_N04
-23.39	1.62	V2	N721_Exp110_sample1_combined_S1_BC03153_N04
-6.55	-12.02	V23	N721_Exp110_sample1_combined_S1_BC03155_N04
0.47	-34.34	V14	N721_Exp110_sample1_combined_S1_BC03156_N04
7.41	13.71	V20	N721_Exp110_sample1_combined_S1_BC03157_N06
15.94	-22.01	V5	N721_Exp110_sample1_combined_S1_BC03159_N04
3.56	19.1	V20	N721_Exp110_sample1_combined_S1_BC03160_N04
25.77	3.43	V21	N721_Exp110_sample1_combined_S1_BC03161_N05
17.39	17.27	V26	N721_Exp110_sample1_combined_S1_BC03162_N03
-21.85	-13.96	V1	N721_Exp110_sample1_combined_S1_BC03163_N02
9.24	35.04	V27	N721_Exp110_sample1_combined_S1_BC03166_N02
-16.69	-16.34	V1	N721_Exp110_sample1_combined_S1_BC03167_N01
-20.97	4.31	V2	N721_Exp110_sample1_combined_S1_BC03169_N01
12.87	31.07	V27	N721_Exp110_sample1_combined_S1_BC03171_N03
-25.88	-0.25	V2	N721_Exp110_sample1_combined_S1_BC03172_N04
-17.54	-15.53	V1	N721_Exp110_sample1_combined_S1_BC03174_N02
25.18	19.89	V26	N721_Exp110_sample1_combined_S1_BC03175_N02
21.25	16.07	V26	N721_Exp110_sample1_combined_S1_BC03176_N03
-24.79	-8.86	V1	N721_Exp110_sample1_combined_S1_BC03177_N01
-25.67	0.98	V2	N721_Exp110_sample1_combined_S1_BC03178_N04
-10.7	-33.42	V6	N721_Exp110_sample1_combined_S1_BC03180_N02
22.45	21.55	V26	N721_Exp110_sample1_combined_S1_BC03181_N02
-16.18	28.06	V15	N721_Exp110_sample1_combined_S1_BC03182_N05
-12.13	-14.82	V1	N721_Exp110_sample1_combined_S1_BC03183_N01
19.89	-19.37	V9	N721_Exp110_sample1_combined_S1_BC03184_N02
1.24	-32.33	V14	N721_Exp110_sample1_combined_S1_BC03185_N04
16.53	6.83	V21	N721_Exp110_sample1_combined_S1_BC03188_N05
24.05	16.52	V26	N721_Exp110_sample1_combined_S1_BC03189_N02
-4.79	-1.06	V25	N721_Exp110_sample1_combined_S1_BC03191_N04
9.35	34.87	V27	N721_Exp110_sample1_combined_S1_BC03192_N02
-27.42	11.07	V24	N721_Exp110_sample1_combined_S1_BC03193_N02
3.32	-1.24	V25	N721_Exp110_sample1_combined_S1_BC03194_N03
28.57	18.41	V26	N721_Exp110_sample1_combined_S1_BC03195_N02
-21.19	-21.39	V1	N721_Exp110_sample1_combined_S1_BC03196_N01
-7.77	18.7	V3	N721_Exp110_sample1_combined_S1_BC03197_N06
-13.96	-12.57	V1	N721_Exp110_sample1_combined_S1_BC03198_N01
-20.01	11.4	V12	N721_Exp110_sample1_combined_S1_BC03200_N02
14.86	-22.44	V5	N721_Exp110_sample1_combined_S1_BC03201_N02
6.92	20.96	V20	N721_Exp110_sample1_combined_S1_BC03202_N04
-6.2	9.15	V25	N721_Exp110_sample1_combined_S1_BC03205_N06
-33.32	10.38	V24	N721_Exp110_sample1_combined_S1_BC03206_N02
18.24	16.52	V26	N721_Exp110_sample1_combined_S1_BC03207_N02
28.11	0.9	V16	N721_Exp110_sample1_combined_S1_BC03208_N05
23.66	24.4	V26	N721_Exp110_sample1_combined_S1_BC03209_N02
1.61	14.05	V25	N721_Exp110_sample1_combined_S1_BC03210_N06
-30.37	11.74	V24	N721_Exp110_sample1_combined_S1_BC03211_N01
17.69	20.92	V26	N721_Exp110_sample1_combined_S1_BC03212_N02
-16.29	-24.36	V1	N721_Exp110_sample1_combined_S1_BC03213_N02
-29.13	10.13	V24	N721_Exp110_sample1_combined_S1_BC03215_N03
16.04	20.45	V26	N721_Exp110_sample1_combined_S1_BC03217_N02
20.25	19.19	V26	N721_Exp110_sample1_combined_S1_BC03218_N01
-11.17	-30.08	V6	N721_Exp110_sample1_combined_S1_BC03220_N02
-17.7	-7.48	V1	N721_Exp110_sample1_combined_S1_BC03221_N02
-0.8	34.26	V11	N721_Exp110_sample1_combined_S1_BC03223_N04
10.76	-3.93	V25	N721_Exp110_sample1_combined_S1_BC03224_N01
0.84	-22.58	V23	N721_Exp110_sample1_combined_S1_BC03226_N04
4.53	20.97	V20	N721_Exp110_sample1_combined_S1_BC03227_N04
3.69	19.57	V8	N721_Exp110_sample1_combined_S1_BC03228_N06
-16.03	-14	V1	N721_Exp110_sample1_combined_S1_BC03231_N02
5.01	0.22	V25	N721_Exp110_sample1_combined_S1_BC03232_N02
-24.85	-15.69	V1	N721_Exp110_sample1_combined_S1_BC03233_N02
-31.64	10.18	V24	N721_Exp110_sample1_combined_S1_BC03234_N06
-28.12	9.97	V24	N721_Exp110_sample1_combined_S1_BC03235_N02
-14.65	-22.04	V1	N721_Exp110_sample1_combined_S1_BC03237_N03
-16.45	18.13	V12	N721_Exp110_sample1_combined_S1_BC03238_N05
9.38	-12.71	V13	N721_Exp110_sample1_combined_S1_BC03239_N05
17.42	21.74	V26	N721_Exp110_sample1_combined_S1_BC03241_N02
-22.53	-23.6	V1	N721_Exp110_sample1_combined_S1_BC03242_N02
22.31	18.27	V26	N721_Exp110_sample1_combined_S1_BC03243_N02
-20.19	-19.96	V1	N721_Exp110_sample1_combined_S1_BC03245_N02
-22.91	-15.19	V1	N721_Exp110_sample1_combined_S1_BC03246_N01
-25.34	4.39	V2	N721_Exp110_sample1_combined_S1_BC03247_N04
1.72	-4.67	V25	N721_Exp110_sample1_combined_S1_BC03248_N02
-16.38	-9.54	V1	N721_Exp110_sample1_combined_S1_BC03249_N01
-29.11	10.95	V24	N721_Exp110_sample1_combined_S1_BC03250_N04
-19.31	11.5	V12	N721_Exp110_sample1_combined_S1_BC03251_N03
-27.17	11.33	V24	N721_Exp110_sample1_combined_S1_BC03252_N03
-13.13	-9.03	V1	N721_Exp110_sample1_combined_S1_BC03253_N01
-22.58	4.89	V2	N721_Exp110_sample1_combined_S1_BC03254_N05
-17.3	13.28	V12	N721_Exp110_sample1_combined_S1_BC03255_N02
-18.5	7.37	V2	N721_Exp110_sample1_combined_S1_BC03256_N04
-2.09	-15.79	V23	N721_Exp110_sample1_combined_S1_BC03258_N05
-19.96	-10.01	V1	N721_Exp110_sample1_combined_S1_BC03259_N01
-27.05	10.28	V24	N721_Exp110_sample1_combined_S1_BC03260_N02
-11.76	-32.74	V6	N721_Exp110_sample1_combined_S1_BC03262_N03
-1.73	-20.03	V23	N721_Exp110_sample1_combined_S1_BC03263_N02
-18.5	-20.04	V1	N721_Exp110_sample1_combined_S1_BC03264_N02
-1.53	34.46	V11	N721_Exp110_sample1_combined_S1_BC03265_N03
-28.16	8.33	V24	N721_Exp110_sample1_combined_S1_BC03266_N02
-1.08	32.07	V11	N721_Exp110_sample1_combined_S1_BC03267_N02
7.99	-16.18	V13	N721_Exp110_sample1_combined_S1_BC03268_N06
22.92	16.49	V26	N721_Exp110_sample1_combined_S1_BC03269_N02
-19.41	-15.69	V1	N721_Exp110_sample1_combined_S1_BC03270_N02
26.31	22.76	V26	N721_Exp110_sample1_combined_S1_BC03271_N03
15.43	-1.39	V25	N721_Exp110_sample1_combined_S1_BC03272_N02
20.81	-21.09	V9	N721_Exp110_sample1_combined_S1_BC03273_N05
17.31	18.98	V26	N721_Exp110_sample1_combined_S1_BC03274_N02
-19.82	-17.36	V1	N721_Exp110_sample1_combined_S1_BC03277_N02
-24.37	3.07	V2	N721_Exp110_sample1_combined_S1_BC03278_N03
-18.45	-8.71	V1	N721_Exp110_sample1_combined_S1_BC03279_N01
-27.85	10.73	V24	N721_Exp110_sample1_combined_S1_BC03280_N02
8.25	3.54	V21	N721_Exp110_sample1_combined_S1_BC03281_N05
23.98	20.91	V26	N721_Exp110_sample1_combined_S1_BC03282_N02
-12.43	-11.61	V1	N721_Exp110_sample1_combined_S1_BC03283_N01
-25.4	-21.58	V1	N721_Exp110_sample1_combined_S1_BC03284_N02
24.79	-4.36	V16	N721_Exp110_sample1_combined_S1_BC03285_N04
22.61	22.51	V26	N721_Exp110_sample1_combined_S1_BC03286_N02
-12.28	-30.16	V6	N721_Exp110_sample1_combined_S1_BC03287_N02
18.03	20.79	V26	N721_Exp110_sample1_combined_S1_BC03288_N02
20.97	14.53	V26	N721_Exp110_sample1_combined_S1_BC03290_N01
-1.91	34.03	V11	N721_Exp110_sample1_combined_S1_BC03291_N04
-25.5	0.13	V2	N721_Exp110_sample1_combined_S1_BC03292_N04
-7.7	3.72	V25	N721_Exp110_sample1_combined_S1_BC03294_N05
15.3	21.79	V26	N721_Exp110_sample1_combined_S1_BC03295_N01
-16.34	-10.65	V1	N721_Exp110_sample1_combined_S1_BC03296_N02
-20.92	0.15	V2	N721_Exp110_sample1_combined_S1_BC03297_N04
13.73	11.67	V26	N721_Exp110_sample1_combined_S1_BC03298_N04
-2	32.89	V11	N721_Exp110_sample1_combined_S1_BC03300_N04
25.19	19.64	V26	N721_Exp110_sample1_combined_S1_BC03301_N02
-15.64	-16.16	V1	N721_Exp110_sample1_combined_S1_BC03303_N02
-32.01	11.51	V24	N721_Exp110_sample1_combined_S1_BC03304_N02
-0.59	33.71	V11	N721_Exp110_sample1_combined_S1_BC03305_N04
-11.63	-29.91	V6	N721_Exp110_sample1_combined_S1_BC03306_N01
21.87	22.83	V26	N721_Exp110_sample1_combined_S1_BC03307_N02
-17.91	-10.48	V1	N721_Exp110_sample1_combined_S1_BC03308_N02
-14.37	27.7	V15	N721_Exp110_sample1_combined_S1_BC03309_N06
-26.16	-17.03	V1	N721_Exp110_sample1_combined_S1_BC03310_N02
-21.82	-18.88	V1	N721_Exp110_sample1_combined_S1_BC03311_N02
22.46	21.76	V26	N721_Exp110_sample1_combined_S1_BC03312_N03
22.62	20.55	V26	N721_Exp110_sample1_combined_S1_BC03313_N03
24.2	16.67	V26	N721_Exp110_sample1_combined_S1_BC03314_N02
22.43	22.88	V26	N721_Exp110_sample1_combined_S1_BC03315_N01
12.39	-3.16	V25	N721_Exp110_sample1_combined_S1_BC03316_N03
21.98	18.19	V26	N721_Exp110_sample1_combined_S1_BC03317_N01
-28.23	9.15	V24	N721_Exp110_sample1_combined_S1_BC03319_N03
-30.68	9.08	V24	N721_Exp110_sample1_combined_S1_BC03320_N04
16.93	3.1	V21	N721_Exp110_sample1_combined_S1_BC03321_N06
-28.26	10.39	V24	N721_Exp110_sample1_combined_S1_BC03323_N02
12.55	31.49	V27	N721_Exp110_sample1_combined_S1_BC03324_N03
-18.77	-8.39	V1	N721_Exp110_sample1_combined_S1_BC03326_N01
-11.86	-13.79	V1	N721_Exp110_sample1_combined_S1_BC03327_N01
17.81	21.52	V26	N721_Exp110_sample1_combined_S1_BC03328_N02
26.66	17.07	V26	N721_Exp110_sample1_combined_S1_BC03329_N02
-11.51	-33.5	V6	N721_Exp110_sample1_combined_S1_BC03330_N02
-3.7	2.85	V25	N721_Exp110_sample1_combined_S1_BC03331_N05
-30.43	9.81	V24	N721_Exp110_sample1_combined_S1_BC03332_N03
-0.22	23.44	V25	N721_Exp110_sample1_combined_S1_BC03333_N02
-20.59	-20.6	V1	N721_Exp110_sample1_combined_S1_BC03334_N01
-17.77	-7.47	V1	N721_Exp110_sample1_combined_S1_BC03335_N03
20.09	19.55	V26	N721_Exp110_sample1_combined_S1_BC03336_N03
6.56	21.8	V20	N721_Exp110_sample1_combined_S1_BC03337_N05
-23.2	4.62	V2	N721_Exp110_sample1_combined_S1_BC03339_N05
-11.77	-18.56	V1	N721_Exp110_sample1_combined_S1_BC03340_N03
12.54	32.07	V27	N721_Exp110_sample1_combined_S1_BC03341_N02
12.16	32.19	V27	N721_Exp110_sample1_combined_S1_BC03342_N03
22.81	14.9	V26	N721_Exp110_sample1_combined_S1_BC03344_N02
27.48	21.25	V26	N721_Exp110_sample1_combined_S1_BC03345_N02
-0.67	27.06	V4	N721_Exp110_sample1_combined_S1_BC03346_N05
-11.08	-13.15	V1	N721_Exp110_sample1_combined_S1_BC03347_N02
-16.05	-13.73	V1	N721_Exp110_sample1_combined_S1_BC03348_N03
1.43	-35.08	V14	N721_Exp110_sample1_combined_S1_BC03349_N06
3.45	21.09	V20	N721_Exp110_sample1_combined_S1_BC03350_N06
21.05	0.39	V21	N721_Exp110_sample1_combined_S1_BC03352_N06
5.72	15.22	V25	N721_Exp110_sample1_combined_S1_BC03354_N06
26.48	22.71	V26	N721_Exp110_sample1_combined_S1_BC03355_N03
3.49	-30.56	V14	N721_Exp110_sample1_combined_S1_BC03356_N04
-12.01	-31.49	V6	N721_Exp110_sample1_combined_S1_BC03357_N03
-20.83	-16.71	V1	N721_Exp110_sample1_combined_S1_BC03358_N02
5.66	-6.35	V25	N721_Exp110_sample1_combined_S1_BC03359_N01
-28.31	9.39	V24	N721_Exp110_sample1_combined_S1_BC03360_N03
14.54	18.84	V26	N721_Exp110_sample1_combined_S1_BC03361_N02
-3.77	2.95	V25	N721_Exp110_sample1_combined_S1_BC03363_N06
-18.42	-14.2	V1	N721_Exp110_sample1_combined_S1_BC03364_N01
-10.86	-30.87	V6	N721_Exp110_sample1_combined_S1_BC03365_N03
-18.82	-24.3	V1	N721_Exp110_sample1_combined_S1_BC03366_N02
28.47	9.27	V8	N721_Exp110_sample1_combined_S1_BC03367_N05
-17.59	-16.26	V1	N721_Exp110_sample1_combined_S1_BC03368_N02
19.36	14.81	V26	N721_Exp110_sample1_combined_S1_BC03369_N02
20.39	-17.86	V9	N721_Exp110_sample1_combined_S1_BC03370_N05
28.09	21.51	V26	N721_Exp110_sample1_combined_S1_BC03371_N02
-2.27	-15.05	V23	N721_Exp110_sample1_combined_S1_BC03373_N06
-17.26	-17.51	V1	N721_Exp110_sample1_combined_S1_BC03374_N01
21.87	17.56	V26	N721_Exp110_sample1_combined_S1_BC03376_N02
28.18	20.27	V26	N721_Exp110_sample1_combined_S1_BC03377_N02
-14.49	-15.77	V1	N721_Exp110_sample1_combined_S1_BC03378_N01
23.76	12.82	V26	N721_Exp110_sample1_combined_S1_BC03379_N03
27.84	18.95	V26	N721_Exp110_sample1_combined_S1_BC03380_N02
24.24	18.08	V26	N721_Exp110_sample1_combined_S1_BC03381_N02
-19	-19.15	V1	N721_Exp110_sample1_combined_S1_BC03382_N02
27.48	22.44	V26	N721_Exp110_sample1_combined_S1_BC03383_N03
-30.15	11.49	V24	N721_Exp110_sample1_combined_S1_BC03384_N03
-11.49	-11.93	V1	N721_Exp110_sample1_combined_S1_BC03385_N01
-16.84	-12.04	V1	N721_Exp110_sample1_combined_S1_BC03386_N01
-17.88	-18.91	V1	N721_Exp110_sample1_combined_S1_BC03387_N02
18.81	20.12	V26	N721_Exp110_sample1_combined_S1_BC03388_N02
-2.12	4.99	V25	N721_Exp110_sample1_combined_S1_BC03389_N05
