DropBarcode	Junb
N701_Exp119_sample1_S1_BC0016_N01	-4.86240036846739
N701_Exp119_sample1_S1_BC0018_N01	-8.57224174398839
N701_Exp119_sample1_S1_BC0021_N01	4.98136411870561
N701_Exp119_sample1_S1_BC0026_N01	7.94645387448916
N701_Exp119_sample1_S1_BC0045_N01	1.34498032778824
N701_Exp119_sample1_S1_BC0048_N02	-0.0494680109581858
N701_Exp119_sample1_S1_BC0049_N03	0.594610827992128
N701_Exp119_sample1_S1_BC0051_N01	-2.11978398958744
N701_Exp119_sample1_S1_BC0054_N01	-2.10729639786966
N701_Exp119_sample1_S1_BC0063_N01	2.92288493164875
N701_Exp119_sample1_S1_BC0064_N01	2.37980112429462
N701_Exp119_sample1_S1_BC0068_N01	-2.54777874326385
N701_Exp119_sample1_S1_BC0074_N01	2.50918763076346
N701_Exp119_sample1_S1_BC0077_N01	-8.39909073367787
N701_Exp119_sample1_S1_BC0080_N01	1.44622932741996
N701_Exp119_sample1_S1_BC0084_N01	0.493523717649099
N701_Exp119_sample1_S1_BC0088_N01	-1.67359816586803
N701_Exp119_sample1_S1_BC0092_N01	-4.19688703766878
N701_Exp119_sample1_S1_BC0097_N01	1.2725494479955
N701_Exp119_sample1_S1_BC0101_N02	-4.98951786996529
N701_Exp119_sample1_S1_BC0102_N01	-4.09038436408611
N701_Exp119_sample1_S1_BC0107_N02	-4.19619513306538
N701_Exp119_sample1_S1_BC0112_N01	6.78106324858863
N701_Exp119_sample1_S1_BC0113_N01	3.67988391936248
N701_Exp119_sample1_S1_BC0120_N02	-2.35096957082071
N701_Exp119_sample1_S1_BC0129_N01	-5.98755489337471
N701_Exp119_sample1_S1_BC0130_N02	-6.22627794576589
N701_Exp119_sample1_S1_BC0134_N02	0.262016754123437
N701_Exp119_sample1_S1_BC0135_N01	5.63882990244961
N701_Exp119_sample1_S1_BC0136_N01	0.581222165858639
N701_Exp119_sample1_S1_BC0141_N01	2.15320285736755
N701_Exp119_sample1_S1_BC0142_N01	-1.5532178687584
N701_Exp119_sample1_S1_BC0146_N02	3.06108977396961
N701_Exp119_sample1_S1_BC0156_N01	4.828437118512
N701_Exp119_sample1_S1_BC0157_N03	2.74342788474957
N701_Exp119_sample1_S1_BC0165_N01	-4.39302263561745
N701_Exp119_sample1_S1_BC0171_N02	14.240850627159
N701_Exp119_sample1_S1_BC0180_N01	-3.87213165227672
