DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N718_Exp77_sample14_S1_BC0001_N02,0,0.119,165,133,896999,2428,917587,1889050,165372,801,0.514,1129878
N718_Exp77_sample14_S1_BC0002_N01,0,0.088,86,74,448522,3288,455777,614130,12524,212,0.258,975895
N718_Exp77_sample14_S1_BC0003_N01,0,0.044,147,104,379728,671,383967,863268,9967,91,0.555,450083
N718_Exp77_sample14_S1_BC0004_N02,0,0.312,181,182,175834,215807,396748,870794,128156,571,0.544,470808
N718_Exp77_sample14_S1_BC0005_N01,0,0.235,234,215,348572,1073,357488,860458,191098,233,0.585,406404
N718_Exp77_sample14_S1_BC0006_N01,0,0.065,134,101,325345,393,330669,735936,1599,182,0.551,389579
N718_Exp77_sample14_S1_BC0007_N01,0,0.265,204,190,576,322223,326755,689584,4482,400,0.526,396319
N718_Exp77_sample14_S1_BC0008_N03,0,0.38,191,183,1092,597560,617816,1351124,17197,1212,0.543,734544
N718_Exp77_sample14_S1_BC0009_N01,0,0.223,231,212,311037,949,316709,744496,194106,272,0.575,363651
N718_Exp77_sample14_S1_BC0010_N03,0,0.171,223,215,416956,1066,399727,813094,187602,462,0.508,496017
N718_Exp77_sample14_S1_BC0011_N01,0,0.245,212,204,301256,726,306206,594472,238178,254,0.485,392538
N718_Exp77_sample14_S1_BC0012_N01,0,0.369,197,185,553,289146,293133,699047,16292,462,0.581,334522
N718_Exp77_sample14_S1_BC0013_N04,0,0.236,232,211,372051,925,330029,894860,452039,473,0.631,360006
N718_Exp77_sample14_S1_BC0014_N01,0,0.339,214,195,488,273106,277655,663392,10109,413,0.581,316608
N718_Exp77_sample14_S1_BC0015_N02,0,0.213,233,215,395696,1072,405482,895823,272797,540,0.547,479525
N718_Exp77_sample14_S1_BC0016_N02,0,0.238,237,221,381524,1280,391659,875393,167501,446,0.553,460445
N718_Exp77_sample14_S1_BC0017_N01,0,0.327,205,191,513,262246,266212,685845,25351,311,0.612,295090
N718_Exp77_sample14_S1_BC0018_N02,0,0.3,202,188,663,355266,365614,1045128,5124,744,0.65,393163
N718_Exp77_sample14_S1_BC0019_N02,0,0.396,205,191,63604,271310,344246,967603,183904,1094,0.644,371790
