DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N715_Exp77_sample12_S1_BC056_N01,0,0.331,204,189,345,243273,246455,808151,40304,312,0.695,257643
N715_Exp77_sample12_S1_BC057_N01,0,0.315,210,193,424,241780,245788,780375,14361,327,0.685,258397
N715_Exp77_sample12_S1_BC058_N01,0,0.402,189,179,376,241932,244679,633179,16966,476,0.614,270818
N715_Exp77_sample12_S1_BC059_N02,0,0.311,215,196,487,327227,335092,1106118,7193,557,0.697,349922
N715_Exp77_sample12_S1_BC060_N02,0,0.321,209,191,447,349365,358357,999984,12905,598,0.642,387777
N715_Exp77_sample12_S1_BC061_N01,0,0.317,202,182,360,238365,243416,1061574,32718,432,0.771,246757
N715_Exp77_sample12_S1_BC062_N01,0,0.297,220,206,238045,743,242854,850369,421565,216,0.714,251390
N715_Exp77_sample12_S1_BC063_N01,0,0.392,205,187,381,238395,242605,712802,16081,267,0.66,259167
N715_Exp77_sample12_S1_BC064_N01,0,0.322,219,199,345,237853,242069,721410,4170,298,0.664,257764
N715_Exp77_sample12_S1_BC065_N01,0,0.389,208,190,330,237032,241484,643282,29957,342,0.625,264817
N715_Exp77_sample12_S1_BC066_N01,0,0.371,216,197,433,235404,239756,916219,5995,339,0.738,245651
N715_Exp77_sample12_S1_BC067_N01,0,0.39,195,179,364,235483,239404,788393,20775,370,0.696,250096
N715_Exp77_sample12_S1_BC068_N01,0,0.375,209,192,410,232904,236651,619632,4278,256,0.618,260928
N715_Exp77_sample12_S1_BC069_N01,0,0.304,207,190,451,231871,235447,819038,6590,365,0.713,243941
N715_Exp77_sample12_S1_BC070_N01,0,0.349,216,192,305,229377,234310,550801,4243,363,0.575,269038
N715_Exp77_sample12_S1_BC071_N02,0,0.399,213,193,381,262084,270301,903672,20791,452,0.701,281692
N715_Exp77_sample12_S1_BC072_N01,0,0.291,200,184,333,229073,232413,684419,25741,333,0.66,248149
N715_Exp77_sample12_S1_BC073_N01,0,0.283,222,206,227575,612,231322,646990,326499,192,0.642,250158
N715_Exp77_sample12_S1_BC074_N01,0,0.215,228,215,226547,744,230992,692039,470546,196,0.666,245683
N715_Exp77_sample12_S1_BC075_N03,0,0.398,210,192,384,308518,300362,811442,14914,541,0.63,327997
N715_Exp77_sample12_S1_BC076_N02,0,0.317,226,206,238931,744,245053,732794,509506,357,0.666,260745
