DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N705_Exp28_Sample5_S1_BC001_N01,0,0.356,201,184,251,89996,91175,134408,16202,23,0.322,161199
N705_Exp28_Sample5_S1_BC002_N04,0,0.064,208,174,88690,2209,91287,121803,2900,6,0.251,200516
N705_Exp28_Sample5_S1_BC003_N01,0,0.046,170,134,76,78313,80173,113154,1058,6,0.291,154203
N705_Exp28_Sample5_S1_BC004_N01,0,0.38,204,183,289,76168,77437,132763,16981,14,0.417,111004
N705_Exp28_Sample5_S1_BC005_N01,0,0.332,206,186,208,75457,76515,126878,10191,10,0.397,113913
N705_Exp28_Sample5_S1_BC006_N01,0,0.354,200,181,29954,39645,70433,106794,76252,36,0.34,118733
N705_Exp28_Sample5_S1_BC007_N01,0,0.384,211,188,194,68553,69713,117289,13689,12,0.406,102042
N705_Exp28_Sample5_S1_BC008_N01,0,0.272,195,190,63983,194,64792,87836,131054,51,0.262,136624
N705_Exp28_Sample5_S1_BC009_N01,0,0.34,206,183,262,62297,63286,100292,11296,18,0.369,99875
N705_Exp28_Sample5_S1_BC010_N01,0,0.336,211,188,401,61784,63054,104983,14365,6,0.399,93421
N705_Exp28_Sample5_S1_BC011_N01,0,0.312,198,180,90,60538,61238,87804,4062,9,0.303,114058
N705_Exp28_Sample5_S1_BC012_N01,0,0.255,221,197,126,60247,61198,92565,9007,8,0.339,103573
N705_Exp28_Sample5_S1_BC013_N01,0,0.332,187,174,13063,44851,58439,93627,40903,24,0.376,90867
N705_Exp28_Sample5_S1_BC014_N01,0,0.311,202,186,19576,37780,57841,84919,37675,17,0.319,103019
N705_Exp28_Sample5_S1_BC015_N01,0,0.068,184,152,55763,77,56756,79813,6073,4,0.289,110007
N705_Exp28_Sample5_S1_BC016_N01,0,0.329,208,185,182,54914,55743,83248,12850,12,0.33,96356
N705_Exp28_Sample5_S1_BC017_N04,0,0.366,198,184,277,89674,74587,143395,5306,16,0.48,96325
N705_Exp28_Sample5_S1_BC018_N01,0,0.313,205,182,311,51210,52186,80877,6809,6,0.355,85040
N705_Exp28_Sample5_S1_BC019_N01,0,0.404,163,157,25409,25216,51008,64177,44495,29,0.205,134161
N705_Exp28_Sample5_S1_BC020_N01,0,0.321,209,189,258,49542,50344,79269,6537,9,0.365,80171
N705_Exp28_Sample5_S1_BC021_N01,0,0.365,184,171,553,48865,49832,71991,11209,15,0.308,91459
N705_Exp28_Sample5_S1_BC022_N01,0,0.299,208,185,137,48984,49730,80932,14872,6,0.386,75765
N705_Exp28_Sample5_S1_BC023_N01,0,0.35,213,191,282,48697,49584,78299,14725,9,0.367,78639
N705_Exp28_Sample5_S1_BC024_N01,0,0.346,200,182,134,47429,48000,76885,8393,11,0.376,74658
N705_Exp28_Sample5_S1_BC025_N01,0,0.361,193,175,113,47062,47694,74204,15896,9,0.357,77273
N705_Exp28_Sample5_S1_BC026_N03,0,0.367,198,187,23333,24582,47718,72840,47616,25,0.345,79586
N705_Exp28_Sample5_S1_BC027_N01,0,0.277,217,193,103,46095,46893,75390,6058,11,0.378,72579
N705_Exp28_Sample5_S1_BC028_N01,0,0.389,204,181,248,45955,46782,71478,8258,13,0.346,77910
N705_Exp28_Sample5_S1_BC029_N01,0,0.292,220,199,14558,31586,46717,64531,28232,15,0.276,94202
N705_Exp28_Sample5_S1_BC030_N01,0,0.319,211,188,162,45868,46678,70565,5866,8,0.339,79068
N705_Exp28_Sample5_S1_BC031_N01,0,0.266,179,160,44591,181,45295,69565,78601,43,0.349,74830
N705_Exp28_Sample5_S1_BC032_N01,0,0.375,194,176,107,44758,45266,63524,7591,6,0.287,88125
N705_Exp28_Sample5_S1_BC033_N01,0,0.371,208,193,44018,399,44848,59296,48711,23,0.244,100985
N705_Exp28_Sample5_S1_BC034_N01,0,0.372,196,175,232,44053,44727,71350,7654,8,0.373,69951
N705_Exp28_Sample5_S1_BC035_N01,0,0.388,202,182,124,43812,44392,61319,2522,10,0.276,89515
N705_Exp28_Sample5_S1_BC036_N01,0,0.374,202,182,164,43143,43749,65984,7367,13,0.337,74387
N705_Exp28_Sample5_S1_BC037_N01,0,0.291,206,187,96,42741,43274,68428,14395,4,0.368,68501
N705_Exp28_Sample5_S1_BC038_N01,0,0.309,210,185,111,40842,41594,64779,9881,8,0.358,67289
N705_Exp28_Sample5_S1_BC039_N01,0,0.296,218,194,180,40458,41244,64079,5437,6,0.356,66961
N705_Exp28_Sample5_S1_BC040_N01,0,0.421,205,181,170,40415,41224,73133,5115,10,0.436,57066
N705_Exp28_Sample5_S1_BC041_N01,0,0.334,218,199,40422,160,41009,66210,53227,28,0.381,63121
N705_Exp28_Sample5_S1_BC042_N01,0,0.35,180,160,251,40204,40861,62127,11505,9,0.342,68577
N705_Exp28_Sample5_S1_BC043_N01,0,0.311,211,194,40182,159,40822,66324,86109,42,0.385,62325
N705_Exp28_Sample5_S1_BC044_N06,0,0.405,153,144,151,68360,47035,104859,8142,13,0.551,55367
N705_Exp28_Sample5_S1_BC045_N04,0,0.371,209,187,86,55623,52384,81714,4776,24,0.359,84547
N705_Exp28_Sample5_S1_BC046_N01,0,0.346,207,185,91,40150,40741,59731,12207,10,0.318,72745
N705_Exp28_Sample5_S1_BC047_N01,0,0.362,210,188,102,40085,40666,62114,10980,9,0.345,67758
N705_Exp28_Sample5_S1_BC048_N01,0,0.358,196,177,132,40080,40646,60926,11008,7,0.333,69824
N705_Exp28_Sample5_S1_BC049_N01,0,0.307,206,185,124,39598,40190,65040,9213,8,0.382,61672
N705_Exp28_Sample5_S1_BC050_N01,0,0.363,208,189,168,39449,40174,64375,6428,4,0.376,62453
N705_Exp28_Sample5_S1_BC051_N01,0,0.293,188,179,116,39559,40034,52932,4470,8,0.244,90141
N705_Exp28_Sample5_S1_BC052_N01,0,0.357,209,189,86,39250,39850,59345,5309,6,0.329,69217
N705_Exp28_Sample5_S1_BC053_N01,0,0.327,203,182,116,39171,39842,66755,7574,9,0.403,58597
N705_Exp28_Sample5_S1_BC054_N01,0,0.329,215,192,282,38898,39777,62753,4158,4,0.366,63169
N705_Exp28_Sample5_S1_BC055_N01,0,0.358,209,188,12060,26966,39461,52127,36119,17,0.243,89076
N705_Exp28_Sample5_S1_BC056_N01,0,0.327,216,191,105,38721,39364,63622,6480,10,0.381,60505
N705_Exp28_Sample5_S1_BC057_N01,0,0.348,198,180,204,38571,39210,65257,8885,5,0.399,58121
N705_Exp28_Sample5_S1_BC058_N01,0,0.332,217,196,38188,477,39206,63691,74700,34,0.384,59867
N705_Exp28_Sample5_S1_BC059_N01,0,0.368,199,185,226,38466,39032,51911,4945,8,0.248,86485
N705_Exp28_Sample5_S1_BC060_N01,0,0.263,204,189,215,38259,38808,51828,3772,14,0.251,85038
N705_Exp28_Sample5_S1_BC061_N01,0,0.271,226,199,160,37812,38590,61683,11634,8,0.374,60191
N705_Exp28_Sample5_S1_BC062_N01,0,0.288,186,170,82,38088,38529,54447,8930,12,0.292,73911
N705_Exp28_Sample5_S1_BC063_N01,0,0.36,188,175,20229,17727,38356,50950,33519,28,0.247,85267
N705_Exp28_Sample5_S1_BC064_N01,0,0.372,198,178,17406,20481,38339,60551,56858,21,0.367,60792
N705_Exp28_Sample5_S1_BC065_N01,0,0.429,160,147,531,37355,38295,59572,6080,9,0.357,62058
N705_Exp28_Sample5_S1_BC066_N01,0,0.289,193,179,14930,22873,38220,51136,15104,20,0.253,83347
N705_Exp28_Sample5_S1_BC067_N01,0,0.355,198,185,25779,11419,37560,52298,30728,18,0.282,74386
N705_Exp28_Sample5_S1_BC068_N02,0,0.329,220,198,21448,16298,38203,55582,29835,13,0.313,69184
N705_Exp28_Sample5_S1_BC069_N01,0,0.31,207,192,18059,19091,37531,56140,55217,16,0.331,64698
N705_Exp28_Sample5_S1_BC070_N01,0,0.314,219,205,36730,123,37353,58848,51704,35,0.365,59435
N705_Exp28_Sample5_S1_BC071_N01,0,0.313,221,198,251,36335,37085,53304,5533,10,0.304,68739
N705_Exp28_Sample5_S1_BC072_N01,0,0.326,219,195,103,35956,36574,56518,3538,4,0.353,59859
N705_Exp28_Sample5_S1_BC073_N02,0,0.363,156,158,38833,318,39493,50223,60287,28,0.214,100121
N705_Exp28_Sample5_S1_BC074_N01,0,0.337,205,185,378,35298,36084,52672,6427,7,0.315,64949
N705_Exp28_Sample5_S1_BC075_N01,0,0.345,200,184,19649,16037,36020,55912,40963,28,0.356,58558
N705_Exp28_Sample5_S1_BC076_N01,0,0.303,193,175,484,35001,35917,57363,8122,6,0.374,56084
N705_Exp28_Sample5_S1_BC077_N02,0,0.362,197,178,251,34957,35770,51903,5894,11,0.311,65105
N705_Exp28_Sample5_S1_BC078_N01,0,0.305,232,207,143,34655,35263,52636,3978,2,0.33,61007
N705_Exp28_Sample5_S1_BC079_N01,0,0.394,209,186,97,34436,34945,51734,3142,5,0.325,61322
N705_Exp28_Sample5_S1_BC080_N01,0,0.329,207,188,12062,22443,34830,46343,20286,16,0.248,77082
N705_Exp28_Sample5_S1_BC081_N01,0,0.336,204,184,181,34232,34822,53244,7902,4,0.346,57925
N705_Exp28_Sample5_S1_BC082_N07,0,0.386,152,144,183,66452,55985,88286,7292,15,0.366,88962
N705_Exp28_Sample5_S1_BC083_N01,0,0.368,212,193,34165,181,34795,49277,28738,21,0.294,66448
N705_Exp28_Sample5_S1_BC084_N01,0,0.356,218,194,128,34180,34761,46991,7027,7,0.26,73818
N705_Exp28_Sample5_S1_BC085_N01,0,0.319,224,208,34134,116,34705,53873,63497,25,0.356,56417
N705_Exp28_Sample5_S1_BC086_N01,0,0.436,201,186,34099,130,34594,56659,59626,37,0.389,52285
N705_Exp28_Sample5_S1_BC087_N01,0,0.34,204,182,115,33654,34148,49391,4315,17,0.309,62532
N705_Exp28_Sample5_S1_BC088_N04,0,0.383,187,176,31588,21827,49125,80363,138382,52,0.389,74356
N705_Exp28_Sample5_S1_BC089_N02,0,0.342,197,183,180,54144,54965,76163,4985,10,0.278,110043
N705_Exp28_Sample5_S1_BC090_N01,0,0.269,209,190,107,33533,34013,50999,10042,4,0.333,58399
N705_Exp28_Sample5_S1_BC091_N01,0,0.327,189,177,584,33145,33999,43475,3752,10,0.218,84640
N705_Exp28_Sample5_S1_BC092_N01,0,0.299,198,187,1620,31948,33838,45269,4712,2,0.253,73809
N705_Exp28_Sample5_S1_BC093_N01,0,0.325,183,171,118,33405,33803,42882,3634,6,0.212,86405
N705_Exp28_Sample5_S1_BC094_N02,0,0.319,196,176,132,33890,34367,56565,7162,0,0.392,51627
N705_Exp28_Sample5_S1_BC095_N01,0,0.411,206,184,184,32731,33437,52172,13696,17,0.359,53946
N705_Exp28_Sample5_S1_BC096_N01,0,0.297,198,179,427,32177,32939,50827,13434,9,0.352,54028
N705_Exp28_Sample5_S1_BC097_N01,0,0.307,216,195,83,32434,32921,44749,4589,7,0.264,68963
N705_Exp28_Sample5_S1_BC098_N01,0,0.328,201,186,7088,25423,32797,42038,12682,3,0.22,81020
N705_Exp28_Sample5_S1_BC099_N01,0,0.409,190,171,206,32178,32669,53762,8635,3,0.392,49086
N705_Exp28_Sample5_S1_BC100_N01,0,0.327,212,192,68,32077,32519,47517,3691,7,0.316,58421
N705_Exp28_Sample5_S1_BC101_N01,0,0.336,215,194,100,31805,32354,50752,5112,2,0.363,51799
N705_Exp28_Sample5_S1_BC102_N01,0,0.293,207,199,31937,121,32332,44625,96961,34,0.275,65315
N705_Exp28_Sample5_S1_BC103_N01,0,0.322,204,187,121,31709,32268,40629,6579,11,0.206,84648
N705_Exp28_Sample5_S1_BC104_N01,0,0.279,215,197,62,31690,32175,45609,3889,0,0.295,61326
N705_Exp28_Sample5_S1_BC105_N01,0,0.33,218,195,179,31388,32058,55128,11332,9,0.418,45806
N705_Exp28_Sample5_S1_BC106_N04,0,0.307,214,191,138,45739,42923,69446,4233,2,0.382,65887
N705_Exp28_Sample5_S1_BC107_N01,0,0.612,121,108,31160,89,31559,49117,2853,12,0.357,51106
N705_Exp28_Sample5_S1_BC108_N01,0,0.356,226,199,83,30783,31401,50772,3157,9,0.382,48240
N705_Exp28_Sample5_S1_BC109_N01,0,0.366,216,197,30811,108,31325,49935,68465,24,0.373,49038
N705_Exp28_Sample5_S1_BC110_N01,0,0.336,204,186,151,30843,31323,47325,6106,4,0.338,53108
N705_Exp28_Sample5_S1_BC111_N01,0,0.305,205,186,119,30750,31201,47617,8187,12,0.345,52056
N705_Exp28_Sample5_S1_BC112_N01,0,0.295,206,185,105,30675,31113,49442,6074,2,0.371,48915
N705_Exp28_Sample5_S1_BC113_N01,0,0.345,205,187,121,30544,31046,43345,5240,8,0.284,61120
N705_Exp28_Sample5_S1_BC114_N01,0,0.293,202,181,116,30269,30729,47372,9533,6,0.351,50475
N705_Exp28_Sample5_S1_BC115_N03,0,0.32,206,187,302,41372,40966,59754,5254,7,0.314,73837
N705_Exp28_Sample5_S1_BC116_N01,0,0.301,213,190,222,30043,30642,46311,6669,6,0.338,51926
N705_Exp28_Sample5_S1_BC117_N03,0,0.387,197,188,50322,160,47070,77584,64766,28,0.393,70587
N705_Exp28_Sample5_S1_BC118_N01,0,0.339,218,200,29780,69,30265,45112,42476,26,0.329,52486
N705_Exp28_Sample5_S1_BC119_N01,0,0.364,208,187,151,29543,30072,46148,5190,15,0.348,49743
N705_Exp28_Sample5_S1_BC120_N01,0,0.287,194,183,29277,87,29590,46038,43927,30,0.357,47940
N705_Exp28_Sample5_S1_BC121_N01,0,0.377,211,194,28979,104,29523,45730,78149,34,0.354,48148
N705_Exp28_Sample5_S1_BC122_N01,0,0.327,218,195,92,28945,29511,41877,4564,4,0.295,56126
N705_Exp28_Sample5_S1_BC123_N01,0,0.326,207,187,64,29025,29458,41386,3810,5,0.288,57213
N705_Exp28_Sample5_S1_BC124_N01,0,0.365,183,172,13786,15405,29430,41780,33799,14,0.296,55922
N705_Exp28_Sample5_S1_BC125_N01,0,0.361,203,182,63,28970,29412,38813,3685,2,0.242,66581
N705_Exp28_Sample5_S1_BC126_N01,0,0.367,199,179,171,28810,29266,40373,4341,7,0.275,59190
N705_Exp28_Sample5_S1_BC127_N01,0,0.342,210,192,11580,17332,29234,39218,65469,23,0.255,63307
N705_Exp28_Sample5_S1_BC128_N01,0,0.287,201,196,28384,433,29119,39822,63858,33,0.269,60109
N705_Exp28_Sample5_S1_BC129_N01,0,0.317,212,190,520,28185,29020,44178,4394,4,0.343,48609
N705_Exp28_Sample5_S1_BC130_N04,0,0.331,210,189,136,47679,43813,75413,5521,12,0.419,62540
