DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N714_Exp77_sample11_S1_BC001_N01,0,0.036,159,118,554675,1183,560549,1484076,42403,110,0.622,615883
N714_Exp77_sample11_S1_BC002_N01,0,0.055,210,198,461243,1022,466675,1155440,188156,227,0.596,524687
N714_Exp77_sample11_S1_BC003_N01,0,0.212,216,204,444412,1480,450482,1019404,618132,371,0.558,526380
N714_Exp77_sample11_S1_BC004_N01,0,0.218,226,213,380667,910,387699,959501,292782,314,0.596,435963
N714_Exp77_sample11_S1_BC005_N01,0,0.147,170,141,375412,449,381106,931111,81912,115,0.591,430676
N714_Exp77_sample11_S1_BC006_N01,0,0.299,201,187,502,355391,359655,890651,5074,456,0.596,404332
N714_Exp77_sample11_S1_BC007_N01,0,0.287,205,191,671,352317,356953,1172545,28103,347,0.696,373049
N714_Exp77_sample11_S1_BC008_N01,0,0.258,219,204,342182,1087,346840,684519,358383,272,0.493,439341
N714_Exp77_sample11_S1_BC009_N01,0,0.316,204,187,775,332474,337701,1048144,19991,535,0.678,356558
N714_Exp77_sample11_S1_BC010_N01,0,0.363,209,191,603,331585,336792,1119171,18237,381,0.699,351320
N714_Exp77_sample11_S1_BC011_N01,0,0.18,226,212,330674,938,336044,661958,247974,201,0.492,426240
N714_Exp77_sample11_S1_BC012_N01,0,0.319,210,191,591,328212,333166,1019811,5408,520,0.673,352750
N714_Exp77_sample11_S1_BC013_N01,0,0.161,211,203,324896,926,329317,616349,227221,315,0.466,434492
N714_Exp77_sample11_S1_BC014_N01,0,0.267,218,203,322585,1162,327644,1020871,355588,381,0.679,345678
N714_Exp77_sample11_S1_BC015_N01,0,0.211,208,205,321175,637,324623,670373,211461,214,0.516,398953
N714_Exp77_sample11_S1_BC016_N01,0,0.336,206,191,176581,143766,324038,794596,238405,392,0.592,365662
N714_Exp77_sample11_S1_BC017_N01,0,0.209,226,210,318742,825,322966,764200,200421,195,0.577,369787
N714_Exp77_sample11_S1_BC018_N01,0,0.27,225,205,310759,1289,316327,996498,330522,475,0.683,333039
N714_Exp77_sample11_S1_BC019_N01,0,0.298,214,195,494,306506,311615,905696,35352,486,0.656,333736
N714_Exp77_sample11_S1_BC020_N01,0,0.324,199,190,535,306152,309655,1056314,6376,301,0.707,321721
N714_Exp77_sample11_S1_BC021_N01,0,0.207,209,205,299746,579,303215,598812,182287,187,0.494,383903
N714_Exp77_sample11_S1_BC022_N01,0,0.361,216,194,522,298182,303177,947406,4814,426,0.68,319684
N714_Exp77_sample11_S1_BC023_N01,0,0.317,206,190,489,298858,302912,903434,14888,366,0.665,322496
N714_Exp77_sample11_S1_BC024_N01,0,0.316,185,177,535,297958,301288,747949,19608,461,0.597,338402
N714_Exp77_sample11_S1_BC025_N01,0,0.329,205,192,480,297077,300985,907539,10510,293,0.668,319684
N714_Exp77_sample11_S1_BC026_N01,0,0.253,225,209,294874,1072,300175,878229,356059,360,0.658,320983
N714_Exp77_sample11_S1_BC027_N02,0,0.317,204,189,658,342832,351610,1488752,14140,776,0.764,357136
N714_Exp77_sample11_S1_BC028_N01,0,0.237,218,206,288598,789,294050,863241,264379,255,0.659,314184
N714_Exp77_sample11_S1_BC029_N01,0,0.304,213,195,580,287479,291707,874128,11659,346,0.666,310245
N714_Exp77_sample11_S1_BC030_N01,0,0.27,201,199,287160,951,290680,805005,310107,346,0.639,315192
N714_Exp77_sample11_S1_BC031_N01,0,0.285,214,191,742,283279,288242,1051715,13740,602,0.726,296826
N714_Exp77_sample11_S1_BC032_N01,0,0.223,234,212,279602,1122,285284,833783,412090,316,0.658,305135
N714_Exp77_sample11_S1_BC033_N01,0,0.324,195,188,455,280007,283079,799617,9366,417,0.646,305334
N714_Exp77_sample11_S1_BC034_N01,0,0.402,203,186,563,277704,281491,967011,13069,581,0.709,292161
N714_Exp77_sample11_S1_BC035_N01,0,0.369,201,186,387,274411,277697,720442,6512,414,0.615,307105
N714_Exp77_sample11_S1_BC036_N01,0,0.324,202,194,273020,904,276850,641916,348920,406,0.569,319830
N714_Exp77_sample11_S1_BC037_N01,0,0.386,195,184,414,273259,276249,847199,26756,347,0.674,292374
N714_Exp77_sample11_S1_BC038_N01,0,0.339,208,191,430,272493,276117,891342,15046,304,0.69,289422
N714_Exp77_sample11_S1_BC039_N01,0,0.347,217,196,495,269831,275160,781483,13429,416,0.648,296378
N714_Exp77_sample11_S1_BC040_N01,0,0.276,229,209,268019,1030,272891,812267,355915,412,0.664,290663
N714_Exp77_sample11_S1_BC041_N01,0,0.261,228,210,267647,846,272009,723647,273510,265,0.624,298412
N714_Exp77_sample11_S1_BC042_N01,0,0.326,202,191,404,267490,270472,771602,5514,400,0.649,290999
N714_Exp77_sample11_S1_BC043_N01,0,0.243,227,204,266029,965,270353,659698,383951,344,0.59,305667
N714_Exp77_sample11_S1_BC044_N01,0,0.278,202,197,266613,616,269609,798382,153775,198,0.662,287499
N714_Exp77_sample11_S1_BC045_N01,0,0.377,210,193,480,265329,269279,920328,20372,335,0.707,279694
N714_Exp77_sample11_S1_BC046_N01,0,0.313,207,191,402,265457,269209,762719,17216,390,0.647,290150
N714_Exp77_sample11_S1_BC047_N01,0,0.351,200,188,453,265614,268676,757074,14111,436,0.645,289984
N714_Exp77_sample11_S1_BC048_N01,0,0.362,206,191,472,262796,266140,757494,5487,415,0.649,286506
N714_Exp77_sample11_S1_BC049_N01,0,0.281,231,209,261195,1090,266127,846891,456609,391,0.686,279663
N714_Exp77_sample11_S1_BC050_N01,0,0.332,207,192,471,261643,265547,922845,13530,318,0.712,275164
N714_Exp77_sample11_S1_BC051_N01,0,0.3,216,197,435,260718,265060,846226,54731,342,0.687,278378
N714_Exp77_sample11_S1_BC052_N01,0,0.396,197,186,489,261202,264383,844363,23576,358,0.687,277650
N714_Exp77_sample11_S1_BC053_N01,0,0.343,208,190,466,260600,264043,793863,6585,280,0.667,280621
N714_Exp77_sample11_S1_BC054_N01,0,0.344,200,187,464,260366,263846,754816,21288,333,0.65,283671
N714_Exp77_sample11_S1_BC055_N01,0,0.317,206,192,439,259052,261974,625332,7189,336,0.581,298845
N714_Exp77_sample11_S1_BC056_N01,0,0.244,225,205,257558,847,261438,615834,404028,305,0.575,299920
N714_Exp77_sample11_S1_BC057_N01,0,0.294,199,182,496,256964,260655,1090671,54408,408,0.761,264976
N714_Exp77_sample11_S1_BC058_N01,0,0.302,214,197,400,255654,260076,660985,3458,488,0.607,289640
N714_Exp77_sample11_S1_BC059_N01,0,0.372,206,191,469,254948,258551,909543,17009,402,0.716,267473
N714_Exp77_sample11_S1_BC060_N01,0,0.318,205,189,757,253643,257329,639711,9643,337,0.598,288878
N714_Exp77_sample11_S1_BC061_N01,0,0.353,191,183,469,253004,256100,757450,22601,537,0.662,273169
N714_Exp77_sample11_S1_BC062_N01,0,0.269,236,209,248590,929,254730,918505,462267,280,0.723,262690
N714_Exp77_sample11_S1_BC063_N01,0,0.329,197,188,332,251969,254493,638404,7410,275,0.601,284746
N714_Exp77_sample11_S1_BC064_N01,0,0.284,205,193,431,249123,252433,910334,23795,337,0.723,260317
N714_Exp77_sample11_S1_BC065_N01,0,0.263,213,203,247656,703,251251,816218,45453,202,0.692,263071
N714_Exp77_sample11_S1_BC066_N01,0,0.415,185,179,570,247756,250934,868881,30624,1256,0.711,260154
N714_Exp77_sample11_S1_BC067_N01,0,0.338,218,198,485,245298,249724,620835,4857,433,0.598,280335
N714_Exp77_sample11_S1_BC068_N01,0,0.299,206,191,366,245936,249205,644214,3267,312,0.613,275924
N714_Exp77_sample11_S1_BC069_N01,0,0.306,204,195,245075,727,248588,854191,414565,266,0.709,258002
N714_Exp77_sample11_S1_BC070_N01,0,0.323,207,191,718,244789,248327,810203,5655,348,0.694,259819
N714_Exp77_sample11_S1_BC071_N01,0,0.274,213,202,244978,744,248086,613059,237127,321,0.595,279128
N714_Exp77_sample11_S1_BC072_N01,0,0.349,194,183,390,244707,247403,626599,11459,341,0.605,275863
N714_Exp77_sample11_S1_BC073_N01,0,0.219,216,204,243168,660,247039,515120,207359,287,0.52,301796
N714_Exp77_sample11_S1_BC074_N01,0,0.261,220,206,242157,770,246192,701355,166431,251,0.649,264970
N714_Exp77_sample11_S1_BC075_N01,0,0.258,224,206,240850,692,245073,664861,264347,213,0.631,267292
N714_Exp77_sample11_S1_BC076_N01,0,0.399,194,184,432,241889,244829,674100,7194,760,0.637,265902
N714_Exp77_sample11_S1_BC077_N01,0,0.393,200,187,503,240584,243896,979858,15161,370,0.751,248737
N714_Exp77_sample11_S1_BC078_N01,0,0.347,208,191,417,239499,243038,927787,5609,251,0.738,249040
N714_Exp77_sample11_S1_BC079_N01,0,0.347,199,184,364,239864,242951,609871,17775,427,0.602,271763
N714_Exp77_sample11_S1_BC080_N01,0,0.22,242,217,237066,658,242622,647485,235269,243,0.625,265918
N714_Exp77_sample11_S1_BC081_N01,0,0.279,223,207,237498,664,241289,701681,298303,178,0.656,258384
N714_Exp77_sample11_S1_BC082_N01,0,0.171,237,212,236692,680,240475,747497,255519,161,0.678,253828
N714_Exp77_sample11_S1_BC083_N01,0,0.236,219,205,237327,588,240398,584702,271652,255,0.589,272147
N714_Exp77_sample11_S1_BC084_N01,0,0.259,212,201,236961,595,240027,583960,249852,190,0.589,271698
