DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N716_Exp77_sample13_S1_BC027_N01,0,0.225,176,189,147232,230,149557,250653,102037,95,0.403,219887
N716_Exp77_sample13_S1_BC028_N01,0,0.301,150,151,169,144638,146774,200364,886,179,0.267,304279
N716_Exp77_sample13_S1_BC029_N02,0,0.253,173,184,221169,440,226244,366310,181281,264,0.382,346959
N716_Exp77_sample13_S1_BC030_N01,0,0.311,159,157,161,143177,145740,295606,5898,203,0.507,181187
N716_Exp77_sample13_S1_BC031_N01,0,0.376,152,149,156,143245,145388,261756,9050,156,0.445,198460
N716_Exp77_sample13_S1_BC032_N01,0,0.352,160,166,181,141679,143510,247632,8527,182,0.42,204311
N716_Exp77_sample13_S1_BC033_N02,0,0.336,164,167,239,225363,230947,430922,4773,264,0.464,305481
N716_Exp77_sample13_S1_BC034_N01,0,0.347,152,150,205,139319,141721,262944,5907,278,0.461,188355
N716_Exp77_sample13_S1_BC035_N01,0,0.329,160,162,167,139146,141467,260687,6425,121,0.457,189122
N716_Exp77_sample13_S1_BC036_N01,0,0.199,174,187,139115,300,141289,222538,98990,127,0.365,224895
N716_Exp77_sample13_S1_BC037_N01,0,0.338,154,150,174,138183,140992,282375,3372,207,0.501,176778
N716_Exp77_sample13_S1_BC038_N01,0,0.266,174,184,138081,267,140610,238796,129443,135,0.411,203660
N716_Exp77_sample13_S1_BC039_N01,0,0.307,161,171,138177,521,140585,218402,154757,209,0.356,228273
N716_Exp77_sample13_S1_BC040_N02,0,0.24,181,186,203483,492,209452,376979,158691,277,0.444,285993
N716_Exp77_sample13_S1_BC041_N01,0,0.287,166,173,136689,325,138769,253813,151647,176,0.453,186733
N716_Exp77_sample13_S1_BC042_N01,0,0.26,169,180,136026,390,138738,222565,106727,194,0.377,215352
N716_Exp77_sample13_S1_BC043_N04,0,0.39,151,156,377,311519,262214,577432,7406,765,0.546,310618
N716_Exp77_sample13_S1_BC044_N01,0,0.293,174,182,136243,485,138479,230479,171697,225,0.399,205259
N716_Exp77_sample13_S1_BC045_N02,0,0.405,151,143,293,212484,218212,399530,20495,413,0.454,293366
N716_Exp77_sample13_S1_BC046_N02,0,0.353,159,160,211,188695,193382,333197,3704,259,0.42,275742
N716_Exp77_sample13_S1_BC047_N02,0,0.387,156,158,272,209319,214726,377984,11142,268,0.432,299518
N716_Exp77_sample13_S1_BC048_N01,0,0.356,156,155,257,131207,133430,277322,10462,179,0.519,163329
N716_Exp77_sample13_S1_BC049_N01,0,0.317,144,124,171,130553,132438,231819,3473,203,0.429,185784
N716_Exp77_sample13_S1_BC050_N01,0,0.388,152,148,163,129451,131572,249323,4897,175,0.472,171850
N716_Exp77_sample13_S1_BC051_N01,0,0.409,159,161,176,129182,131452,253813,6189,175,0.482,169206
N716_Exp77_sample13_S1_BC052_N01,0,0.289,159,160,193,128229,130109,219549,3610,129,0.407,189809
N716_Exp77_sample13_S1_BC053_N01,0,0.317,169,171,136,127887,130076,209567,7950,102,0.379,200766
N716_Exp77_sample13_S1_BC054_N01,0,0.402,153,148,156,127946,129989,225715,6011,157,0.424,183850
N716_Exp77_sample13_S1_BC055_N01,0,0.263,172,180,127789,307,129752,193169,90540,169,0.328,225489
N716_Exp77_sample13_S1_BC056_N02,0,0.326,154,152,242,183194,188254,360626,4972,270,0.478,243793
N716_Exp77_sample13_S1_BC057_N01,0,0.318,151,146,162,126049,128027,275658,14989,150,0.536,153513
N716_Exp77_sample13_S1_BC058_N02,0,0.414,148,148,221,211373,218307,407741,12406,360,0.465,288523
N716_Exp77_sample13_S1_BC059_N03,0,0.408,167,171,309,226336,213980,416776,2660,361,0.487,273649
N716_Exp77_sample13_S1_BC060_N01,0,0.295,175,184,124569,261,127631,231690,120932,174,0.449,172908
N716_Exp77_sample13_S1_BC061_N02,0,0.319,157,160,194,161465,166485,340337,2619,237,0.511,205926
N716_Exp77_sample13_S1_BC062_N01,0,0.304,159,157,180,125197,127015,252837,2743,150,0.498,159922
N716_Exp77_sample13_S1_BC063_N01,0,0.303,155,150,162,124817,126553,273355,7373,124,0.537,151477
N716_Exp77_sample13_S1_BC064_N01,0,0.302,158,157,121,124728,126508,203237,764,154,0.378,195995
N716_Exp77_sample13_S1_BC065_N01,0,0.329,156,161,143,124363,126432,251580,6489,139,0.497,159230
N716_Exp77_sample13_S1_BC066_N01,0,0.314,149,146,114,124369,126289,248619,10151,107,0.492,160256
N716_Exp77_sample13_S1_BC067_N01,0,0.315,169,177,122622,335,124952,241194,160371,180,0.482,160874
N716_Exp77_sample13_S1_BC068_N02,0,0.254,178,185,210829,440,216415,361791,107459,221,0.402,319117
N716_Exp77_sample13_S1_BC069_N01,0,0.29,172,182,121414,305,123320,186891,180318,214,0.34,208054
N716_Exp77_sample13_S1_BC070_N01,0,0.312,154,151,135,121359,123027,209229,819,108,0.412,177916
N716_Exp77_sample13_S1_BC071_N01,0,0.403,151,137,203,120556,122871,242599,4767,150,0.494,155593
N716_Exp77_sample13_S1_BC072_N01,0,0.217,177,187,121039,239,122834,178022,62440,90,0.31,224076
N716_Exp77_sample13_S1_BC073_N02,0,0.285,167,177,167275,382,172916,318017,117293,209,0.456,231558
N716_Exp77_sample13_S1_BC074_N01,0,0.349,152,143,163,120427,122353,256939,583,158,0.524,148837
N716_Exp77_sample13_S1_BC075_N02,0,0.362,159,166,266,155311,158375,279292,11671,267,0.433,220520
N716_Exp77_sample13_S1_BC076_N01,0,0.428,157,155,129,119609,122263,243215,5649,114,0.497,154010
N716_Exp77_sample13_S1_BC077_N01,0,0.288,179,183,119301,363,121334,199906,165022,192,0.393,182048
N716_Exp77_sample13_S1_BC078_N01,0,0.362,160,165,149,118378,120759,196016,1681,125,0.384,184590
N716_Exp77_sample13_S1_BC079_N01,0,0.369,157,162,162,116535,120429,180902,2564,177,0.334,206142
N716_Exp77_sample13_S1_BC080_N01,0,0.296,158,154,168,118207,120046,226131,1122,126,0.469,157550
N716_Exp77_sample13_S1_BC081_N01,0,0.331,162,163,135,117871,119848,224444,1506,113,0.466,158045
N716_Exp77_sample13_S1_BC082_N01,0,0.261,178,190,117749,259,119827,219574,111608,122,0.454,160980
N716_Exp77_sample13_S1_BC083_N01,0,0.378,154,154,154,117186,119457,206164,2184,131,0.421,170036
N716_Exp77_sample13_S1_BC084_N01,0,0.393,152,150,147,117662,119413,193541,2755,137,0.383,182883
N716_Exp77_sample13_S1_BC085_N01,0,0.361,164,165,129,117431,119405,210478,2934,131,0.433,166330
N716_Exp77_sample13_S1_BC086_N01,0,0.355,148,136,142,117311,119163,234580,5402,186,0.492,151218
N716_Exp77_sample13_S1_BC087_N02,0,0.321,155,151,205,177787,182730,337718,3108,286,0.459,243664
N716_Exp77_sample13_S1_BC088_N01,0,0.383,161,163,182,117119,118885,203417,8058,150,0.416,170787
N716_Exp77_sample13_S1_BC089_N01,0,0.334,164,173,116699,370,118821,201467,78165,157,0.41,172410
N716_Exp77_sample13_S1_BC090_N01,0,0.322,153,150,108,116958,118475,211803,1601,94,0.441,162797
N716_Exp77_sample13_S1_BC091_N01,0,0.306,166,175,116438,289,118339,199516,96191,128,0.407,172807
N716_Exp77_sample13_S1_BC092_N02,0,0.301,165,174,202220,652,206941,297882,93137,298,0.305,382478
N716_Exp77_sample13_S1_BC093_N02,0,0.215,172,181,134906,323,137995,242080,5731,135,0.43,193149
N716_Exp77_sample13_S1_BC094_N01,0,0.415,168,170,208,114216,117857,196310,1294,129,0.4,174531
N716_Exp77_sample13_S1_BC095_N02,0,0.26,181,189,155349,362,159546,240019,142847,256,0.335,272425
N716_Exp77_sample13_S1_BC096_N01,0,0.324,153,150,107,115736,117287,220187,3635,138,0.467,154355
N716_Exp77_sample13_S1_BC097_N01,0,0.378,164,172,114543,360,117168,214672,112266,163,0.454,157427
N716_Exp77_sample13_S1_BC098_N02,0,0.325,162,160,194,168537,172555,331131,5919,263,0.479,223161
N716_Exp77_sample13_S1_BC099_N02,0,0.381,148,145,231,183636,188418,325574,5426,287,0.421,267854
N716_Exp77_sample13_S1_BC100_N02,0,0.323,154,150,245,177415,181516,343603,5599,232,0.472,237283
N716_Exp77_sample13_S1_BC101_N01,0,0.337,168,175,114436,286,116257,193526,190762,201,0.399,172287
N716_Exp77_sample13_S1_BC102_N01,0,0.268,166,175,114357,206,116228,187045,72365,111,0.379,179658
N716_Exp77_sample13_S1_BC103_N01,0,0.287,183,188,113995,278,116099,178659,130888,175,0.35,191224
N716_Exp77_sample13_S1_BC104_N02,0,0.39,163,166,254,162236,167267,321247,2570,181,0.479,216186
N716_Exp77_sample13_S1_BC105_N01,0,0.35,159,157,139,113744,115718,219536,2972,139,0.473,151002
N716_Exp77_sample13_S1_BC106_N01,0,0.321,157,155,117,113735,115460,182102,4151,95,0.366,183432
N716_Exp77_sample13_S1_BC107_N01,0,0.307,178,185,113342,193,115412,222115,134562,140,0.48,148929
N716_Exp77_sample13_S1_BC108_N01,0,0.337,173,178,113350,408,115340,191453,204705,202,0.398,171506
N716_Exp77_sample13_S1_BC109_N02,0,0.344,158,156,238,157958,163328,348603,9134,260,0.531,196808
N716_Exp77_sample13_S1_BC110_N01,0,0.364,161,162,170,112805,114702,199394,1669,158,0.425,162041
N716_Exp77_sample13_S1_BC111_N03,0,0.244,169,181,255197,612,253370,425626,167977,394,0.405,371525
N716_Exp77_sample13_S1_BC112_N01,0,0.244,174,185,112399,302,114467,173341,112286,164,0.34,193358
N716_Exp77_sample13_S1_BC113_N01,0,0.366,166,168,130,111788,113708,221892,5702,116,0.488,145214
N716_Exp77_sample13_S1_BC114_N01,0,0.262,165,176,111685,284,113329,166530,112155,126,0.319,201526
N716_Exp77_sample13_S1_BC115_N02,0,0.212,180,190,145906,300,149508,269248,201801,217,0.445,204032
N716_Exp77_sample13_S1_BC116_N01,0,0.351,160,156,156,111071,112823,251194,1098,177,0.551,132897
N716_Exp77_sample13_S1_BC117_N01,0,0.279,168,175,110824,303,112816,202195,136370,175,0.442,154652
N716_Exp77_sample13_S1_BC118_N01,0,0.33,164,168,186,110648,112706,169970,2947,148,0.337,191669
N716_Exp77_sample13_S1_BC119_N01,0,0.327,161,159,118,110889,112543,229629,3425,148,0.51,139376
N716_Exp77_sample13_S1_BC120_N01,0,0.337,161,160,138,110550,112305,182921,2910,151,0.386,170918
N716_Exp77_sample13_S1_BC121_N01,0,0.265,168,179,109696,279,112281,167641,65457,124,0.33,194169
N716_Exp77_sample13_S1_BC122_N02,0,0.334,155,153,213,150094,153555,284390,4576,186,0.46,204395
N716_Exp77_sample13_S1_BC123_N01,0,0.361,160,161,107,110225,112007,184056,2478,96,0.391,168595
N716_Exp77_sample13_S1_BC124_N01,0,0.385,161,164,152,109835,111724,183171,1085,120,0.39,168645
N716_Exp77_sample13_S1_BC125_N01,0,0.27,170,180,109769,236,111546,177194,89367,116,0.37,175458
N716_Exp77_sample13_S1_BC126_N04,0,0.247,170,182,249897,683,256911,481255,221393,461,0.466,338716
N716_Exp77_sample13_S1_BC127_N01,0,0.317,173,177,108585,393,110874,165847,219856,245,0.331,191135
N716_Exp77_sample13_S1_BC128_N01,0,0.194,151,148,107687,335,110445,220022,321859,231,0.498,138985
N716_Exp77_sample13_S1_BC129_N02,0,0.275,168,179,166846,395,170533,296784,205868,222,0.425,240634
N716_Exp77_sample13_S1_BC130_N01,0,0.318,164,175,107759,205,109521,189155,124904,143,0.421,155772
N716_Exp77_sample13_S1_BC131_N03,0,0.365,149,145,267,191163,176924,360726,5341,276,0.51,219210
N716_Exp77_sample13_S1_BC132_N01,0,0.333,157,156,143,107619,109386,194371,10348,124,0.437,151183
N716_Exp77_sample13_S1_BC133_N02,0,0.239,174,183,180305,427,185248,291133,216393,289,0.364,295789
N716_Exp77_sample13_S1_BC134_N01,0,0.321,166,168,113,107061,108987,182731,8871,101,0.404,160165
N716_Exp77_sample13_S1_BC135_N01,0,0.345,148,145,136,107159,108792,200895,5278,114,0.458,145177
N716_Exp77_sample13_S1_BC136_N01,0,0.426,165,163,181,106806,108557,206024,2528,149,0.473,141617
N716_Exp77_sample13_S1_BC137_N01,0,0.296,154,144,134,104261,108159,202804,3600,132,0.467,142485
N716_Exp77_sample13_S1_BC138_N01,0,0.337,155,151,169,105861,107612,172015,3019,127,0.374,167840
N716_Exp77_sample13_S1_BC139_N01,0,0.288,155,149,168,105941,107402,201151,5900,176,0.466,141623
N716_Exp77_sample13_S1_BC140_N01,0,0.282,172,177,104864,263,107211,180897,200910,169,0.407,156418
N716_Exp77_sample13_S1_BC141_N02,0,0.303,172,180,146692,523,151020,266471,190764,313,0.433,210163
N716_Exp77_sample13_S1_BC142_N01,0,0.266,174,181,104225,276,106450,200386,138881,133,0.469,139782
N716_Exp77_sample13_S1_BC143_N02,0,0.382,145,139,131,176938,180654,316043,3073,200,0.428,253561
N716_Exp77_sample13_S1_BC144_N01,0,0.31,146,133,126,104330,105917,188819,1995,102,0.439,145932
N716_Exp77_sample13_S1_BC145_N01,0,0.297,174,179,103569,270,105797,150383,104206,167,0.296,200516
N716_Exp77_sample13_S1_BC146_N01,0,0.275,160,170,103881,256,105780,168889,126866,161,0.374,165243
N716_Exp77_sample13_S1_BC147_N02,0,0.315,167,169,213,152187,157475,320331,3200,253,0.508,195406
N716_Exp77_sample13_S1_BC148_N01,0,0.409,158,153,93,103052,104555,170202,2148,83,0.386,159237
N716_Exp77_sample13_S1_BC149_N02,0,0.256,171,179,167645,324,172338,291309,187965,230,0.408,250927
N716_Exp77_sample13_S1_BC150_N01,0,0.38,148,148,41369,60868,103924,166849,75645,178,0.377,161142
N716_Exp77_sample13_S1_BC151_N01,0,0.401,133,128,124,102544,103782,160138,501,82,0.352,170234
N716_Exp77_sample13_S1_BC152_N01,0,0.315,146,127,138,101781,103323,182423,7803,110,0.434,143700
N716_Exp77_sample13_S1_BC153_N02,0,0.328,152,142,160,162124,166585,316862,9080,216,0.474,216931
N716_Exp77_sample13_S1_BC154_N02,0,0.403,161,159,198,130046,132986,251206,6390,198,0.471,174139
N716_Exp77_sample13_S1_BC155_N02,0,0.354,164,166,247,132043,135107,255141,8531,198,0.47,176956
N716_Exp77_sample13_S1_BC156_N02,0,0.333,152,148,341,156192,160340,310856,11675,326,0.484,205759
N716_Exp77_sample13_S1_BC157_N01,0,0.341,150,145,116,100292,101823,202135,1774,122,0.496,128448
N716_Exp77_sample13_S1_BC158_N01,0,0.338,165,177,99505,470,101655,178036,146712,236,0.429,142521
N716_Exp77_sample13_S1_BC159_N02,0,0.328,156,152,132,142915,146407,254303,1263,172,0.424,207004
N716_Exp77_sample13_S1_BC160_N01,0,0.271,167,162,152,99651,101295,170887,3100,65,0.407,147814
N716_Exp77_sample13_S1_BC161_N02,0,0.329,152,145,235,160409,164239,318178,5695,213,0.484,210880
N716_Exp77_sample13_S1_BC162_N02,0,0.346,157,159,215,162097,166356,330309,10920,267,0.496,209826
N716_Exp77_sample13_S1_BC163_N02,0,0.332,156,156,194,170298,175460,336931,3439,212,0.479,226801
N716_Exp77_sample13_S1_BC164_N01,0,0.299,151,147,150,99186,100877,183969,8603,127,0.452,136097
N716_Exp77_sample13_S1_BC165_N03,0,0.394,165,168,226,156026,144636,277779,1643,284,0.479,186938
N716_Exp77_sample13_S1_BC166_N02,0,0.311,155,149,186,156488,160213,259516,2890,203,0.383,245555
N716_Exp77_sample13_S1_BC167_N01,0,0.381,152,150,95,98980,100552,160298,2362,101,0.373,157399
N716_Exp77_sample13_S1_BC168_N02,0,0.287,161,170,159268,380,163379,289154,238568,250,0.435,226686
N716_Exp77_sample13_S1_BC169_N02,0,0.28,169,178,159790,461,164526,285350,165092,286,0.423,232981
N716_Exp77_sample13_S1_BC170_N02,0,0.379,159,159,170,123641,126251,175507,5430,165,0.281,250934
N716_Exp77_sample13_S1_BC171_N01,0,0.328,155,149,133,98084,99651,188124,3939,95,0.47,130552
N716_Exp77_sample13_S1_BC172_N02,0,0.257,170,179,114683,279,117287,181920,44899,100,0.355,190891
N716_Exp77_sample13_S1_BC173_N03,0,0.262,164,176,217048,716,210452,388841,130424,432,0.459,280700
N716_Exp77_sample13_S1_BC174_N02,0,0.235,169,181,162032,361,166189,252372,168224,262,0.341,279463
N716_Exp77_sample13_S1_BC175_N02,0,0.376,154,152,196,163480,167219,272594,15661,276,0.387,254221
N716_Exp77_sample13_S1_BC176_N02,0,0.272,158,154,191,170259,173877,295742,1954,212,0.412,251421
N716_Exp77_sample13_S1_BC177_N01,0,0.329,158,153,117,96434,98519,204166,1174,125,0.517,120813
N716_Exp77_sample13_S1_BC178_N01,0,0.239,171,183,96651,248,98486,143558,84569,132,0.314,177731
N716_Exp77_sample13_S1_BC179_N02,0,0.371,158,156,154,160224,164099,274583,4611,185,0.402,241717
N716_Exp77_sample13_S1_BC180_N03,0,0.373,159,154,267,205872,200372,382362,11288,302,0.476,260267
N716_Exp77_sample13_S1_BC181_N01,0,0.318,154,150,142,96115,98149,178827,2341,149,0.451,132528
N716_Exp77_sample13_S1_BC182_N01,0,0.309,151,133,102,96462,97983,211399,7962,84,0.537,117355
N716_Exp77_sample13_S1_BC183_N01,0,0.254,156,158,95902,206,97956,156357,25170,92,0.374,153074
N716_Exp77_sample13_S1_BC184_N01,0,0.352,162,162,145,95833,97720,198553,7608,110,0.508,121348
N716_Exp77_sample13_S1_BC185_N02,0,0.327,175,182,141001,377,145121,266975,196690,272,0.456,194288
N716_Exp77_sample13_S1_BC186_N01,0,0.311,174,179,95649,231,97451,180834,169171,164,0.461,129501
N716_Exp77_sample13_S1_BC187_N04,0,0.339,149,137,179,133446,122358,268709,2971,184,0.545,145154
N716_Exp77_sample13_S1_BC188_N01,0,0.336,161,156,113,95425,96908,185535,1796,122,0.478,125553
N716_Exp77_sample13_S1_BC189_N01,0,0.317,152,145,89,94876,96570,154407,3174,90,0.375,150562
N716_Exp77_sample13_S1_BC190_N02,0,0.367,155,152,212,152137,156011,287486,4125,217,0.457,208566
N716_Exp77_sample13_S1_BC191_N01,0,0.282,171,176,94817,372,96501,179050,34851,177,0.461,128251
N716_Exp77_sample13_S1_BC192_N05,0,0.433,156,156,291,276303,252894,453343,4473,590,0.442,346609
N716_Exp77_sample13_S1_BC193_N01,0,0.254,165,174,94531,192,96479,182999,100772,109,0.473,125917
N716_Exp77_sample13_S1_BC194_N02,0,0.349,174,177,109354,401,111999,184886,168427,276,0.394,167644
N716_Exp77_sample13_S1_BC195_N01,0,0.345,162,172,93532,261,96106,180057,158180,170,0.466,126692
N716_Exp77_sample13_S1_BC196_N02,0,0.314,173,181,130436,418,134859,278625,134584,293,0.516,165690
N716_Exp77_sample13_S1_BC197_N02,0,0.276,177,180,117714,317,120924,239198,194958,228,0.494,152927
N716_Exp77_sample13_S1_BC198_N02,0,0.341,155,150,162,131409,134675,270238,5041,154,0.502,168639
N716_Exp77_sample13_S1_BC199_N01,0,0.37,154,149,133,94300,95547,151351,1643,86,0.369,150879
N716_Exp77_sample13_S1_BC200_N01,0,0.369,161,162,111,94052,95532,150427,1491,110,0.365,152120
N716_Exp77_sample13_S1_BC201_N01,0,0.334,151,140,152,94082,95426,166534,9734,137,0.427,134271
N716_Exp77_sample13_S1_BC202_N01,0,0.429,159,159,113,93413,95228,155077,7143,114,0.386,144963
N716_Exp77_sample13_S1_BC203_N01,0,0.354,161,170,93541,317,95153,168065,169931,189,0.434,132285
N716_Exp77_sample13_S1_BC204_N01,0,0.38,159,161,103,93430,95030,197742,5284,152,0.519,116241
N716_Exp77_sample13_S1_BC205_N02,0,0.302,174,180,112317,322,115052,214433,158045,206,0.463,152326
N716_Exp77_sample13_S1_BC206_N02,0,0.376,159,161,157,161445,165121,285565,1789,200,0.422,234522
N716_Exp77_sample13_S1_BC207_N01,0,0.358,151,140,92907,232,94791,186384,75165,134,0.491,120391
N716_Exp77_sample13_S1_BC208_N01,0,0.297,155,152,140,92896,94648,158527,1855,132,0.403,139258
N716_Exp77_sample13_S1_BC209_N01,0,0.2,178,188,92845,199,94524,161350,96472,133,0.414,136143
N716_Exp77_sample13_S1_BC210_N01,0,0.355,149,142,118,92929,94393,172182,1765,112,0.452,127325
N716_Exp77_sample13_S1_BC211_N01,0,0.317,168,175,92538,296,94389,158921,88640,144,0.406,138047
N716_Exp77_sample13_S1_BC212_N01,0,0.305,155,153,162,92554,94341,183227,3704,114,0.485,120904
N716_Exp77_sample13_S1_BC213_N01,0,0.258,173,184,92489,269,94291,172304,128053,130,0.453,126984
N716_Exp77_sample13_S1_BC214_N01,0,0.349,158,158,117,92112,94224,172558,4881,110,0.454,126649
N716_Exp77_sample13_S1_BC215_N02,0,0.386,165,166,122,125324,128202,190005,3043,144,0.325,224537
N716_Exp77_sample13_S1_BC216_N01,0,0.3,173,179,92382,245,94007,166871,101308,123,0.437,130058
N716_Exp77_sample13_S1_BC217_N01,0,0.281,164,176,91611,212,93922,129968,6992,75,0.277,188617
N716_Exp77_sample13_S1_BC218_N01,0,0.36,162,164,91,92032,93511,163299,3348,122,0.427,131488
N716_Exp77_sample13_S1_BC219_N02,0,0.274,176,185,136909,405,140892,256049,241928,341,0.45,190680
N716_Exp77_sample13_S1_BC220_N02,0,0.314,164,162,172,136033,139462,250194,3779,151,0.443,191005
N716_Exp77_sample13_S1_BC221_N01,0,0.328,173,180,91541,260,93288,166480,126404,139,0.44,128403
N716_Exp77_sample13_S1_BC222_N02,0,0.325,165,174,122575,313,125463,223655,113426,191,0.439,172869
N716_Exp77_sample13_S1_BC223_N01,0,0.381,168,168,115,91157,92898,174044,1737,95,0.466,122465
N716_Exp77_sample13_S1_BC224_N02,0,0.405,165,162,152,115530,119996,259127,838,126,0.537,143649
N716_Exp77_sample13_S1_BC225_N02,0,0.306,154,148,163,119440,122697,227752,3801,123,0.461,163007
N716_Exp77_sample13_S1_BC226_N01,0,0.363,152,147,107,90348,92073,193204,4313,109,0.523,112054
N716_Exp77_sample13_S1_BC227_N01,0,0.387,155,148,124,90139,91937,178125,2917,106,0.484,118037
N716_Exp77_sample13_S1_BC228_N02,0,0.319,161,167,124518,309,127825,232811,181047,259,0.451,172655
N716_Exp77_sample13_S1_BC229_N01,0,0.37,156,151,91,89890,91546,163737,2232,141,0.441,125738
N716_Exp77_sample13_S1_BC230_N03,0,0.32,157,152,180,178841,168646,344926,2471,385,0.511,208532
N716_Exp77_sample13_S1_BC231_N02,0,0.32,170,179,117132,259,120034,191899,156276,183,0.374,187178
N716_Exp77_sample13_S1_BC232_N01,0,0.342,151,139,121,90043,91221,171816,11184,113,0.469,119729
N716_Exp77_sample13_S1_BC233_N01,0,0.383,159,160,130,89631,91073,149184,1971,95,0.39,137621
N716_Exp77_sample13_S1_BC234_N03,0,0.189,175,186,182850,295,191050,334004,113560,246,0.428,268337
N716_Exp77_sample13_S1_BC235_N01,0,0.358,162,163,93,89500,90811,171558,6812,85,0.471,118902
N716_Exp77_sample13_S1_BC236_N01,0,0.335,166,173,89047,309,90624,146633,136656,150,0.382,139095
N716_Exp77_sample13_S1_BC237_N01,0,0.311,158,152,147,89066,90381,158758,1924,98,0.431,126340
N716_Exp77_sample13_S1_BC238_N01,0,0.323,156,153,79,89087,90339,153500,2585,97,0.411,130773
N716_Exp77_sample13_S1_BC239_N01,0,0.283,164,166,195,88863,90310,193267,5394,206,0.533,108658
N716_Exp77_sample13_S1_BC240_N01,0,0.35,142,122,106,87945,89579,157579,6272,114,0.432,125037
N716_Exp77_sample13_S1_BC241_N01,0,0.396,165,165,117,88158,89546,177514,4579,84,0.496,113072
N716_Exp77_sample13_S1_BC242_N01,0,0.398,156,152,91,87559,89386,149738,1005,122,0.403,131491
N716_Exp77_sample13_S1_BC243_N02,0,0.412,154,149,151,132473,135459,221561,11726,161,0.389,205073
N716_Exp77_sample13_S1_BC244_N02,0,0.379,169,167,176,114395,117505,246031,3152,162,0.522,143193
N716_Exp77_sample13_S1_BC245_N03,0,0.33,167,177,118965,311,118726,197516,139059,227,0.399,176072
N716_Exp77_sample13_S1_BC246_N01,0,0.293,176,181,86899,221,88333,146469,129249,124,0.397,131514
N716_Exp77_sample13_S1_BC247_N02,0,0.318,159,160,148,108406,111356,220591,8412,181,0.495,140683
N716_Exp77_sample13_S1_BC248_N01,0,0.228,160,163,86,85971,87550,154665,954,136,0.434,121693
N716_Exp77_sample13_S1_BC249_N02,0,0.36,158,158,179,108303,111537,230790,5287,175,0.517,136907
N716_Exp77_sample13_S1_BC250_N01,0,0.308,157,159,169,85069,87124,144324,1680,129,0.396,129865
