DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N716_Exp77_sample13_S1_BC001_N01,0,0.248,136,111,233531,653,236918,332277,149745,223,0.287,461842
N716_Exp77_sample13_S1_BC002_N04,0,0.308,164,170,330570,907,313316,556658,27526,386,0.437,433097
N716_Exp77_sample13_S1_BC003_N01,0,0.242,176,182,143918,57995,204647,323513,50749,200,0.367,324073
N716_Exp77_sample13_S1_BC004_N02,0,0.282,170,178,261549,941,270940,465093,123609,416,0.417,387870
N716_Exp77_sample13_S1_BC005_N01,0,0.105,170,186,193173,337,196065,389285,40962,101,0.496,247304
N716_Exp77_sample13_S1_BC006_N01,0,0.254,162,156,210,187270,190557,387829,27998,177,0.509,236376
N716_Exp77_sample13_S1_BC007_N01,0,0.321,153,157,65548,114958,182970,290421,80091,253,0.37,288121
N716_Exp77_sample13_S1_BC008_N01,0,0.341,154,153,190,179392,182051,296014,2872,214,0.385,277669
N716_Exp77_sample13_S1_BC009_N01,0,0.365,160,162,260,174156,178103,316923,17639,178,0.438,245823
N716_Exp77_sample13_S1_BC010_N01,0,0.374,159,162,197,173198,177223,322002,8706,194,0.45,239899
N716_Exp77_sample13_S1_BC011_N01,0,0.36,163,161,210,173713,176399,336951,14976,178,0.476,228950
N716_Exp77_sample13_S1_BC012_N01,0,0.336,173,175,231,172040,175463,318984,5959,181,0.45,237396
N716_Exp77_sample13_S1_BC013_N01,0,0.25,176,187,170882,427,173753,289270,159620,210,0.399,257457
N716_Exp77_sample13_S1_BC014_N01,0,0.261,159,170,169945,294,172375,298433,203288,177,0.422,244548
N716_Exp77_sample13_S1_BC015_N02,0,0.234,176,188,244174,548,249607,401743,203524,281,0.379,385762
N716_Exp77_sample13_S1_BC016_N01,0,0.327,154,151,169,166376,168986,309091,4741,212,0.453,227388
N716_Exp77_sample13_S1_BC017_N01,0,0.206,172,183,163262,306,165871,266220,48058,90,0.377,257304
N716_Exp77_sample13_S1_BC018_N02,0,0.222,172,180,242260,521,247548,420577,92769,242,0.411,358389
N716_Exp77_sample13_S1_BC019_N01,0,0.241,175,184,153333,442,155975,244012,97014,187,0.361,250684
N716_Exp77_sample13_S1_BC020_N01,0,0.286,177,183,152910,348,155651,279175,110915,170,0.442,213222
N716_Exp77_sample13_S1_BC021_N01,0,0.38,156,158,289,151708,154316,274786,6619,218,0.438,212849
N716_Exp77_sample13_S1_BC022_N01,0,0.305,152,147,199,151034,153463,323773,10746,223,0.526,186167
N716_Exp77_sample13_S1_BC023_N02,0,0.376,148,147,220,191541,195581,345956,4001,244,0.435,271512
N716_Exp77_sample13_S1_BC024_N01,0,0.402,157,163,358,149454,151966,281120,2991,179,0.459,202481
N716_Exp77_sample13_S1_BC025_N01,0,0.346,152,144,193,148350,151024,263360,2747,216,0.427,212667
N716_Exp77_sample13_S1_BC026_N01,0,0.38,153,156,170,148262,150620,268788,2256,184,0.44,207320
