DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N704_Exp28_Sample3_S1_BC001_N01,0,0.367,218,195,223,121132,122927,377886,32280,8,0.675,130040
N704_Exp28_Sample3_S1_BC002_N01,0,0.364,190,175,214,117081,118578,401104,46196,9,0.704,123353
N704_Exp28_Sample3_S1_BC003_N01,0,0.393,230,204,174,115316,117474,517665,57490,11,0.773,119010
N704_Exp28_Sample3_S1_BC004_N01,0,0.296,249,216,342,112737,115966,456622,29538,6,0.746,118477
N704_Exp28_Sample3_S1_BC005_N01,0,0.344,235,208,319,112953,115451,398160,41866,8,0.71,119761
N704_Exp28_Sample3_S1_BC006_N01,0,0.296,227,203,229,113191,115312,497258,44240,7,0.768,116979
N704_Exp28_Sample3_S1_BC007_N01,0,0.335,238,210,2400,110259,115155,447039,38716,2,0.742,117804
N704_Exp28_Sample3_S1_BC008_N01,0,0.408,198,187,53016,56691,111126,283359,297334,43,0.608,123616
N704_Exp28_Sample3_S1_BC009_N01,0,0.353,215,193,254,106777,108343,322840,19669,0,0.664,115371
N704_Exp28_Sample3_S1_BC010_N01,0,0.052,174,155,105030,845,107070,250128,59033,21,0.572,123277
N704_Exp28_Sample3_S1_BC011_N01,0,0.382,211,189,447,104578,106523,413883,58251,8,0.743,108965
N704_Exp28_Sample3_S1_BC012_N01,0,0.267,219,205,101142,197,102531,272539,196622,38,0.624,112513
N704_Exp28_Sample3_S1_BC013_N01,0,0.349,208,193,95308,324,96794,394250,186177,23,0.754,98603
N704_Exp28_Sample3_S1_BC014_N01,0,0.305,236,208,182,93263,95191,368761,38644,5,0.742,97401
N704_Exp28_Sample3_S1_BC015_N01,0,0.342,238,208,215,91815,94028,335136,28881,2,0.719,97107
N704_Exp28_Sample3_S1_BC016_N01,0,0.312,223,202,329,91331,92843,330019,39185,1,0.719,95916
N704_Exp28_Sample3_S1_BC017_N01,0,0.405,194,186,43169,46775,90881,195341,206539,45,0.535,109077
N704_Exp28_Sample3_S1_BC018_N01,0,0.316,224,200,306,89200,90699,222495,43833,1,0.592,102334
N704_Exp28_Sample3_S1_BC019_N01,0,0.33,221,199,5189,83463,89971,252652,25736,8,0.644,97194
N704_Exp28_Sample3_S1_BC020_N01,0,0.404,212,194,257,86124,87420,211652,24425,9,0.587,99147
N704_Exp28_Sample3_S1_BC021_N01,0,0.28,246,215,1162,83644,86733,381352,91306,1,0.773,87879
N704_Exp28_Sample3_S1_BC022_N01,0,0.363,216,192,285,84458,85887,259095,35408,2,0.669,91213
N704_Exp28_Sample3_S1_BC023_N01,0,0.435,139,129,164,84509,85602,272815,5512,2,0.686,89932
N704_Exp28_Sample3_S1_BC024_N01,0,0.368,217,193,75329,5635,82444,312326,352265,28,0.736,84547
N704_Exp28_Sample3_S1_BC025_N01,0,0.282,235,211,80865,258,82308,307796,320375,45,0.733,84524
N704_Exp28_Sample3_S1_BC026_N01,0,0.326,233,206,146,77119,78574,200289,18887,2,0.608,87415
N704_Exp28_Sample3_S1_BC027_N01,0,0.304,228,204,153,76309,77603,294239,41490,1,0.736,79575
N704_Exp28_Sample3_S1_BC028_N01,0,0.335,231,204,198,75868,77317,239117,16565,3,0.677,81692
N704_Exp28_Sample3_S1_BC029_N01,0,0.339,236,206,316,73518,75525,248820,23369,5,0.696,78893
N704_Exp28_Sample3_S1_BC030_N01,0,0.355,221,196,193,70228,71483,233009,14693,2,0.693,74803
N704_Exp28_Sample3_S1_BC031_N01,0,0.242,237,215,70158,140,71358,167081,277149,52,0.573,82077
N704_Exp28_Sample3_S1_BC032_N01,0,0.339,212,192,227,69928,71048,185079,11576,2,0.616,78466
N704_Exp28_Sample3_S1_BC033_N01,0,0.357,211,193,138,68103,68971,180334,14038,2,0.618,76081
N704_Exp28_Sample3_S1_BC034_N01,0,0.28,232,208,118,67465,68710,231058,40337,4,0.703,71541
N704_Exp28_Sample3_S1_BC035_N01,0,0.347,247,221,65139,210,66966,263512,310449,40,0.746,68420
N704_Exp28_Sample3_S1_BC036_N01,0,0.131,223,206,141,65553,66691,114433,10935,6,0.417,95516
N704_Exp28_Sample3_S1_BC037_N01,0,0.347,235,210,138,64562,65791,190907,14895,2,0.655,70489
N704_Exp28_Sample3_S1_BC038_N01,0,0.348,212,194,194,63232,64241,137844,27794,9,0.534,77177
N704_Exp28_Sample3_S1_BC039_N01,0,0.445,236,211,61623,417,63269,163748,124484,29,0.614,70025
N704_Exp28_Sample3_S1_BC040_N01,0,0.295,224,209,61988,455,63226,176203,221633,42,0.641,68440
N704_Exp28_Sample3_S1_BC041_N01,0,0.387,206,187,92,61945,62728,131830,8861,0,0.524,76271
