DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N714_Exp28_Sample11_S1_BC001_N01,0,0.044,129,97,185686,355,188481,214851,385,43,0.123,802069
N714_Exp28_Sample11_S1_BC002_N01,0,0.281,182,176,515,181352,184107,231368,6237,35,0.204,486255
N714_Exp28_Sample11_S1_BC003_N01,0,0.294,181,177,39334,129776,171240,202789,13770,52,0.156,582227
N714_Exp28_Sample11_S1_BC004_N01,0,0.286,185,181,80956,73827,156358,188544,20658,58,0.171,487421
N714_Exp28_Sample11_S1_BC005_N01,0,0.267,182,177,438,152015,154229,189195,5592,40,0.185,446624
N714_Exp28_Sample11_S1_BC006_N01,0,0.184,203,184,464,149281,151532,182089,2175,48,0.168,479968
N714_Exp28_Sample11_S1_BC007_N01,0,0.252,187,181,395,145793,147834,186449,1666,34,0.207,385555
N714_Exp28_Sample11_S1_BC008_N01,0,0.164,202,192,144870,387,147141,176951,30238,50,0.168,464379
N714_Exp28_Sample11_S1_BC009_N01,0,0.242,204,193,138451,454,140504,181985,34165,46,0.228,335904
N714_Exp28_Sample11_S1_BC010_N01,0,0.231,198,191,137155,1496,140105,171908,31965,70,0.185,405347
N714_Exp28_Sample11_S1_BC011_N01,0,0.286,173,174,79891,56440,137943,158436,24864,65,0.129,558416
N714_Exp28_Sample11_S1_BC012_N01,0,0.267,187,184,132264,367,134518,155791,31153,59,0.137,517254
N714_Exp28_Sample11_S1_BC013_N01,0,0.242,203,192,129026,423,131027,164437,17125,60,0.203,347761
N714_Exp28_Sample11_S1_BC014_N01,0,0.208,211,200,127491,719,129934,159431,22249,67,0.185,375894
N714_Exp28_Sample11_S1_BC015_N01,0,0.246,208,190,433,127275,129832,179193,4151,30,0.275,262289
N714_Exp28_Sample11_S1_BC016_N01,0,0.246,213,193,127271,515,129515,164381,25288,77,0.212,330513
N714_Exp28_Sample11_S1_BC017_N01,0,0.279,187,183,58150,69442,128975,149682,17118,45,0.138,489855
N714_Exp28_Sample11_S1_BC018_N01,0,0.264,197,187,544,124709,126589,161373,4845,26,0.216,318344
N714_Exp28_Sample11_S1_BC019_N01,0,0.285,175,172,311,123365,124957,142203,4854,38,0.121,537845
N714_Exp28_Sample11_S1_BC020_N01,0,0.28,200,188,494,122737,124773,160558,4230,36,0.223,304405
N714_Exp28_Sample11_S1_BC021_N01,0,0.292,207,191,411,122644,124700,163674,2159,32,0.238,286629
N714_Exp28_Sample11_S1_BC022_N01,0,0.289,181,177,50270,71996,123676,144792,14284,54,0.146,446880
N714_Exp28_Sample11_S1_BC023_N01,0,0.048,137,101,356,120416,123052,139085,226,33,0.115,555964
N714_Exp28_Sample11_S1_BC024_N01,0,0.038,132,106,121052,249,122941,141837,600,22,0.133,483917
N714_Exp28_Sample11_S1_BC025_N01,0,0.252,218,198,540,119888,122652,156972,1417,19,0.219,304486
N714_Exp28_Sample11_S1_BC026_N01,0,0.244,207,195,119561,520,121650,153777,21729,59,0.209,314754
N714_Exp28_Sample11_S1_BC027_N01,0,0.246,199,189,118994,426,120750,148124,19354,39,0.185,349692
N714_Exp28_Sample11_S1_BC028_N01,0,0.269,196,184,598,118622,120716,153056,6084,19,0.211,309134
N714_Exp28_Sample11_S1_BC029_N02,0,0.273,186,177,484,118736,108097,145630,2248,28,0.258,231550
N714_Exp28_Sample11_S1_BC030_N01,0,0.28,193,182,442,117953,119712,152135,5911,36,0.213,304171
N714_Exp28_Sample11_S1_BC031_N01,0,0.274,173,175,63640,54843,119704,135961,14198,36,0.12,522250
N714_Exp28_Sample11_S1_BC032_N01,0,0.277,200,186,509,116990,119075,151441,2935,29,0.214,301779
N714_Exp28_Sample11_S1_BC033_N01,0,0.283,195,184,478,116764,118718,153925,4397,34,0.229,282933
N714_Exp28_Sample11_S1_BC034_N01,0,0.248,204,194,116556,336,118181,147719,23619,39,0.2,318287
N714_Exp28_Sample11_S1_BC035_N01,0,0.247,213,195,1027,115388,118066,151322,2426,20,0.22,291731
N714_Exp28_Sample11_S1_BC036_N01,0,0.246,212,193,370,115518,117752,156289,2454,31,0.247,262344
N714_Exp28_Sample11_S1_BC037_N01,0,0.246,214,195,379,114793,117432,147206,6546,24,0.202,312972
N714_Exp28_Sample11_S1_BC038_N01,0,0.274,200,187,539,115176,117021,150319,3316,38,0.222,287083
N714_Exp28_Sample11_S1_BC039_N01,0,0.268,212,198,113849,422,115978,139149,13683,70,0.167,370017
N714_Exp28_Sample11_S1_BC040_N01,0,0.296,178,176,450,114197,115828,132560,2801,24,0.126,479922
N714_Exp28_Sample11_S1_BC041_N01,0,0.258,217,201,112796,475,115523,152072,35088,55,0.24,263336
N714_Exp28_Sample11_S1_BC042_N01,0,0.278,204,191,112716,387,114353,142017,24744,64,0.195,315472
N714_Exp28_Sample11_S1_BC043_N01,0,0.249,188,182,37424,74651,113154,128922,11716,49,0.122,483132
N714_Exp28_Sample11_S1_BC044_N01,0,0.26,222,197,110268,302,112783,145573,27187,41,0.225,272535
