DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N707_Exp28_Sample7_S1_BC001_N01,0,0.046,198,172,234,160751,164191,261198,944,12,0.371,257757
N707_Exp28_Sample7_S1_BC002_N01,0,0.071,147,119,151851,117,153591,206144,7856,14,0.255,332195
N707_Exp28_Sample7_S1_BC003_N01,0,0.093,194,167,134334,206,136328,180458,7493,8,0.245,305980
N707_Exp28_Sample7_S1_BC004_N01,0,0.057,214,190,125538,167,127163,201875,8781,8,0.37,200196
N707_Exp28_Sample7_S1_BC005_N01,0,0.06,156,128,124246,249,125908,154165,12713,14,0.183,367415
N707_Exp28_Sample7_S1_BC006_N01,0,0.3,207,189,50746,63341,115493,179517,92480,40,0.357,187382
N707_Exp28_Sample7_S1_BC007_N01,0,0.367,166,158,334,104724,106002,156395,10107,17,0.322,187138
N707_Exp28_Sample7_S1_BC008_N01,0,0.284,208,187,483,101866,103633,189833,22143,11,0.454,139268
N707_Exp28_Sample7_S1_BC009_N01,0,0.299,218,196,197,97675,99419,172297,9378,17,0.423,140898
N707_Exp28_Sample7_S1_BC010_N01,0,0.314,193,178,210,97111,98234,161243,14720,13,0.391,148067
N707_Exp28_Sample7_S1_BC011_N01,0,0.333,195,181,436,91776,93189,142546,19368,13,0.346,154919
N707_Exp28_Sample7_S1_BC012_N01,0,0.364,205,185,572,91260,92892,156530,11848,16,0.407,135730
N707_Exp28_Sample7_S1_BC013_N01,0,0.33,211,189,231,82663,83989,131435,11940,17,0.361,134928
N707_Exp28_Sample7_S1_BC014_N01,0,0.06,212,195,72862,160,74358,103990,43127,30,0.285,145850
N707_Exp28_Sample7_S1_BC015_N01,0,0.353,208,185,1705,71081,73670,114930,14478,15,0.359,118884
N707_Exp28_Sample7_S1_BC016_N01,0,0.278,202,187,33597,39368,73650,109657,33691,26,0.328,127972
N707_Exp28_Sample7_S1_BC017_N01,0,0.23,216,193,588,71571,73197,126531,6353,3,0.422,104012
N707_Exp28_Sample7_S1_BC018_N01,0,0.27,200,176,12014,59594,72655,132711,14751,11,0.453,97883
N707_Exp28_Sample7_S1_BC019_N01,0,0.289,209,192,265,70636,71738,110992,10161,13,0.354,117195
N707_Exp28_Sample7_S1_BC020_N01,0,0.287,224,196,140,69843,71363,113868,6033,12,0.373,111572
N707_Exp28_Sample7_S1_BC021_N01,0,0.339,187,178,27206,40645,68446,97879,43708,33,0.301,128156
N707_Exp28_Sample7_S1_BC022_N01,0,0.349,197,178,184,67222,68011,105121,11766,13,0.353,111273
N707_Exp28_Sample7_S1_BC023_N01,0,0.048,176,147,84,66410,67835,88771,1391,3,0.236,157272
N707_Exp28_Sample7_S1_BC024_N01,0,0.268,216,201,65995,108,66776,103801,75703,24,0.357,108329
N707_Exp28_Sample7_S1_BC025_N01,0,0.318,205,191,64011,155,64818,102263,79427,33,0.366,102930
N707_Exp28_Sample7_S1_BC026_N01,0,0.352,208,185,185,62683,63833,104531,8830,6,0.389,96495
N707_Exp28_Sample7_S1_BC027_N03,0,0.306,219,195,178,63919,64178,107632,6620,13,0.404,94285
N707_Exp28_Sample7_S1_BC028_N01,0,0.336,203,183,284,62331,63302,93480,8538,11,0.323,111576
N707_Exp28_Sample7_S1_BC029_N01,0,0.388,184,176,22452,38785,61717,83480,37867,21,0.261,130869
