DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N701_Exp28_Sample1_S1_BC056_N01,0,0.377,223,200,80,21502,21909,47651,15703,0,0.54,26125
N701_Exp28_Sample1_S1_BC057_N01,0,0.322,235,210,71,21332,21787,53595,9883,0,0.593,24556
N701_Exp28_Sample1_S1_BC058_N01,0,0.325,215,194,6415,14795,21503,43119,50669,4,0.501,26938
N701_Exp28_Sample1_S1_BC059_N01,0,0.387,213,191,66,21048,21431,56781,7951,0,0.623,23541
N701_Exp28_Sample1_S1_BC060_N01,0,0.114,160,139,4511,16382,21327,40932,30976,6,0.479,27579
N701_Exp28_Sample1_S1_BC061_N01,0,0.356,218,197,124,20884,21257,44918,13155,0,0.527,25763
N701_Exp28_Sample1_S1_BC062_N01,0,0.394,212,192,81,20876,21238,50596,10109,1,0.58,24247
N701_Exp28_Sample1_S1_BC063_N01,0,0.378,209,188,8745,12062,21099,42992,44548,11,0.509,26152
N701_Exp28_Sample1_S1_BC064_N05,0,0.398,218,194,98,34364,25466,79405,8798,1,0.679,26864
N701_Exp28_Sample1_S1_BC065_N01,0,0.393,219,199,66,20544,20906,53893,9449,0,0.612,23169
N701_Exp28_Sample1_S1_BC066_N01,0,0.418,217,193,129,20422,20839,50664,13093,0,0.589,23595
N701_Exp28_Sample1_S1_BC067_N01,0,0.353,237,207,178,19914,20592,52953,20672,1,0.611,22840
N701_Exp28_Sample1_S1_BC068_N01,0,0.334,219,201,41,20161,20459,46242,8413,0,0.558,23920
N701_Exp28_Sample1_S1_BC069_N02,0,0.327,214,192,112,20264,20671,43638,10067,2,0.526,25067
N701_Exp28_Sample1_S1_BC070_N01,0,0.359,228,207,19692,138,20235,55682,127849,6,0.637,21980
N701_Exp28_Sample1_S1_BC071_N02,0,0.324,204,187,13035,6878,20145,47499,119149,3,0.576,23100
N701_Exp28_Sample1_S1_BC072_N01,0,0.344,228,206,78,19451,19837,45102,10906,0,0.56,23127
N701_Exp28_Sample1_S1_BC073_N04,0,0.374,217,191,101,26229,15196,80787,22436,0,0.812,15273
N701_Exp28_Sample1_S1_BC074_N04,0,0.36,220,199,67,28238,24233,63542,15869,7,0.619,26707
N701_Exp28_Sample1_S1_BC075_N01,0,0.356,230,209,19124,135,19597,46173,151238,17,0.576,22479
N701_Exp28_Sample1_S1_BC076_N01,0,0.328,221,207,19061,46,19354,40444,141231,17,0.521,23613
