DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N711_Exp28_Sample9_S1_BC0001_N01,0,0.255,193,185,435,131295,133080,175225,2258,38,0.241,303155
N711_Exp28_Sample9_S1_BC0002_N01,0,0.214,200,187,711,128902,131164,158186,2358,19,0.171,408624
N711_Exp28_Sample9_S1_BC0003_N01,0,0.279,188,183,456,115987,117617,140350,4272,43,0.162,385081
N711_Exp28_Sample9_S1_BC0004_N01,0,0.282,197,184,944,114714,117200,143543,4454,38,0.184,341608
N711_Exp28_Sample9_S1_BC0005_N01,0,0.252,188,181,68929,44748,114829,132836,18729,42,0.136,444601
N711_Exp28_Sample9_S1_BC0006_N01,0,0.242,212,197,112342,372,114371,140878,20164,39,0.188,325764
N711_Exp28_Sample9_S1_BC0007_N01,0,0.291,189,181,363,112376,114298,133570,5453,32,0.144,417187
N711_Exp28_Sample9_S1_BC0008_N01,0,0.241,186,181,59050,49470,109525,124336,17718,35,0.119,479566
N711_Exp28_Sample9_S1_BC0009_N01,0,0.224,209,189,403,104889,107063,135112,5352,33,0.208,278621
N711_Exp28_Sample9_S1_BC0010_N01,0,0.239,199,187,105460,289,106806,124872,14069,42,0.145,388843
N711_Exp28_Sample9_S1_BC0011_N01,0,0.264,199,185,480,104652,106459,126466,3626,23,0.158,356330
N711_Exp28_Sample9_S1_BC0012_N01,0,0.248,193,184,334,103585,105267,122071,3093,22,0.138,401687
N711_Exp28_Sample9_S1_BC0013_N01,0,0.315,178,174,377,102919,104310,122750,5946,21,0.15,366524
N711_Exp28_Sample9_S1_BC0014_N01,0,0.232,197,185,2810,100294,104254,126281,3410,32,0.174,318539
N711_Exp28_Sample9_S1_BC0015_N01,0,0.268,183,183,102425,263,103712,118127,22899,49,0.122,443776
N711_Exp28_Sample9_S1_BC0016_N01,0,0.278,194,183,249,101827,103226,121430,3625,35,0.15,363422
N711_Exp28_Sample9_S1_BC0017_N01,0,0.279,189,181,379,101606,103203,129590,2628,38,0.204,273369
N711_Exp28_Sample9_S1_BC0018_N01,0,0.263,207,191,100924,391,102860,127303,17492,56,0.192,287555
N711_Exp28_Sample9_S1_BC0019_N01,0,0.194,213,196,97032,259,98591,116726,27944,43,0.155,335644
N711_Exp28_Sample9_S1_BC0020_N01,0,0.275,209,190,276,95338,97312,124067,3631,16,0.216,244616
N711_Exp28_Sample9_S1_BC0021_N01,0,0.243,203,196,95827,366,97296,113197,12763,54,0.14,364228
N711_Exp28_Sample9_S1_BC0022_N01,0,0.273,207,195,94816,344,96384,117645,17158,48,0.181,284961
N711_Exp28_Sample9_S1_BC0023_N01,0,0.259,188,182,47611,47535,96167,113187,13282,55,0.15,337601
N711_Exp28_Sample9_S1_BC0024_N01,0,0.266,202,189,259,94573,96147,113823,2073,29,0.155,327463
N711_Exp28_Sample9_S1_BC0025_N01,0,0.283,202,189,93860,341,95468,115246,23628,48,0.172,296140
N711_Exp28_Sample9_S1_BC0026_N01,0,0.25,203,190,305,93367,94789,113088,1961,30,0.162,310631
N711_Exp28_Sample9_S1_BC0027_N01,0,0.266,206,191,93175,385,94759,114142,13746,42,0.17,296844
