DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N719_Exp77_sample15_S1_BC0001_N02,0,0.132,206,196,697316,2243,707805,1078905,111227,707,0.344,1183156
N719_Exp77_sample15_S1_BC0002_N02,0,0.057,196,181,595,543590,559781,986513,439,253,0.433,779946
N719_Exp77_sample15_S1_BC0003_N01,0,0.206,212,203,345218,1191,350613,626659,169240,475,0.441,481885
N719_Exp77_sample15_S1_BC0004_N01,0,0.193,225,210,308676,908,312596,564011,147712,328,0.446,425855
N719_Exp77_sample15_S1_BC0005_N02,0,0.273,213,199,675,416720,422813,936054,1729,502,0.548,499485
N719_Exp77_sample15_S1_BC0006_N02,0,0.184,195,193,367024,728,374266,900401,92063,417,0.584,425562
N719_Exp77_sample15_S1_BC0007_N02,0,0.233,227,211,333734,1249,342244,768396,295553,451,0.555,401451
N719_Exp77_sample15_S1_BC0008_N01,0,0.356,200,189,707,266284,269648,529539,8688,1639,0.491,342778
N719_Exp77_sample15_S1_BC0009_N02,0,0.229,220,207,310252,952,320590,651090,158772,480,0.508,398228
N719_Exp77_sample15_S1_BC0010_N01,0,0.358,218,198,330,238562,242141,588702,3247,404,0.589,274164
N719_Exp77_sample15_S1_BC0011_N01,0,0.368,214,195,454,237198,240660,646558,4757,406,0.628,263235
N719_Exp77_sample15_S1_BC0012_N01,0,0.334,198,185,464,237174,240201,591982,15499,831,0.594,270532
N719_Exp77_sample15_S1_BC0013_N01,0,0.213,232,217,233943,883,238114,474765,214528,336,0.498,299466
N719_Exp77_sample15_S1_BC0014_N02,0,0.327,212,194,546,331303,337511,718797,17887,551,0.53,407206
N719_Exp77_sample15_S1_BC0015_N02,0,0.261,213,199,309550,1370,316280,688755,94841,766,0.541,376893
N719_Exp77_sample15_S1_BC0016_N01,0,0.309,215,197,355,224191,227419,604138,5974,363,0.624,249606
N719_Exp77_sample15_S1_BC0017_N03,0,0.374,198,185,569,412864,391558,819155,15078,1103,0.522,477396
N719_Exp77_sample15_S1_BC0018_N03,0,0.224,218,210,256812,629,251824,610540,229733,255,0.588,285445
N719_Exp77_sample15_S1_BC0019_N01,0,0.236,230,209,217133,695,220856,433759,221802,287,0.491,280735
N719_Exp77_sample15_S1_BC0020_N02,0,0.399,216,199,584,325623,331942,671394,6355,781,0.506,413442
N719_Exp77_sample15_S1_BC0021_N01,0,0.226,222,210,215457,601,218631,433963,156901,217,0.496,275824
N719_Exp77_sample15_S1_BC0022_N01,0,0.268,206,191,342,213220,215765,498511,6032,339,0.567,249664
N719_Exp77_sample15_S1_BC0023_N01,0,0.248,224,208,212282,977,215583,364655,352515,352,0.409,313653
N719_Exp77_sample15_S1_BC0024_N01,0,0.234,231,214,205133,690,208537,436718,152431,260,0.522,254095
N719_Exp77_sample15_S1_BC0025_N01,0,0.336,211,194,317,203572,206559,509324,9456,245,0.594,232598
N719_Exp77_sample15_S1_BC0026_N01,0,0.231,233,213,202727,582,206395,405576,194119,176,0.491,262252
N719_Exp77_sample15_S1_BC0027_N03,0,0.21,226,214,348388,1048,298175,928869,355815,434,0.679,314599
N719_Exp77_sample15_S1_BC0028_N01,0,0.315,203,189,307,203367,205994,522150,5151,257,0.605,229624
N719_Exp77_sample15_S1_BC0029_N02,0,0.378,205,188,407,222632,225975,553582,7738,433,0.592,255100
N719_Exp77_sample15_S1_BC0030_N01,0,0.24,232,211,200590,734,203930,482219,210685,300,0.577,233560
N719_Exp77_sample15_S1_BC0031_N01,0,0.309,221,204,198960,784,202472,534918,243773,386,0.621,222606
N719_Exp77_sample15_S1_BC0032_N01,0,0.218,228,216,198454,609,201514,410435,170557,207,0.509,249846
N719_Exp77_sample15_S1_BC0033_N01,0,0.257,217,207,198194,567,201001,469219,176175,229,0.572,231501
N719_Exp77_sample15_S1_BC0034_N01,0,0.367,199,183,359,197279,199539,440746,12989,496,0.547,236001
N719_Exp77_sample15_S1_BC0035_N02,0,0.37,201,186,561,305817,311705,784459,19382,791,0.603,348350
N719_Exp77_sample15_S1_BC0036_N01,0,0.406,212,194,339,195004,198358,549446,3518,352,0.639,215072
N719_Exp77_sample15_S1_BC0037_N02,0,0.239,232,216,308655,679,316110,746326,361539,360,0.576,362280
N719_Exp77_sample15_S1_BC0038_N02,0,0.269,214,202,281598,1034,287188,630467,366944,536,0.544,340757
N719_Exp77_sample15_S1_BC0039_N02,0,0.277,210,195,481,318422,324431,781534,32202,560,0.585,368700
N719_Exp77_sample15_S1_BC0040_N01,0,0.317,205,194,394,191024,193372,445934,7604,376,0.566,223946
N719_Exp77_sample15_S1_BC0041_N02,0,0.32,213,196,496,240526,246666,751483,17473,595,0.672,261420
N719_Exp77_sample15_S1_BC0042_N01,0,0.386,202,186,324,188167,190455,495874,42647,291,0.616,210377
N719_Exp77_sample15_S1_BC0043_N03,0,0.248,213,205,242827,917,200345,648955,15027,682,0.691,209875
N719_Exp77_sample15_S1_BC0044_N01,0,0.332,212,196,326,186426,188958,457215,1563,418,0.587,214356
N719_Exp77_sample15_S1_BC0045_N03,0,0.195,220,211,355907,1181,335340,780554,400683,744,0.57,386725
N719_Exp77_sample15_S1_BC0046_N01,0,0.357,171,173,300,186817,188675,321997,1365,263,0.414,271809
N719_Exp77_sample15_S1_BC0047_N01,0,0.282,212,196,368,184214,187949,493870,22110,428,0.619,206993
N719_Exp77_sample15_S1_BC0048_N03,0,0.27,214,202,300318,958,300264,764898,352314,656,0.607,334125
N719_Exp77_sample15_S1_BC0049_N02,0,0.391,209,192,398,248987,253398,541376,15852,487,0.532,305170
N719_Exp77_sample15_S1_BC0050_N01,0,0.29,212,193,280,184334,187155,488673,4788,289,0.617,206540
N719_Exp77_sample15_S1_BC0051_N02,0,0.314,213,197,359,238834,243420,558222,5052,534,0.564,282637
N719_Exp77_sample15_S1_BC0052_N02,0,0.232,225,212,312654,868,319223,694928,280757,466,0.541,380469
N719_Exp77_sample15_S1_BC0053_N02,0,0.212,230,210,260283,959,265550,542534,190372,404,0.511,328583
N719_Exp77_sample15_S1_BC0054_N01,0,0.304,221,197,343,182173,185529,464867,8178,275,0.601,207671
N719_Exp77_sample15_S1_BC0055_N02,0,0.329,211,194,374,227465,232939,609016,7316,578,0.618,256957
N719_Exp77_sample15_S1_BC0056_N04,0,0.256,217,203,343999,933,285034,788521,449494,607,0.639,309161
N719_Exp77_sample15_S1_BC0057_N03,0,0.392,216,196,409,221140,182220,622327,14896,927,0.707,189288
N719_Exp77_sample15_S1_BC0058_N02,0,0.37,218,199,501,271949,277979,701572,23026,608,0.604,310343
N719_Exp77_sample15_S1_BC0059_N02,0,0.35,218,197,425,266730,272293,638248,6452,427,0.573,313045
N719_Exp77_sample15_S1_BC0060_N01,0,0.305,230,207,179202,526,181860,417555,210543,261,0.564,211040
N719_Exp77_sample15_S1_BC0061_N01,0,0.323,200,183,346,179481,181858,546172,23489,388,0.667,193321
N719_Exp77_sample15_S1_BC0062_N01,0,0.39,219,197,331,176922,180164,461046,9213,345,0.609,200166
N719_Exp77_sample15_S1_BC0063_N01,0,0.394,205,190,317,177869,180014,420634,14295,404,0.572,207240
N719_Exp77_sample15_S1_BC0064_N02,0,0.309,210,193,454,271295,277515,650756,12072,733,0.574,318991
N719_Exp77_sample15_S1_BC0065_N03,0,0.396,211,194,463,260086,258360,674248,11227,714,0.617,285168
N719_Exp77_sample15_S1_BC0066_N02,0,0.242,226,205,286799,925,292462,668405,272795,447,0.562,340124
N719_Exp77_sample15_S1_BC0067_N01,0,0.317,199,187,352,176120,178405,412035,12597,274,0.567,206471
N719_Exp77_sample15_S1_BC0068_N02,0,0.237,233,212,262501,866,269691,625229,245195,461,0.569,311579
N719_Exp77_sample15_S1_BC0069_N03,0,0.311,207,193,677,333658,307826,890823,18558,823,0.654,330021
N719_Exp77_sample15_S1_BC0070_N01,0,0.294,222,207,173322,586,176140,441163,226370,244,0.601,197191
N719_Exp77_sample15_S1_BC0071_N01,0,0.361,201,187,323,173337,175771,361498,4163,319,0.514,216575
N719_Exp77_sample15_S1_BC0072_N02,0,0.408,219,198,384,242500,247854,599595,10528,532,0.587,281192
N719_Exp77_sample15_S1_BC0073_N03,0,0.219,232,211,264600,912,227300,604215,252180,494,0.624,249426
N719_Exp77_sample15_S1_BC0074_N01,0,0.221,224,212,171708,529,174530,324277,167890,184,0.462,231680
N719_Exp77_sample15_S1_BC0075_N01,0,0.238,222,210,171944,522,174039,370789,150366,279,0.531,209933
N719_Exp77_sample15_S1_BC0076_N01,0,0.28,213,199,387,171258,173512,497098,7313,395,0.651,186483
N719_Exp77_sample15_S1_BC0077_N03,0,0.336,217,198,381,221407,180806,641427,6843,465,0.718,186839
N719_Exp77_sample15_S1_BC0078_N02,0,0.338,212,195,465,284902,290936,695873,5906,703,0.582,331604
N719_Exp77_sample15_S1_BC0079_N02,0,0.244,221,210,173384,463,176303,388880,186439,214,0.547,208670
N719_Exp77_sample15_S1_BC0080_N01,0,0.37,210,192,325,169848,172158,419388,6019,323,0.59,194773
N719_Exp77_sample15_S1_BC0081_N02,0,0.386,211,194,384,210672,216303,653356,9879,494,0.669,229654
N719_Exp77_sample15_S1_BC0082_N01,0,0.199,216,207,168744,490,171196,349979,60197,168,0.511,211748
N719_Exp77_sample15_S1_BC0083_N01,0,0.325,204,192,265,169357,171149,376105,6546,266,0.545,202966
N719_Exp77_sample15_S1_BC0084_N03,0,0.387,205,187,529,322408,299196,789185,7213,872,0.621,329116
