DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N715_Exp28_Sample12_S1_BC001_N01,0,0.1,155,159,214253,617,217334,258708,19432,119,0.16,720085
N715_Exp28_Sample12_S1_BC002_N01,0,0.267,184,179,592,142230,144299,177682,5045,47,0.188,411564
N715_Exp28_Sample12_S1_BC003_N01,0,0.265,187,182,529,140177,142639,173550,5069,27,0.178,427446
N715_Exp28_Sample12_S1_BC004_N01,0,0.274,197,191,133866,491,135806,172755,23547,74,0.214,343946
N715_Exp28_Sample12_S1_BC005_N01,0,0.266,184,177,470,132629,134612,161904,5456,43,0.169,424593
N715_Exp28_Sample12_S1_BC006_N01,0,0.27,188,182,40977,89398,131639,159888,13491,53,0.177,397446
N715_Exp28_Sample12_S1_BC007_N01,0,0.275,193,185,44575,83466,129637,157845,26657,110,0.179,387279
N715_Exp28_Sample12_S1_BC008_N01,0,0.262,200,187,691,125883,128340,162983,3676,38,0.213,326881
N715_Exp28_Sample12_S1_BC009_N01,0,0.279,175,173,1388,125379,128046,149307,4976,38,0.142,473211
N715_Exp28_Sample12_S1_BC010_N01,0,0.281,191,184,58879,67281,127380,149244,15798,47,0.146,458303
N715_Exp28_Sample12_S1_BC011_N01,0,0.274,204,190,507,123320,125295,158694,1585,39,0.21,322018
N715_Exp28_Sample12_S1_BC012_N01,0,0.272,187,181,910,122748,125132,151016,5591,56,0.171,388614
N715_Exp28_Sample12_S1_BC013_N01,0,0.258,190,183,1141,122434,124861,153339,2779,26,0.186,359950
N715_Exp28_Sample12_S1_BC014_N01,0,0.248,205,189,348,121207,123431,151453,2700,31,0.185,357069
N715_Exp28_Sample12_S1_BC015_N01,0,0.28,185,179,448,118570,120251,142649,4389,37,0.157,405343
N715_Exp28_Sample12_S1_BC016_N01,0,0.241,190,183,38273,80334,119987,140008,7045,34,0.143,441666
N715_Exp28_Sample12_S1_BC017_N01,0,0.291,186,182,117341,768,119385,138890,23145,58,0.14,447030
N715_Exp28_Sample12_S1_BC018_N01,0,0.285,204,193,117191,478,119136,152055,26516,59,0.216,298415
N715_Exp28_Sample12_S1_BC019_N01,0,0.246,206,188,501,116955,119107,151299,3554,32,0.213,303086
N715_Exp28_Sample12_S1_BC020_N01,0,0.247,195,184,117085,365,118605,145660,22192,61,0.186,341879
N715_Exp28_Sample12_S1_BC021_N01,0,0.243,205,192,116145,946,118541,146416,25928,58,0.19,333997
N715_Exp28_Sample12_S1_BC022_N01,0,0.259,189,180,440,115454,117332,147529,4386,36,0.205,309314
N715_Exp28_Sample12_S1_BC023_N01,0,0.257,204,191,115561,333,117112,146095,17509,63,0.198,317706
N715_Exp28_Sample12_S1_BC024_N01,0,0.285,210,193,367,114067,116293,151326,4126,28,0.232,274155
N715_Exp28_Sample12_S1_BC025_N01,0,0.312,160,165,398,114448,115994,134803,2612,35,0.14,436997
N715_Exp28_Sample12_S1_BC026_N01,0,0.271,208,191,1218,112839,115954,147415,2330,43,0.213,294248
N715_Exp28_Sample12_S1_BC027_N01,0,0.262,198,186,471,114181,115937,141629,2834,28,0.181,341576
N715_Exp28_Sample12_S1_BC028_N01,0,0.262,165,169,355,114428,115869,130519,4620,47,0.112,537034
N715_Exp28_Sample12_S1_BC029_N01,0,0.245,214,195,113409,439,115646,147872,30922,41,0.218,287937
N715_Exp28_Sample12_S1_BC030_N01,0,0.292,194,183,816,112023,114138,141792,4183,39,0.195,314525
N715_Exp28_Sample12_S1_BC031_N01,0,0.259,190,184,53821,59041,113998,134553,14835,46,0.153,394295
N715_Exp28_Sample12_S1_BC032_N01,0,0.242,203,188,336,111254,113194,137230,4947,27,0.175,344527
N715_Exp28_Sample12_S1_BC033_N01,0,0.267,194,185,1995,109682,113108,139528,2528,25,0.189,320287
N715_Exp28_Sample12_S1_BC034_N01,0,0.255,198,186,461,110899,112632,134632,1225,35,0.163,365730
N715_Exp28_Sample12_S1_BC035_N01,0,0.249,203,189,380,110885,112575,134838,5284,32,0.165,362024
N715_Exp28_Sample12_S1_BC036_N01,0,0.237,205,189,406,109415,111264,142681,2378,18,0.22,274448
N715_Exp28_Sample12_S1_BC037_N01,0,0.16,145,145,108675,692,110839,123002,1332,57,0.099,580233
N715_Exp28_Sample12_S1_BC038_N01,0,0.258,200,190,108524,466,110508,144191,20393,61,0.234,258416
N715_Exp28_Sample12_S1_BC039_N01,0,0.277,204,190,347,108148,109668,136097,2296,33,0.194,303409
N715_Exp28_Sample12_S1_BC040_N01,0,0.252,208,193,106979,390,108768,135131,3598,34,0.195,299642
N715_Exp28_Sample12_S1_BC041_N01,0,0.291,197,185,457,106750,108611,141089,3020,31,0.23,257359
N715_Exp28_Sample12_S1_BC042_N01,0,0.241,208,191,779,105797,108334,145178,5315,32,0.254,235251
N715_Exp28_Sample12_S1_BC043_N01,0,0.248,198,188,106572,380,108031,135666,33912,79,0.204,286056
N715_Exp28_Sample12_S1_BC044_N01,0,0.265,182,176,298,106437,107925,127336,5023,32,0.152,374040
N715_Exp28_Sample12_S1_BC045_N01,0,0.25,202,191,105986,436,107475,130267,28270,43,0.175,327446
N715_Exp28_Sample12_S1_BC046_N01,0,0.255,185,181,105519,566,107250,130240,32705,65,0.177,324082
N715_Exp28_Sample12_S1_BC047_N01,0,0.069,139,107,105527,426,107002,147741,697,14,0.276,215973
N715_Exp28_Sample12_S1_BC048_N01,0,0.285,188,182,324,105588,106910,126885,1647,39,0.157,359490
N715_Exp28_Sample12_S1_BC049_N01,0,0.251,214,198,104336,394,106491,130328,38517,44,0.183,311368
N715_Exp28_Sample12_S1_BC050_N01,0,0.25,198,190,104849,359,106391,129086,13284,62,0.176,322688
N715_Exp28_Sample12_S1_BC051_N01,0,0.282,180,176,410,104463,105997,130248,2797,48,0.186,304854
N715_Exp28_Sample12_S1_BC052_N01,0,0.275,198,191,104558,361,105996,135525,39254,51,0.218,263961
N715_Exp28_Sample12_S1_BC053_N01,0,0.24,201,193,102751,1784,105929,131694,25723,53,0.196,291066
N715_Exp28_Sample12_S1_BC054_N01,0,0.247,206,191,261,104160,105723,128188,2088,29,0.175,321618
N715_Exp28_Sample12_S1_BC055_N01,0,0.279,199,186,389,103890,105551,125702,3087,24,0.16,348937
N715_Exp28_Sample12_S1_BC056_N01,0,0.244,206,190,439,103616,105451,137821,3129,24,0.235,245392
N715_Exp28_Sample12_S1_BC057_N01,0,0.259,180,177,531,103923,105421,121181,2608,22,0.13,424554
N715_Exp28_Sample12_S1_BC058_N01,0,0.261,216,199,102573,401,104640,129937,9658,54,0.195,288822
N715_Exp28_Sample12_S1_BC059_N01,0,0.276,205,189,102472,602,104350,133630,35976,54,0.219,258541
N715_Exp28_Sample12_S1_BC060_N01,0,0.256,200,190,101983,288,103541,122128,32255,50,0.152,359393
N715_Exp28_Sample12_S1_BC061_N01,0,0.282,194,185,296,100105,101700,125378,2904,32,0.189,288686
N715_Exp28_Sample12_S1_BC062_N01,0,0.244,201,189,348,99581,101057,122755,4557,32,0.177,304986
N715_Exp28_Sample12_S1_BC063_N01,0,0.266,215,199,98672,557,100896,126198,18999,89,0.2,271071
N715_Exp28_Sample12_S1_BC064_N01,0,0.287,191,184,313,99325,100568,117851,3058,34,0.147,361480
N715_Exp28_Sample12_S1_BC065_N01,0,0.112,210,198,98603,766,100527,128266,7542,106,0.216,252048
N715_Exp28_Sample12_S1_BC066_N01,0,0.239,201,187,461,98587,100337,135991,4589,25,0.262,211699
N715_Exp28_Sample12_S1_BC067_N01,0,0.284,216,198,97759,546,100191,128254,41201,42,0.219,248550
N715_Exp28_Sample12_S1_BC068_N01,0,0.322,191,182,470,97701,99317,126911,4365,35,0.217,247801
N715_Exp28_Sample12_S1_BC069_N01,0,0.242,203,189,97567,451,99099,117022,7192,54,0.153,341933
N715_Exp28_Sample12_S1_BC070_N01,0,0.229,201,188,97455,370,98713,127129,22179,63,0.224,240201
N715_Exp28_Sample12_S1_BC071_N01,0,0.256,212,199,97080,325,98679,128677,21228,39,0.233,231176
N715_Exp28_Sample12_S1_BC072_N01,0,0.251,205,189,342,96765,98519,119362,3257,22,0.175,300709
N715_Exp28_Sample12_S1_BC073_N01,0,0.286,190,184,309,97108,98427,118215,2161,35,0.167,312498
N715_Exp28_Sample12_S1_BC074_N01,0,0.274,198,189,96853,392,98284,123344,22621,49,0.203,260865
N715_Exp28_Sample12_S1_BC075_N01,0,0.29,201,189,290,96045,97397,118307,2161,37,0.177,293964
N715_Exp28_Sample12_S1_BC076_N01,0,0.212,218,201,95563,410,97263,118050,46447,61,0.176,294577
N715_Exp28_Sample12_S1_BC077_N01,0,0.24,199,194,95231,437,96656,114653,16089,43,0.157,325897
N715_Exp28_Sample12_S1_BC078_N01,0,0.27,195,183,497,94715,96484,118018,2578,41,0.182,282733
N715_Exp28_Sample12_S1_BC079_N01,0,0.224,195,188,94503,321,95822,107843,15801,32,0.111,447083
N715_Exp28_Sample12_S1_BC080_N01,0,0.224,214,195,93949,260,95732,121345,24839,43,0.211,245386
N715_Exp28_Sample12_S1_BC081_N01,0,0.274,213,194,502,93580,95720,122034,550,24,0.216,240636
N715_Exp28_Sample12_S1_BC082_N01,0,0.281,206,194,94285,360,95685,116912,12960,64,0.182,281678
N715_Exp28_Sample12_S1_BC083_N01,0,0.239,203,187,323,94144,95633,110245,2343,20,0.133,378267
N715_Exp28_Sample12_S1_BC084_N01,0,0.279,211,191,93667,369,95316,118828,18651,35,0.198,259199
N715_Exp28_Sample12_S1_BC085_N01,0,0.264,202,191,93074,388,94553,119341,25085,40,0.208,245947
N715_Exp28_Sample12_S1_BC086_N01,0,0.264,208,192,310,92721,94425,117771,3567,33,0.198,256341
N715_Exp28_Sample12_S1_BC087_N01,0,0.285,198,185,358,92981,94415,118152,6591,33,0.201,253187
N715_Exp28_Sample12_S1_BC088_N01,0,0.265,201,186,239,93055,94379,112593,2175,20,0.162,309366
N715_Exp28_Sample12_S1_BC089_N01,0,0.313,189,180,92227,538,93701,115896,15388,117,0.192,262578
N715_Exp28_Sample12_S1_BC090_N01,0,0.298,200,187,405,92265,93699,113975,2654,44,0.178,281097
N715_Exp28_Sample12_S1_BC091_N01,0,0.248,213,197,91702,360,93536,120949,28029,48,0.227,224763
N715_Exp28_Sample12_S1_BC092_N01,0,0.276,166,171,92112,322,93378,104356,25007,39,0.105,460568
N715_Exp28_Sample12_S1_BC093_N01,0,0.273,175,178,91626,474,93015,106612,10987,101,0.128,381615
N715_Exp28_Sample12_S1_BC094_N01,0,0.301,203,189,424,91073,92618,113160,3764,34,0.182,272696
N715_Exp28_Sample12_S1_BC095_N01,0,0.26,203,192,91361,237,92575,114441,27603,50,0.191,259973
N715_Exp28_Sample12_S1_BC096_N01,0,0.253,200,187,445,90761,92246,114495,4277,32,0.194,255051
N715_Exp28_Sample12_S1_BC097_N01,0,0.215,193,188,90738,369,91986,107809,27554,37,0.147,330383
N715_Exp28_Sample12_S1_BC098_N01,0,0.261,205,192,90499,329,91860,112370,23395,37,0.183,269103
N715_Exp28_Sample12_S1_BC099_N01,0,0.246,203,192,88880,1642,91647,113902,21827,62,0.195,252125
N715_Exp28_Sample12_S1_BC100_N01,0,0.187,213,196,90063,360,91462,110059,21324,27,0.169,287846
N715_Exp28_Sample12_S1_BC101_N01,0,0.253,197,187,301,89227,90700,107650,3206,28,0.157,304931
N715_Exp28_Sample12_S1_BC102_N01,0,0.283,204,191,89156,434,90686,116369,22172,42,0.221,223218
N715_Exp28_Sample12_S1_BC103_N01,0,0.239,211,200,88900,504,90537,109708,19385,33,0.175,276161
N715_Exp28_Sample12_S1_BC104_N01,0,0.265,202,189,89213,359,90514,113701,20244,54,0.204,239424
N715_Exp28_Sample12_S1_BC105_N01,0,0.272,202,188,343,88537,90206,110105,2758,19,0.181,266688
N715_Exp28_Sample12_S1_BC106_N01,0,0.256,208,191,214,88427,90058,108799,2118,24,0.172,278395
N715_Exp28_Sample12_S1_BC107_N01,0,0.276,214,193,242,88341,90042,109585,1419,44,0.178,269511
N715_Exp28_Sample12_S1_BC108_N01,0,0.295,201,186,350,87802,89449,112069,5075,41,0.202,238849
N715_Exp28_Sample12_S1_BC109_N01,0,0.236,209,191,375,87590,89284,112796,1995,20,0.208,231489
N715_Exp28_Sample12_S1_BC110_N01,0,0.283,205,189,466,87356,89186,118385,3368,41,0.247,198651
